song_id	album_id	track_number	release_date	release_date_precision
3e9HZxeyfWwjeyPAMmWSSQ	2fYhqwDWXjbpjaIJPEfKFw	11	2019-02-08	day
5p7ujcrUXASCNwRaWNHR1C	0zzrCTzvL4ZmR42xF46Afm	1	2018-10-04	day
2xLMifQCjDGFmkHkpNLD9h	41GuZcammIkupMPKH2OJ6I	3	2018-08-03	day
3KkXRkHbMCARz0aVfEt68P	35s58BRTGAEWztPo9WqCIs	2	2018-12-14	day
1rqqCSm0Qe4I9rUvWncaom	6ApYSpXF8GxZAgBTHDzYge	4	2018-06-22	day
0bYg9bo50gSsH3LtXe2SQn	61ulfFSmmxMhc2wCdmdMkN	2	1994-11-01	day
5hslUAKq9I9CG2bAulFkHN	4dcJHxlOJwtyypL7sx1qch	4	1963	year
2EjXfH91m7f8HiJN1yQg97	34wa3zf2prXFMk47t9zHFG	1	1964-10-19	day
0MMSmg7zyo6pOKZrfHUOqu	2qk6WsJYyUWKsIeAE9aXwj	22	2015-10-28	day
6Z924AupOiJLdnAKH6UgCu	2xUZadTnycgVALCJMWdZw0	12	1983-01-01	day
1xzBco0xcoJEDXktl7Jxrr	15Id9Jrqab8IwHFirdrrLp	9	2018-10-05	day
4PS1e8f2LvuTFgUs1Cn3ON	6vBGI5522jvPi0ZZuGQNp4	1	1962	year
4OafepJy2teCjYJbvFE60J	3tx8gQqWbGwqIGZHqDNrGe	9	2018-08-17	day
55S2PQgSMYAhgoTCcGCDfw	16Qs4jnIyXe7jprnMNRddy	1	2018-04-12	day
7dt6x5M1jzdTEt8oCbisTK	6trNtQUgC8cgbWcqoMYkOR	9	2018-04-27	day
285pBltuF7vW8TeWk8hdRR	6tkjU4Umpo79wwkgPMV3nZ	3	2018-12-10	day
39LmTF9RgyakzSYX8txrow	2fYhqwDWXjbpjaIJPEfKFw	1	2019-02-08	day
2FRnf9qhLbvw8fu4IBXx78	6egzU9NKfora01qaNbvwfZ	1	1984	year
1dtIaSlyrLI04sqYa8nLyN	3BPDSjoJlho8oiUPUNrShM	2	1947	year
6CTWathupIiDs7U4InHnDA	67ErXRS9s9pVG8JmFbrdJ0	13	2018-10-12	day
2GGMabyHXnJmjY6CXhhB2e	2drqVzCt52KiDxKgl0Rq0P	1	2018-10-23	day
14mHfNsSHN0FbLftyjrV9g	4TUZUtCiZB4PYIoX20bOeX	1	2018-09-04	day
2uFaJJtFpPDc5Pa95XzTvg	5I48ENiZiaZZSOpec6PdS5	2	1959-01-01	day
5ASM6Qjiav2xPe7gRkQMsQ	2kzkwgOFAtRsDsas5Hi0Qu	5	1963	year
