artist_id	name	followers	popularity	artist_type	main_genre	genres	image_url
66CXWjxzNUsdJxJ2JdwvnR	Ariana Grande	34554242	96	singer	dance pop	['dance pop', 'pop', 'post-teen pop']	https://i.scdn.co/image/b1dfbe843b0b9f54ab2e588f33e7637d2dab065a
26VFTg2z8YR0cCuwLzESi2	Halsey	7368242	90	singer	dance pop	['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']	https://i.scdn.co/image/22a5f3d8c42bc7cb55215eb1627e429f54ed0998
0Y5tJX1MQlPlqiwlOH1tJY	Travis Scott	6313709	94	rapper	pop	['pop', 'pop rap', 'rap']	https://i.scdn.co/image/dc5eba5e032c2e5bc4d42c89d61ffee5875c981f
246dkjvS1zLTtiykXe5h60	Post Malone	16737002	96	rapper	dfw rap	['dfw rap', 'pop', 'rap']	https://i.scdn.co/image/f9d8b742b66609f12da023c472c2685d455930ed
1zNqQNIdeOUZHb8zbZRFMX	Swae Lee	483032	89	singer	trap music	['trap music']	https://i.scdn.co/image/a177469870b41f7e17e3b5f2156c1ab7a7e92df8
64KEffDW9EtZ1y2vBYgq8T	Marshmello	15566666	91	DJ	brostep	['brostep', 'progressive electro house']	https://i.scdn.co/image/65f40b9a99ebb96921d5366537cdff7d5661d914
7EQ0qTo7fWT7DPxmxtSYEc	Bastille	3776115	85	band	metropopolis	['metropopolis', 'modern rock', 'pop', 'tropical house']	https://i.scdn.co/image/7fd538c4aa21542d840e17773e6c8802196d1c4d
20JZFwl6HVl6yg8a4H3ZqK	Panic! At The Disco	7749228	88	band	baroque pop	['baroque pop', 'emo', 'modern rock', 'pop punk']	https://i.scdn.co/image/58518a04cdd1f20a24cf0545838f3a7b775f8080
4iHNK0tOyZPYnBU7nGAgpQ	Mariah Carey	4682308	81	singer	dance pop	['dance pop', 'pop', 'r&b', 'urban contemporary']	https://i.scdn.co/image/b9e312cf57cca3fab33e3dcc7086b340d54f7dcd
4DdkRBBYG6Yk9Ka8tdJ9BW	Offset	1202706	89	singer	atl hip hop	['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']	https://i.scdn.co/image/d718d632faa01221dd271f4e60a421596718fda0
46SHBwWsqBkxI7EeeBEQG7	Kodak Black	5001866	86	singer	florida rap	['florida rap', 'hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']	https://i.scdn.co/image/7e3b329829c210144d51035a91b92ce3f55d79fb
5f7VJjfbwm532GiveGC0ZK	Lil Baby	2571569	90	rapper	atl hip hop	['atl hip hop', 'atl trap', 'rap', 'trap music']	https://i.scdn.co/image/98f92a703f2b66b30a66e561ef980583323fb9cc
2hlmm7s2ICUX0LVIhVFlZQ	Gunna	1298099	88	singer	atl hip hop	['atl hip hop', 'rap', 'southern hip hop', 'trap music']	https://i.scdn.co/image/ec9841f2d8fd9f9a21dff3b2eba8c790b255b3e3
4sj6D0zlMOl25nprDJBiU9	Andy Williams	214826	62	-	adult standards	['adult standards', 'brill building pop', 'easy listening', 'lounge', 'mellow gold', 'operatic pop', 'vocal jazz']	https://i.scdn.co/image/adaf31e0b157fae9590728049ce3df5b40b37650
4cPHsZM98sKzmV26wlwD2W	Brenda Lee	128895	55	singer	adult standards	['adult standards', 'brill building pop', 'easy listening', 'lounge', 'nashville sound', 'rockabilly', 'vocal jazz']	https://i.scdn.co/image/2873f90f994289db10fcbbab0c5a789ab6670a0f
0MHgLfmQdutffmvWe5XBTN	Burl Ives	29644	46	singer	adult standards	['adult standards', 'american folk revival']	https://i.scdn.co/image/89c1ee2f7e000530b5b88aecc003f72acec863d0
38EmEgXkgK51MT2tPY0EoC	Bobby Helms	10136	45	-	-	[]	https://i.scdn.co/image/1dcd3f5d64a65f19d085b8e78746e457bd2d2e05
13y7CgLHjMVRMDqxdx0Xdo	Gucci Mane	2831399	87	rapper	atl hip hop	['atl hip hop', 'dirty south rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']	https://i.scdn.co/image/5cdd9e780c5cb1d547e34f18778cff07d57de18c
0du5cEVh5yTK9QJze8zA0C	Bruno Mars	22140623	90	singer	pop	['pop', 'post-teen pop']	https://i.scdn.co/image/aa32d6d4ca2467974403518dd3ebfe8831c5ced1
4kYSro6naA4h99UJvo89HB	Cardi B	9171155	92	rapper	pop	['pop', 'rap']	https://i.scdn.co/image/85145039b32b56e911bd2ad39f28f96277aea9f3
04gDigrS5kc9YWfZHwBETP	Maroon 5	19722253	89	band	pop	['pop']	https://i.scdn.co/image/4079ef5effe54ab8cc099e2b6d872899d033b09d
2RDOrhPqAM4jzTRCEb19qX	Sheck Wes	620853	74	singer	rap	['rap', 'trap music', 'underground hip hop', 'vapor trap']	https://i.scdn.co/image/c0f2b79210f155ffbc25a5a3900d3918566cec6b
