artist_id	album_id	release_date	release_date_precision
46SHBwWsqBkxI7EeeBEQG7	5n1GSzC1Reao29ScnpLYqp	2018-12-14	day
20sxb77xiYeusSH8cVdatc	6UYZEYjpN1DYRW0kqFy9ZE	2018-11-30	day
1GxkXlMwML1oSg5eLPiAz3	7uVimUILdzSZG4KKKWToq0	2012-11-09	day
0LyfQWJT6nXafLPZqxe9Of	35s58BRTGAEWztPo9WqCIs	2018-12-14	day
0Y5tJX1MQlPlqiwlOH1tJY	41GuZcammIkupMPKH2OJ6I	2018-08-03	day
26AHtbjWKiwYzsoGoUZq53	6thZNGX8hUVSjUrqJgPB9b	2018-11-29	day
1dfeR4HaWDbWqFHLkxsg1d	6i6folBtxKV28WX3msQ4FE	2018-10-19	day
3TVXtAsR1Inumwj472S9r4	1ATL5GLyefJaxhQzSPVrLX	2018-06-29	day
0LyfQWJT6nXafLPZqxe9Of	7ayBZIe1FHkNv0T5xFCX6F	2017-12-08	day
3eqjTLE0HfPfh78zjh6TqT	42eusslaYHJvhxttuMbwj9	2018-12-14	day
246dkjvS1zLTtiykXe5h60	6trNtQUgC8cgbWcqoMYkOR	2018-04-27	day
26AHtbjWKiwYzsoGoUZq53	3oXvzShPN8iY2P1UYl3WVJ	2016-10-21	day
4iHNK0tOyZPYnBU7nGAgpQ	61ulfFSmmxMhc2wCdmdMkN	1994-11-01	day
7v4imS0moSyGdXyLgVTIV7	6vBGI5522jvPi0ZZuGQNp4	1962	year
15UsOTVnJzReFVN1VCnxy4	1qsQOC4Jn0fnaUZLAbs4dz	2018-12-07	day
1GxkXlMwML1oSg5eLPiAz3	68xKnVblFsSQ48CtgZT0oY	2018-11-16	day
7gZfnEnfiaHzxARJ2LeXrf	4f8pX9Vjs9uU5aKjqDNcDO	2018-11-27	day
5f7VJjfbwm532GiveGC0ZK	4iF44RCCybJtkBkMoqrLW2	2018-11-30	day
0LyfQWJT6nXafLPZqxe9Of	2kzkwgOFAtRsDsas5Hi0Qu	1963	year
4MCBfE4596Uoi2O4DtmEMz	6tkjU4Umpo79wwkgPMV3nZ	2018-12-10	day
66CXWjxzNUsdJxJ2JdwvnR	3tx8gQqWbGwqIGZHqDNrGe	2018-08-17	day
