song_id	song_name	billboard	artists	popularity	explicit	song_type
3e9HZxeyfWwjeyPAMmWSSQ	thank u, next	('Thank U, Next', 'Ariana Grande')	{'66CXWjxzNUsdJxJ2JdwvnR': 'Ariana Grande'}	86	True	Solo
5p7ujcrUXASCNwRaWNHR1C	Without Me	('Without Me', 'Halsey')	{'26VFTg2z8YR0cCuwLzESi2': 'Halsey'}	87	True	Solo
2xLMifQCjDGFmkHkpNLD9h	SICKO MODE	('Sicko Mode', 'Travis Scott')	{'0Y5tJX1MQlPlqiwlOH1tJY': 'Travis Scott'}	85	True	Solo
3KkXRkHbMCARz0aVfEt68P	Sunflower - Spider-Man: Into the Spider-Verse	('Sunflower (Spider-Man: Into The Spider-Verse)', 'Post Malone & Swae Lee')	{'246dkjvS1zLTtiykXe5h60': 'Post Malone', '1zNqQNIdeOUZHb8zbZRFMX': 'Swae Lee'}	92	False	Collaboration
1rqqCSm0Qe4I9rUvWncaom	High Hopes	('High Hopes', 'Panic! At The Disco')	{'20JZFwl6HVl6yg8a4H3ZqK': 'Panic! At The Disco'}	86	False	Solo
0bYg9bo50gSsH3LtXe2SQn	All I Want for Christmas Is You	('All I Want For Christmas Is You', 'Mariah Carey')	{'4iHNK0tOyZPYnBU7nGAgpQ': 'Mariah Carey'}	63	False	Solo
5hslUAKq9I9CG2bAulFkHN	It's the Most Wonderful Time of the Year	("It's The Most Wonderful Time Of The Year", 'Andy Williams')	{'4sj6D0zlMOl25nprDJBiU9': 'Andy Williams'}	52	False	Solo
2EjXfH91m7f8HiJN1yQg97	Rockin' Around The Christmas Tree	("Rockin' Around The Christmas Tree", 'Brenda Lee')	{'4cPHsZM98sKzmV26wlwD2W': 'Brenda Lee'}	53	False	Solo
0MMSmg7zyo6pOKZrfHUOqu	A Holly Jolly Christmas	('A Holly Jolly Christmas', 'Burl Ives')	{'0MHgLfmQdutffmvWe5XBTN': 'Burl Ives'}	3	False	Solo
6Z924AupOiJLdnAKH6UgCu	Jingle Bell Rock	('Jingle Bell Rock', 'Bobby Helms')	{'38EmEgXkgK51MT2tPY0EoC': 'Bobby Helms'}	51	False	Solo
1xzBco0xcoJEDXktl7Jxrr	Mo Bamba	('Mo Bamba', 'Sheck Wes')	{'2RDOrhPqAM4jzTRCEb19qX': 'Sheck Wes'}	81	True	Solo
4PS1e8f2LvuTFgUs1Cn3ON	The Christmas Song (Merry Christmas To You)	('The Christmas Song (Merry Christmas To You)', 'Nat King Cole')	{'7v4imS0moSyGdXyLgVTIV7': 'Nat King Cole'}	48	False	Solo
4OafepJy2teCjYJbvFE60J	breathin	('Breathin', 'Ariana Grande')	{'66CXWjxzNUsdJxJ2JdwvnR': 'Ariana Grande'}	78	True	Solo
55S2PQgSMYAhgoTCcGCDfw	Youngblood	('Youngblood', '5 Seconds Of Summer')	{'5Rl15oVamLq7FbSb0NNBNy': '5 Seconds of Summer'}	77	False	Solo
7dt6x5M1jzdTEt8oCbisTK	Better Now	('Better Now', 'Post Malone')	{'246dkjvS1zLTtiykXe5h60': 'Post Malone'}	86	True	Solo
285pBltuF7vW8TeWk8hdRR	Lucid Dreams	('Lucid Dreams', 'Juice WRLD')	{'4MCBfE4596Uoi2O4DtmEMz': 'Juice WRLD'}	85	True	Solo
39LmTF9RgyakzSYX8txrow	imagine	('Imagine', 'Ariana Grande')	{'66CXWjxzNUsdJxJ2JdwvnR': 'Ariana Grande'}	76	True	Solo
2FRnf9qhLbvw8fu4IBXx78	Last Christmas	('Last Christmas', 'Wham!')	{'5lpH0xAS4fVfLkACg9DAuM': 'Wham!'}	55	False	Solo
1dtIaSlyrLI04sqYa8nLyN	Rudolph the Red-Nosed Reindeer	('Rudolph The Red-Nosed Reindeer', 'Gene Autry')	{'5ixB75BQR3ADoWQkcHQJTs': 'Gene Autry'}	36	False	Solo
6CTWathupIiDs7U4InHnDA	Trip	('Trip', 'Ella Mai')	{'7HkdQ0gt53LP4zmHsL0nap': 'Ella Mai'}	77	False	Solo
