Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE
1,=,Billie Eilish - HIT ME HARD AND SOFT,19,1,(x19),24750,+49,0.476,1,1,11,1
2,=,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,47,1,(x26),22461,+25,1.126,3,2,49,3
3,+2,Ariana Grande - eternal sunshine,89,1,(x24),16939,+415,1.884,18,19,76,32
4,-1,Dua Lipa - Radical Optimism,54,1,(x1),16768,-74,0.969,71,17,42,11
5,-1,Taylor Swift - THE TORTURED POETS DEPARTMENT,47,1,(x1),16528,-108,0.962,14,6,121,13
6,=,twenty one pilots - Clancy,41,3,(x7),16344,+24,0.399,10,10,"",9
7,=,Bring Me The Horizon - POST HUMAN: NeX GEn,12,4,"",16086,+187,0.217,26,3,18,4
8,=,Gunna - One of Wun,26,4,"",13325,+345,0.411,2,5,"",10
9,=,Taylor Swift - 1989,1865,1,(x56),12057,-364,10.201,57,27,113,31
10,=,Beyoncé - COWBOY CARTER,68,1,(x10),11470,-366,1.187,13,12,"",21
11,+1,Olivia Rodrigo - GUTS,271,1,(x24),11002,+42,4.057,53,20,"",15
12,-1,aespa - Armageddon - The 1st Album,9,5,"",10697,-327,0.128,131,103,3,73
13,+1,Taylor Swift - Midnights,593,1,(x84),10508,+653,10.332,54,32,"",42
14,+1,Future & Metro Boomin - WE DON'T TRUST YOU,75,1,(x2),10182,+415,1.246,4,43,"",22
15,+1,"Shaboozey - Where I've Been, isn't Where I'm Going",54,15,"",9631,+110,0.173,5,11,"",20
16,+4,Taylor Swift - reputation,2372,1,(x14),8975,+321,16.471,68,37,"",50
17,=,Ayra Starr - The Year I Turned 21,5,14,"",8763,-263,0.049,32,7,"",45
18,=,Taylor Swift - Lover,1816,1,(x14),8748,-97,16.452,62,29,"",52
19,=,Taylor Swift - folklore,1412,1,(x42),8712,+49,15.965,63,31,"",75
20,+4,Travis Scott - UTOPIA,313,1,(x42),8237,+236,4.794,41,88,"",24
21,+1,Frank Ocean - Blonde,2529,5,"",8206,-187,8.548,42,66,"",47
22,-9,ATEEZ - GOLDEN HOUR : Part.1 - EP,5,9,"",8065,-2032,0.054,104,128,21,29
23,-2,"RM - Right Place, Wrong Person",12,5,"",8045,-564,0.163,"",197,34,114
24,-1,Baby Lullaby Academy - Baby Lullaby: Relaxing Piano Lullabies and Natural Sleep Aid for Baby Sleep Music,1525,6,"",7864,-140,11.793,11,9,"",127
25,=,SZA - SOS,546,1,(x33),7315,+37,6.250,36,59,"",""
26,+11,Charli XCX - BRAT,51,9,"",6931,+1618,0.279,134,30,"",94
27,+1,Chappell Roan - The Rise and Fall of a Midwest Princess,74,27,"",6484,+258,0.308,20,16,"",108
28,-2,Vince Staples - Dark Times,12,10,"",6212,-105,0.126,23,46,"",67
29,-2,Lauryn Hill - The Miseducation of Lauryn Hill,20,3,(x2),6089,-173,0.424,84,53,149,35
30,=,Benson Boone - Fireworks & Rollerblades,75,5,"",6079,+176,0.713,60,26,"",59
31,-2,PARTYNEXTDOOR - PARTYNEXTDOOR 4,63,4,"",6014,-176,0.452,7,21,"",98
32,+15,WayV - Give Me That - The 5th Mini Album - EP,2,32,"",5982,+2170,0.010,"","",9,""
33,+1,Chris Brown - 11:11,208,3,(x4),5819,+405,1.839,21,28,"",63
34,+1,Tyla - TYLA,87,4,"",5730,+356,0.881,45,49,155,141
35,-4,NewJeans - How Sweet - EP,12,15,"",5609,-144,0.090,"","",14,""
36,-4,Olivia Rodrigo - SOUR,1117,1,(x57),5600,-149,11.709,98,69,"",41
37,+1,Future & Metro Boomin - WE STILL DON'T TRUST YOU,54,1,(x6),5385,+205,0.673,6,60,"",87
38,+2,Taylor Swift - evermore,1272,1,(x39),4883,+643,11.373,122,61,"",120
39,-6,Lenny Kravitz - Blue Electric Light,12,18,"",4863,-677,0.092,"",165,"",18
40,-4,"Benj Pasek & Justin Paul, Hugh Jackman - The Greatest Showman",673,5,"",4844,-474,4.184,123,25,48,37
41,+59,Kep1er - Kep1going On,2,41,"",4720,+2319,0.007,"","",13,""
42,-3,The Marías - Submarine,5,32,"",4369,+37,0.027,29,"","",""
43,+7,"¥$, Kanye West & Ty Dolla $ign - VULTURES 1",109,1,(x20),4167,+491,1.556,76,100,"",90
44,-2,Troye Sivan - Something To Give Each Other,192,2,(x12),4136,+35,1.441,"",84,"",91
45,+4,"Kendrick Lamar - good kid, m.A.A.d city",705,14,"",4131,+367,2.467,58,98,"",86
46,-1,Various Artists - Bridgerton Season Three,19,12,"",4120,+161,0.128,"",92,"",25
47,-3,Noah Kahan - Stick Season,572,13,"",4022,+53,2.223,35,23,"",""
48,+7,Beyoncé - RENAISSANCE,676,1,(x52),3959,+439,8.854,70,70,"",126
49,+4,Jung Kook - GOLDEN,215,1,(x3),3920,+276,1.970,"","",35,""
50,+1,Lana Del Rey - Norman Fucking Rockwell,1353,23,"",3878,+210,3.743,"",101,"",142
51,-8,群星 - Queen of Tears,8,42,"",3868,-105,0.032,"","",47,""
52,NEW,Cigarettes After Sex - X's,1,52,"",3786,+3786,0.004,"",115,"",95
53,+30,AKMU - LOVE EPISODE - EP,2,53,"",3771,+1070,0.006,"","",179,""
54,-13,Lana Del Rey - Born to Die - The Paradise Edition,1657,25,"",3757,-395,5.634,"",95,"",""
55,-9,BABYMONSTER - BABYMONS7ER - EP,61,7,"",3633,-186,0.343,"","",22,""
56,+2,群星 - Lovely Runner,7,56,"",3532,+118,0.020,"","",120,""
57,-9,Amy Winehouse - Back to Black,129,21,"",3498,-296,1.223,194,36,"",65
58,+2,Monetochka - Молитвы. Анекдоты. Тосты.,12,42,"",3445,+161,0.045,"","","",93
59,-5,Becky Hill - Believe Me Now,5,43,"",3425,-157,0.021,"",8,"",""
60,-4,Bad Bunny - Un Verano Sin Ti,760,3,(x2),3401,-68,4.284,47,"","",""
61,-2,J. Cole - Might Delete Later,61,3,(x3),3323,+5,0.542,22,73,"",""
62,+3,Taylor Swift - Red,1760,1,(x7),3309,+153,7.486,"",78,"",196
63,+3,"Benny Andersson, Björn Ulvaeus, Meryl Streep & Amanda Seyfried - Mamma Mia",1148,15,"",3280,+134,3.146,190,50,"",44
64,-12,Pink Floyd - The Dark Side of the Moon,1014,10,"",3279,-379,3.813,174,93,"",144
65,-3,Taylor Swift - Fearless,1167,1,(x1),3212,+15,5.581,182,68,"",167
66,+15,Eminem - The Eminem Show,599,9,"",3185,+465,2.073,115,52,"",77
67,-6,"Eclipse - Lovely Runner, Pt. 1",55,59,"",3168,-44,0.149,"","",175,""
68,-4,NewJeans - NewJeans 2nd EP 'Get Up',320,2,(x7),3154,-5,2.204,"","",44,""
69,+7,Travis Scott - ASTROWORLD,1933,1,(x8),3028,+165,13.196,129,158,"",69
70,-7,ABBA - ABBA Gold: Greatest Hits,1066,20,"",3011,-155,3.377,"",56,"",40
71,-1,RIIZE - RIIZING - EP,37,28,"",2991,-50,0.174,"","",39,""
72,-3,SEVENTEEN - SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',37,9,"",2980,-85,0.196,"","","",""
73,=,"SleepTherapy - Brown Noise: Loops for Relaxation, Deep Sleep, Meditation, And Babies",584,55,"",2970,-21,1.388,17,15,"",""
74,-3,"Carín León - Boca Chueca, Vol. 1",5,65,"",2960,-66,0.016,25,"","",""
75,+4,Nirvana - Nevermind,404,20,"",2911,+160,1.981,175,82,200,88
76,+2,Taylor Swift - Speak Now,833,1,(x14),2911,+93,5.090,168,74,"",200
77,=,SCH - JVLIVS Prequel : Giulio,5,73,"",2855,0,0.014,"","","",175
78,+12,Kendrick Lamar - Mr. Morale & The Big Steppers,576,1,(x7),2835,+206,4.214,77,111,"",147
79,-7,Crowded House - Gravity Stairs,5,59,"",2827,-169,0.015,"",67,"",""
80,+5,Kanye West - Graduation,1151,17,"",2816,+137,4.145,75,105,"",118
81,-7,"Lin-Manuel Miranda, Opetaia Foa'i, Mark Mancina & Auli'i Cravalho - Moana",1304,48,"",2785,-198,3.202,72,35,"",""
82,+53,Sabrina Carpenter - emails i can’t send fwd:,218,8,"",2737,+1045,0.523,149,86,"",""
83,+8,Kendrick Lamar - DAMN.,955,3,(x10),2736,+120,6.582,78,116,"",170
84,-4,Kings of Leon - Can We Please Have Fun,31,7,"",2731,-16,0.206,"",24,"",92
85,-3,"Lin-Manuel Miranda, Leslie Odom, Jr., Phillipa Soo, Daveed Diggs & Christopher Jackson - Hamilton: An American Musical",873,31,"",2727,+25,2.550,61,34,"",""
86,-11,ILLIT - SUPER REAL ME - EP,72,6,"",2708,-225,0.446,"","",24,""
87,NEW,DOYOUNG - YOUTH - The 1st Album,30,23,"",2687,+2687,0.133,"","",91,""
88,+6,"Billie Eilish - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO",1418,1,(x95),2685,+123,15.119,171,163,"",100
