Artist and Title,Days,Pk,(x?),Total,Today
Ed Sheeran - ÷,2214,1,(x77),"18,623,301",685
Taylor Swift - reputation,2372,1,(x14),"16,471,391","8,976"
Taylor Swift - Lover,1816,1,(x14),"16,452,293","8,748"
Taylor Swift - folklore,1412,1,(x42),"15,964,725","8,712"
"Billie Eilish - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO",1418,1,(x95),"15,118,974","2,685"
The Weeknd - After Hours,1567,1,(x11),"13,222,234","1,356"
Travis Scott - ASTROWORLD,1933,1,(x8),"13,196,278","3,028"
The Weeknd - Starboy,2523,7,"","12,033,193","1,521"
Dua Lipa - Future Nostalgia,1303,1,(x43),"11,933,928",422
Baby Lullaby Academy - Baby Lullaby: Relaxing Piano Lullabies and Natural Sleep Aid for Baby Sleep Music,1525,6,"","11,792,981","7,864"
Olivia Rodrigo - SOUR,1117,1,(x57),"11,708,738","5,600"
Taylor Swift - evermore,1272,1,(x39),"11,373,179","4,884"
Harry Styles - Fine Line,1364,1,(x15),"11,300,928",170
Billie Eilish - Dont Smile at Me,1396,3,(x24),"10,661,667",760
Taylor Swift - Midnights,593,1,(x84),"10,331,751","10,509"
Taylor Swift - 1989,1865,1,(x56),"10,200,812","12,058"
Imagine Dragons - Evolve,1263,1,(x4),"10,162,867",91
Post Malone - beerbongs & bentleys,1052,1,(x24),"9,315,057",0
Beyoncé - RENAISSANCE,676,1,(x52),"8,853,757","3,960"
"Ariana Grande - thank u, next",1187,1,(x54),"8,736,259",153
XXXTENTACION -,1161,1,(x17),"8,668,909",58
Billie Eilish - Happier Than Ever,1089,1,(x31),"8,654,084","1,987"
Various Artists - The Greatest Showman,956,6,"","8,651,364",0
Frank Ocean - Blonde,2529,5,"","8,547,532","8,207"
Lady Gaga & Bradley Cooper - A Star Is Born Soundtrack,1228,1,(x17),"8,241,065",19
Harry Styles - Harry's House,747,1,(x55),"7,909,852","1,718"
XXXTENTACION - 17,1166,2,(x25),"7,768,811",0
Taylor Swift - Red,1760,1,(x7),"7,486,056","3,309"
Arctic Monkeys - AM,2512,14,"","7,260,158","2,361"
Ariana Grande - Positions,696,1,(x70),"7,220,844",439
Dua Lipa - Dua Lipa,954,5,"","7,001,354",0
Post Malone - Hollywood's Bleeding,892,1,(x50),"6,903,692",133
Justin Bieber - Justice,796,1,(x70),"6,852,844",625
The Weeknd - Dawn FM,811,1,(x72),"6,816,986",874
Drake - Scorpion,1067,1,(x34),"6,715,264",155
Kendrick Lamar - DAMN.,955,3,(x10),"6,581,651","2,737"
Doja Cat - Planet Her,506,1,(x3),"6,536,511",136
Khalid - American Teen,1035,7,"","6,514,996",0
Ariana Grande - Sweetener,919,1,(x14),"6,330,890",109
SZA - SOS,546,1,(x33),"6,250,216","7,315"
Queen - The Platinum Collection,1390,4,"","6,164,203",54
Post Malone - Stoney,904,5,"","6,162,894",0
Adele - 25,1723,9,"","6,093,862",423
Adele - 21,2351,10,"","5,870,976","1,970"
Metro Boomin - HEROES & VILLAINS,551,1,(x6),"5,841,873","2,525"
Ed Sheeran - No.6 Collaborations Project,563,1,(x55),"5,732,555",0
Lana Del Rey - Born to Die - The Paradise Edition,1657,25,"","5,634,491","3,758"
Pop Smoke - Shoot for the Stars Aim for the Moon,708,1,(x6),"5,620,898",8
Michael Bublé - Christmas,460,1,(x9),"5,608,104",0
Taylor Swift - Fearless,1167,1,(x1),"5,581,291","3,213"
Drake - Certified Lover Boy,908,1,(x33),"5,525,563",835
Queen - Bohemian Rhapsody,624,1,(x16),"5,516,403",0
Shawn Mendes - Shawn Mendes,624,1,(x10),"5,407,952",0
Bruno Mars - 24K Magic,825,4,"","5,382,946",152
Adele - 30,705,1,(x51),"5,212,486",257
SZA - Ctrl,1399,6,"","5,145,509",644
Taylor Swift - Speak Now,833,1,(x14),"5,090,121","2,911"
Lady Gaga - Chromatica,568,1,(x36),"4,950,852",828
Travis Scott - UTOPIA,313,1,(x42),"4,793,533","8,237"
Ed Sheeran - =,518,1,(x14),"4,527,536",28
Juice WRLD - Goodbye & Good Riddance,1093,3,(x1),"4,514,429",8
Taylor Swift - Taylor Swift Karaoke: 1989,833,4,"","4,438,891",0
Bad Bunny - Un Verano Sin Ti,760,3,(x2),"4,284,485","3,401"
BTS - Love Yourself 結 'Answer',1386,4,"","4,240,335",0
Kanye West - Donda,441,1,(x11),"4,239,947",75
Drake - More Life,697,9,"","4,226,905",79
Kendrick Lamar - Mr. Morale & The Big Steppers,576,1,(x7),"4,214,292","2,835"
BLACKPINK - THE ALBUM,972,1,(x24),"4,199,143",133
"Benj Pasek & Justin Paul, Hugh Jackman - The Greatest Showman",673,5,"","4,183,891","4,845"
"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya - The Greatest Showman",690,12,"","4,172,969",0
Kanye West - Graduation,1151,17,"","4,145,365","2,817"
Justin Bieber - Changes,507,1,(x39),"4,127,138",0
Queen - Greatest Hits,971,11,"","4,074,273",180
Olivia Rodrigo - GUTS,271,1,(x24),"4,057,381","11,002"
Doja Cat - Hot Pink,710,4,"","4,011,832",0
"Drake - Honestly, Nevermind",525,1,(x13),"4,011,374","1,335"
Lewis Capaldi - Divinely Uninspired to a Hellish Extent,882,8,"","3,986,096",0
Drake & 21 Savage - Her Loss,536,1,(x7),"3,948,660",824
Bad Bunny - YHLQMDLG,1522,10,"","3,943,938","1,191"
"The Weeknd - My Dear Melancholy,",668,1,(x19),"3,920,110",123
Einstein Baby Lullaby Academy - Baby Lullaby: Relaxing Piano Lullabies and Natural Sleep Aid for Baby Sleep Music,1007,21,"","3,870,100",0
Rammstein - RAMMSTEIN,1111,5,"","3,825,844","1,362"
Kanye West - The Life of Pablo,1181,18,"","3,822,680",215
Camila Cabello - Camila,463,1,(x14),"3,818,220",0
Pink Floyd - The Dark Side of the Moon,1014,10,"","3,812,796","3,279"
Lana Del Rey - Norman Fucking Rockwell,1353,23,"","3,743,025","3,878"
Ariana Grande - Dangerous Woman,1141,22,"","3,715,440",256
Eminem - Kamikaze,481,1,(x29),"3,698,302",187
BLACKPINK - BORN PINK,604,1,(x14),"3,557,691",697
