Artist,Total,Today,1M,2M,3M,4M,5M
Ed Sheeran,"57,026,502","4,015",15,6,4,4,4
Billie Eilish,"38,640,434","102,528",9,4,3,2,1
Ninho,"37,490,912","9,426",7,2,1,0,0
Taylor Swift,"36,649,530","61,441",5,2,2,1,1
Drake,"34,889,495",650,8,3,1,1,0
Dua Lipa,"34,367,641","20,168",9,8,4,2,2
The Weeknd,"33,995,360","4,395",6,3,2,1,1
Post Malone,"28,683,057","8,222",7,5,3,1,1
Ariana Grande,"26,927,495","7,130",10,4,2,0,0
Harry Styles,"25,777,584","2,824",6,3,2,2,2
Jul,"21,527,862","9,044",0,0,0,0,0
Imagine Dragons,"20,236,287",852,5,4,2,2,1
Travis Scott,"17,696,384","4,381",6,2,1,0,0
Lewis Capaldi,"17,234,637","1,708",4,2,2,1,1
Eminem,"16,689,731","30,562",4,2,1,0,0
Olivia Rodrigo,"16,540,605","2,649",4,3,1,0,0
Aya Nakamura,"15,261,993",0,3,1,0,0,0
Doja Cat,"14,190,318",182,6,3,1,0,0
Lady Gaga,"13,776,391",0,3,2,1,1,1
Miley Cyrus,"13,418,613","4,737",3,1,1,1,1
Camila Cabello,"13,279,135",0,2,2,1,1,1
Justin Bieber,"13,113,863",0,6,1,0,0,0
Lil Nas X,"13,089,551",29,4,3,2,1,0
Måneskin,"13,047,350",0,3,2,1,0,0
Tones and I,"12,737,303",211,1,1,1,1,1
Apache 207,"12,584,495","4,232",2,1,0,0,0
Coldplay,"12,554,395","4,974",4,2,1,0,0
Pop Smoke,"11,567,045",0,5,1,0,0,0
Ava Max,"11,445,294",0,3,2,1,1,0
XXXTENTACION,"11,428,457",0,4,2,1,0,0
Adele,"11,269,881","1,984",3,1,1,0,0
Скриптонит,"11,108,669",461,3,0,0,0,0
Bad Bunny,"10,816,695","3,167",2,0,0,0,0
Capital Bra,"10,753,210",0,0,0,0,0,0
MiyaGi & Эндшпиль,"10,367,211","3,551",1,1,1,0,0
Miyagi & Andy Panda,"10,197,284","1,811",4,1,0,0,0
Damso,"9,709,371",324,1,0,0,0,0
Beyoncé,"9,682,886","8,265",3,1,0,0,0
DJ Khaled,"9,316,081",0,4,1,1,0,0
OneRepublic,"9,262,854","1,385",2,1,1,1,0
Niska,"8,889,342",113,1,0,0,0,0
Gazo,"8,778,498",929,2,0,0,0,0
Dadju,"8,741,547",410,0,0,0,0,0
Luciano,"8,470,968",481,1,0,0,0,0
Tate McRae,"8,464,743","7,028",3,2,1,0,0
Artik & Asti,"8,429,676","2,150",3,0,0,0,0
ANNA ASTI,"8,395,808","6,830",3,0,0,0,0
Shawn Mendes,"8,390,365",0,3,0,0,0,0
Zivert,"8,296,056","2,090",4,0,0,0,0
HammAli & Navai,"8,289,182","2,243",3,0,0,0,0
Maroon 5,"8,150,421",0,3,2,1,0,0
Booba,"8,141,992",434,0,0,0,0,0
Avicii,"8,095,058",121,4,0,0,0,0
Bradley Cooper,"8,090,372",0,1,1,1,1,1
Ultimo,"8,070,156","3,435",0,0,0,0,0
Tom Odell,"8,025,181","3,293",1,1,1,1,1
Clean Bandit,"7,828,044",0,4,1,1,0,0
