Artist and Title,Days,Pk,(x?),Total,Today
The Weeknd - Blinding Lights,1576,1,(x129),"16,679,260","4,240"
Tones and I - Dance Monkey,1055,1,(x126),"11,169,118",211
Ed Sheeran - Shape of You,1927,2,(x2),"10,810,739","1,315"
Billie Eilish - bad guy,871,1,(x58),"9,084,538",541
Harry Styles - As It Was,787,1,(x142),"8,705,769","2,121"
Lewis Capaldi - Someone You Loved,1374,5,"","8,491,745","1,708"
Tom Odell - Another Love,1080,2,(x1),"7,931,928","3,293"
Lady Gaga & Bradley Cooper - Shallow,1104,1,(x13),"7,899,499",0
Elton John & Dua Lipa - Cold Heart,760,1,(x50),"7,698,797",76
Ed Sheeran - Bad Habits,794,1,(x20),"7,661,448",594
Glass Animals - Heat Waves,930,2,(x4),"7,191,137",439
Ed Sheeran - Perfect,1099,3,(x28),"7,110,216","1,243"
The Kid LAROI & Justin Bieber - Stay,635,1,(x67),"7,023,388",0
Miley Cyrus - Flowers,508,1,(x181),"6,766,317","4,359"
Dua Lipa - Don't Start Now,696,2,(x17),"6,719,899",735
Post Malone - rockstar,597,1,(x64),"6,691,323",0
Harry Styles - Watermelon Sugar,1080,3,(x9),"6,643,889",634
"Calvin Harris, Dua Lipa - One Kiss",593,1,(x87),"6,559,537",350
Ed Sheeran - Shivers,704,1,(x25),"6,527,335",432
Lost Frequencies & Calum Scott - Where Are You Now,747,2,(x13),"6,283,060",0
Dua Lipa - New Rules,608,3,(x12),"6,214,931","1,344"
Camila Cabello - Havana,473,1,(x76),"6,138,406",0
SAINt JHN - Roses,663,2,(x18),"6,087,149",0
"Cardi B, Bad Bunny & J Balvin - I Like It",501,2,(x12),"5,438,379",0
David Guetta & Bebe Rexha - I'm Good,612,1,(x31),"5,425,963","1,057"
Shawn Mendes & Camila Cabello - Señorita,457,1,(x95),"5,417,210",0
Imagine Dragons - Believer,774,9,"","5,365,759",607
Regard - Ride It,717,4,"","5,185,818",0
Mariah Carey - All I Want For Christmas Is You,380,1,(x102),"5,110,498",0
Joel Corry - Head & Heart,617,2,(x12),"5,057,935",0
Taylor Swift - Anti-Hero,577,1,(x5),"5,004,439","2,402"
Tiësto - The Business,607,1,(x5),"4,903,196",0
Drake - God's Plan,404,1,(x53),"4,849,107",10
Imagine Dragons - Thunder,463,7,"","4,807,526",101
OneRepublic - I Ain't Worried,561,2,(x4),"4,775,481",797
Dynoro & Gigi d'Agostino - In My Mind,454,1,(x46),"4,747,461",0
French Montana - Unforgettable,456,6,"","4,739,059",214
Ed Sheeran & Justin Bieber - I Don't Care,419,1,(x29),"4,389,179",0
Ava Max - Sweet but Psycho,414,1,(x8),"4,366,528",0
Lil Nas X - Old Town Road,344,2,(x30),"4,360,405",29
Farruko - Pepas,469,8,"","4,112,569",0
Luis Fonsi - Despacito,405,1,(x51),"4,080,041",0
Billie Eilish - everything i wanted,482,2,(x18),"4,026,819",239
DaBaby - ROCKSTAR,377,1,(x41),"4,003,991",0
Olivia Rodrigo - good 4 u,398,1,(x32),"3,960,209",456
Lil Nas X - MONTERO,335,1,(x50),"3,893,004",0
Travis Scott - SICKO MODE,570,3,(x1),"3,871,512",0
Sam Smith & Kim Petras - Unholy,316,1,(x56),"3,859,478",0
24kGoldn - Mood,380,1,(x26),"3,829,741",0
Topic & A7S - Breaking Me,471,5,"","3,790,798",0
Tate McRae - greedy,264,1,(x58),"3,763,184","6,833"
Adele - Easy On Me,350,1,(x57),"3,759,061",49
ZAYN - Dusk Till Dawn,282,1,(x15),"3,746,050",0
Wham! - Last Christmas,336,2,(x68),"3,735,197",0
Taylor Swift - Cruel Summer,366,4,"","3,602,201","7,731"
Tiësto & Ava Max - The Motto,399,2,(x11),"3,600,219",0
Marshmello & Bastille - Happier,372,5,"","3,579,509",0
MiyaGi & Эндшпиль - I Got Love,1015,87,"","3,532,049","1,515"
Mabel - Don't Call Me Up,408,3,(x2),"3,515,269",0
Rudimental - These Days,298,3,(x8),"3,506,028",0
DJ Khaled - Wild Thoughts,310,1,(x4),"3,450,556",0
Jawsh 685 x Jason Derulo - Savage Love,339,1,(x38),"3,435,581",0
Post Malone - Better Now,416,6,"","3,431,961",0
Ninho - La vie qu'on mène,1144,43,"","3,391,562","1,585"
Billie Eilish - when the party's over,570,4,"","3,387,333",373
Post Malone - Circles,391,3,(x8),"3,378,091",0
Eminem - Mockingbird,593,6,"","3,356,637","3,857"
Lil Nas X & Jack Harlow - INDUSTRY BABY,302,2,(x10),"3,355,000",0
Ariana Grande - 7 rings,391,1,(x20),"3,334,201",61
Clean Bandit - Solo,256,2,(x29),"3,314,962",0
Gayle - abcdefu,317,1,(x17),"3,314,719",0
The Weeknd & Ariana Grande - Save Your Tears,433,2,(x3),"3,309,182",0
Dua Lipa - Levitating,475,6,"","3,299,380",40
Måneskin - Beggin,364,1,(x25),"3,290,386",0
"Calvin Harris, Sam Smith - Promises",286,2,(x20),"3,266,194",0
Lewis Capaldi - Before You Go,475,9,"","3,258,404",0
Coldplay - Viva La Vida,627,12,"","3,253,865","3,832"
"Ariana Grande - thank u, next",277,1,(x64),"3,240,882",0
Dennis Lloyd - Nevermind,353,8,"","3,226,668",0
XXXTENTACION - Sad,379,1,(x4),"3,218,601",0
Riton & Nightcrawlers - Friday,320,3,(x5),"3,205,346",0
