Artist and Title,Days,Pk,(x?),Total,Today
The Weeknd - Blinding Lights,1589,1,(x114),"14,817,933","2,765"
Ed Sheeran - Shape of You,2440,1,(x4),"14,180,664","1,038"
Tones and I - Dance Monkey,1222,1,(x118),"10,691,184",155
Billie Eilish - bad guy,910,1,(x66),"9,413,139",390
Ed Sheeran - Perfect,2211,1,(x2),"9,213,616","1,392"
The Kid LAROI & Justin Bieber - Stay,848,1,(x122),"8,043,417",243
Lewis Capaldi - Someone You Loved,1632,6,"","8,042,379","1,215"
Harry Styles - As It Was,793,1,(x177),"7,835,555","1,570"
Camila Cabello - Havana,894,1,(x120),"7,723,389",8
Dua Lipa - Don't Start Now,943,1,(x1),"7,640,300",475
Post Malone & Swae Lee - Sunflower,1204,3,(x19),"6,885,441",603
Glass Animals - Heat Waves,1033,2,(x13),"6,729,176",429
Harry Styles - Watermelon Sugar,1294,2,(x2),"6,705,189",475
Ed Sheeran - Bad Habits,924,1,(x32),"6,655,854",554
Lady Gaga & Bradley Cooper - Shallow,1174,2,(x5),"6,582,835",0
Dua Lipa - New Rules,999,3,(x5),"6,510,289","1,275"
Shawn Mendes & Camila Cabello - Señorita,705,1,(x124),"6,481,892",0
Elton John & Dua Lipa - Cold Heart,826,1,(x41),"6,420,489",217
Post Malone - rockstar,755,1,(x8),"5,952,320",84
The Chainsmokers & Coldplay - Something Just Like This,1126,7,"","5,947,401",124
"Calvin Harris, Dua Lipa - One Kiss",636,1,(x65),"5,712,385",196
Imagine Dragons - Believer,1394,15,"","5,437,421",580
Miley Cyrus - Flowers,509,1,(x168),"5,403,296","3,024"
Imagine Dragons - Thunder,782,10,"","5,182,758",173
Post Malone - Circles,760,2,(x6),"5,175,000",55
Ed Sheeran - Shivers,704,3,(x28),"5,162,550",329
Luis Fonsi - Despacito,472,1,(x58),"5,118,232",0
Taylor Swift - Cruel Summer,482,1,(x36),"4,969,299","8,581"
Taylor Swift - Anti-Hero,592,1,(x50),"4,939,831","2,138"
"Ariana Grande - thank u, next",500,1,(x75),"4,830,699",345
Drake - God's Plan,516,1,(x35),"4,754,390",324
Marshmello & Bastille - Happier,545,1,(x30),"4,744,944",0
"Cardi B, Bad Bunny & J Balvin - I Like It",514,3,(x8),"4,733,535",0
Ed Sheeran & Justin Bieber - I Don't Care,481,1,(x19),"4,724,244",0
SAINt JHN - Roses,699,4,"","4,577,234",0
Maroon 5 - Memories,672,4,"","4,378,267",0
Lil Nas X - Old Town Road,465,2,(x13),"4,340,742",9
"benny blanco, Halsey & Khalid - Eastside",759,3,(x4),"4,290,670",0
Tom Odell - Another Love,1012,6,"","4,263,053","1,494"
Charlie Puth - Attention,664,5,"","4,207,410",0
Dua Lipa - Levitating,647,4,"","4,106,150",12
Ariana Grande - 7 rings,557,1,(x21),"4,094,471",544
Mariah Carey - All I Want For Christmas Is You,389,1,(x67),"4,089,224",0
Travis Scott - SICKO MODE,742,5,"","4,063,576",0
Adele - Easy On Me,481,1,(x71),"4,053,241",30
OneRepublic - I Ain't Worried,598,2,(x27),"4,049,467",512
Olivia Rodrigo - good 4 u,443,1,(x38),"3,950,959",380
Maroon 5 - Girls Like You,598,3,(x11),"3,904,963",0
French Montana - Unforgettable,460,8,"","3,870,957",179
Billie Eilish - everything i wanted,517,1,(x7),"3,864,402",142
Justin Bieber - Peaches,472,1,(x55),"3,822,090",0
BTS - Dynamite,745,2,(x2),"3,814,789",80
Halsey - Without Me,498,2,(x22),"3,769,691",0
Lost Frequencies & Calum Scott - Where Are You Now,718,6,"","3,711,040",0
The Chainsmokers - Closer,1073,25,"","3,637,329",29
Regard - Ride It,725,10,"","3,585,095",0
The Weeknd & Ariana Grande - Save Your Tears,462,2,(x13),"3,570,311",0
DaBaby - ROCKSTAR,417,1,(x4),"3,494,641",0
Olivia Rodrigo - drivers license,405,1,(x65),"3,492,797",29
Doja Cat - Kiss Me More,396,2,(x11),"3,492,721",87
24kGoldn - Mood,409,1,(x4),"3,445,203",0
Lil Nas X & Jack Harlow - INDUSTRY BABY,375,2,(x28),"3,443,143",0
Joel Corry - Head & Heart,673,9,"","3,427,787",0
Justin Bieber - Intentions,498,2,(x5),"3,377,565",190
David Guetta & Bebe Rexha - I'm Good,550,4,"","3,352,531",496
Ava Max - Sweet but Psycho,446,4,"","3,315,784",0
Chris Brown - Under the Influence,536,2,(x17),"3,303,648",575
Post Malone - Better Now,539,7,"","3,299,822",0
Sam Smith & Kim Petras - Unholy,309,1,(x37),"3,291,449",0
ZAYN - Dusk Till Dawn,340,2,(x22),"3,242,955",0
Taylor Swift - Lover,649,3,(x13),"3,184,615","2,608"
Roddy Ricch - The Box,398,3,(x2),"3,181,436",0
Lil Nas X - MONTERO,325,1,(x9),"3,120,403",0
SZA - Kill Bill,496,1,(x3),"3,098,093",794
Rema & Selena Gomez - Calm Down,550,2,(x32),"3,089,685",330
Tiësto - The Business,576,6,"","3,068,805",0
Ariana Grande - No Tears Left to Cry,310,1,(x28),"3,055,540",0
Post Malone - Wow.,385,4,"","3,052,849",0
The Weeknd - Save Your Tears,464,2,(x34),"3,047,103",198
Lewis Capaldi - Before You Go,523,16,"","3,038,460",0
Taylor Swift - Look What You Made Me Do,309,1,(x47),"3,010,908",142
Billie Eilish - when the party's over,572,5,"","2,975,740",200
The Weeknd - Starboy,770,18,"","2,975,426",212
DJ Khaled - Wild Thoughts,317,3,(x25),"2,949,788",0
Calvin Harris - Feels,303,3,(x14),"2,941,459",0
Dua Lipa - IDGAF,310,5,"","2,939,442",296
Sam Smith & Normani - Dancing with a Stranger,413,4,"","2,936,597",0
Tate McRae - greedy,264,1,(x22),"2,900,096","5,191"
"Zedd, Maren Morris & Grey - The Middle",359,3,(x4),"2,881,283",0
Harry Styles - Adore You,488,5,"","2,879,405",0
Selena Gomez & Marshmello - Wolves,289,2,(x10),"2,860,056",0
Marshmello - Silence,401,10,"","2,849,916",0
DJ Snake - Taki Taki,328,1,(x9),"2,839,273",0
Dynoro & Gigi d'Agostino - In My Mind,434,4,"","2,837,405",0
Lady Gaga & Ariana Grande - Rain On Me,393,1,(x26),"2,826,941",0
Ariana Grande - positions,303,1,(x43),"2,811,812",7
Billie Eilish & Khalid - lovely,1042,39,"","2,798,079",185
Jonas Brothers - Sucker,306,1,(x26),"2,759,951",0
Jawsh 685 x Jason Derulo - Savage Love,349,1,(x14),"2,759,357",0
