Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP
1,NEW,Pet Shop Boys - A new bohemia - EP,1,1,(x1),15159,+15159,0.015,6,1,1,2,""
2,+2,Adele - 25,3148,1,(x296),11605,+2097,32.857,"","",151,28,""
3,-2,Billie Eilish - HIT ME HARD AND SOFT,20,1,(x11),11456,-3462,0.338,4,14,4,4,67
4,-1,Coldplay - Ghost Stories,3747,1,(x131),11423,+1511,28.124,"",177,160,127,""
5,-3,WayV - Give Me That - The 5th Mini Album - EP,2,2,(x1),11252,-2639,0.025,17,71,43,"",1
6,-1,Daft Punk - Random Access Memories,4090,1,(x121),10522,+1124,29.544,"",178,158,123,""
7,+1,Coldplay - A Head Full of Dreams,3134,1,(x6),9575,+785,23.023,"","",165,142,""
8,+2,Adele - 21,4845,1,(x467),9016,+870,45.074,195,"","","",""
9,-2,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,47,1,(x17),8724,-278,0.713,2,6,17,5,""
10,+2,Ed Sheeran - ÷,2652,1,(x100),8613,+1058,22.664,"",105,157,29,""
11,+3,Ed Sheeran - x,3707,1,(x34),7792,+771,23.617,"","",156,121,""
12,+1,Bruno Mars - Unorthodox Jukebox,4143,1,(x3),7647,+565,22.295,"","","",125,""
13,+3,Beyoncé - BEYONCÉ,3742,1,(x55),7370,+653,17.680,"","","",126,""
14,-5,Bring Me The Horizon - POST HUMAN: NeX GEn,13,2,(x1),7252,-1062,0.148,23,13,26,6,26
15,+6,Various Artists - Bridgerton Season Three,20,3,(x3),6732,+1032,0.169,11,53,7,8,""
16,+4,One Direction - Midnight Memories,3670,1,(x17),6615,+491,16.075,"","","",130,""
17,-2,"Shaboozey - Where I've Been, Isn't Where I'm Going",6,5,"",6612,-295,0.040,1,12,34,7,""
18,+9,London Philharmonic Orchestra & David Parry - The 50 Greatest Pieces of Classical Music,3020,3,(x1),5939,+1113,12.857,"","",45,"",""
19,+7,Michael Bublé - Christmas,3106,1,(x136),5579,+492,19.882,"","",173,"",""
20,+5,One Direction - Made In the A.M.,2739,1,(x10),5516,+386,11.282,"","","",148,""
21,-15,ATEEZ - GOLDEN HOUR : Part.1 - EP,5,1,(x2),5514,-3647,0.068,18,29,68,24,77
22,+2,One Direction - FOUR,3070,1,(x25),5461,+315,12.368,"","","",143,""
23,-12,Kep1er - Kep1going On,2,11,"",5347,-2505,0.013,107,175,"","",7
24,-1,Teddy Swims - I've Tried Everything But Therapy,260,2,(x3),5342,+78,1.477,10,3,71,26,""
25,+3,P!nk - The Truth About Love,3123,1,(x2),5070,+522,13.357,"","",159,122,""
26,-7,Lenny Kravitz - Blue Electric Light,13,4,"",5068,-1085,0.115,79,157,13,"",160
27,+5,David Guetta - Listen,2942,1,(x8),4916,+731,10.352,"","",172,"",""
28,NEW,Only The Poets - One More Night - EP,1,28,"",4812,+4308,0.005,"",8,3,"",""
29,+6,Slash - Orgy of the Damned,20,2,(x4),4782,+731,0.177,35,38,5,"",""
30,+3,Taylor Swift - Lover,1145,1,(x10),4659,+544,5.623,29,77,"",11,""
31,=,ABBA - ABBA Gold: Greatest Hits,1069,1,(x9),4589,+369,7.031,27,11,29,41,""
32,-2,Michael Jackson - Number Ones,3535,1,(x1),4544,+202,12.613,"","",171,135,""
