Artist,Total,Today,1M,2M,3M,4M,5M
Coldplay,"92,112,143","21,243",10,8,6,5,3
Adele,"87,458,214","22,470",4,4,3,3,3
Ed Sheeran,"62,223,845","18,272",6,4,3,3,3
One Direction,"58,655,338","22,453",6,6,5,5,5
Taylor Swift,"56,420,759","20,202",9,8,4,4,4
Queen,"44,795,368","3,350",5,3,3,3,2
David Guetta,"43,903,201","7,446",5,4,4,3,3
Bruno Mars,"41,154,805","11,269",3,3,3,3,3
Michael Bublé,"36,293,457","10,325",2,2,2,2,2
P!nk,"34,282,927","9,856",6,3,3,3,2
Daft Punk,"34,272,877","10,523",3,2,1,1,1
Beyoncé,"33,178,360","10,046",4,3,2,2,2
ABBA,"31,930,785","4,930",4,3,3,3,3
Michael Jackson,"30,045,564","8,735",6,4,3,2,1
Pink Floyd,"29,778,801","6,013",6,5,5,4,3
Verschiedene Interpreten,"27,828,360",0,1,0,0,0,0
Imagine Dragons,"27,129,923",548,4,2,2,2,2
Lana Del Rey,"27,038,337",359,5,3,3,2,2
Eminem,"25,432,250","16,754",8,5,3,2,2
The Beatles,"24,975,528","1,419",3,1,1,1,1
Lady Gaga,"24,230,087","2,516",7,4,3,2,1
Guns N' Roses,"22,143,943",0,3,2,2,2,2
Metallica,"20,754,384","3,520",3,2,1,1,1
Foo Fighters,"19,813,667","1,672",4,4,3,2,1
Linkin Park,"19,224,314","6,208",5,5,1,1,1
Justin Bieber,"19,116,987",0,3,3,2,1,1
Rihanna,"18,928,860",0,5,4,2,2,2
Maroon 5,"18,100,154",0,3,2,2,2,1
Avicii,"18,087,903",0,2,1,1,1,1
Fleetwood Mac,"17,557,332","3,557",4,2,2,2,2
Bob Marley & The Wailers,"17,264,654","3,039",3,2,2,2,2
Katy Perry,"17,001,927",82,4,2,1,1,1
Depeche Mode,"16,485,059","3,423",2,2,2,2,2
Muse,"16,018,791","4,964",3,3,3,3,1
Bruce Springsteen,"15,513,124","1,839",4,2,1,1,0
Madonna,"15,235,973","1,812",5,2,1,1,0
Die drei ???,"15,115,307","2,572",0,0,0,0,0
U2,"14,881,058",120,5,1,1,1,1
Red Hot Chili Peppers,"14,813,138","1,687",4,4,2,1,0
Drake,"14,774,898",0,6,3,1,1,0
Mumford & Sons,"14,293,936",0,3,3,2,2,1
A. R. Rahman,"13,878,391",0,1,0,0,0,0
Ariana Grande,"13,627,561",206,5,2,1,1,1
Dire Straits,"13,610,380",0,2,2,2,1,1
The Weeknd,"13,543,712",5,3,3,2,1,1
London Philharmonic Orchestra & David Parry,"13,321,376","5,939",1,1,1,1,1
Sia,"13,312,041","3,245",2,2,2,2,1
AC/DC,"13,256,586","6,628",3,2,2,1,1
Amy Winehouse,"13,004,999","3,183",2,2,2,1,1
Whitney Houston,"12,899,494","4,121",2,1,1,1,1
Nirvana,"12,855,180","1,815",4,2,1,1,1
Armin van Buuren,"12,754,776","2,361",1,1,1,0,0
Arctic Monkeys,"12,633,075","2,729",2,1,1,1,1
Billie Eilish,"12,168,597","12,588",3,2,2,1,1
Justin Timberlake,"11,889,851",285,3,1,1,1,1
BTS,"11,547,663",169,5,0,0,0,0
Calvin Harris,"11,494,937","3,260",2,2,2,1,1
Kings of Leon,"11,270,148","1,173",3,1,1,1,1
Céline Dion,"11,167,482","2,155",3,1,1,1,1
BLACKPINK,"10,612,589","5,777",5,4,0,0,0
Sam Smith,"10,579,034",0,2,1,1,1,1
Sade,"10,512,556",378,3,1,1,1,1
Bon Jovi,"10,392,958","3,650",3,1,1,1,0
The xx,"10,366,656","4,042",2,2,2,1,1
David Bowie,"10,090,687",811,3,2,0,0,0
Varios Artistas,"9,736,350","1,279",0,0,0,0,0
Elvis Presley,"9,508,529","1,524",3,2,1,0,0
Rammstein,"9,422,615","1,632",3,2,0,0,0
Nickelback,"9,114,815","2,376",3,1,1,0,0
Florence + The Machine,"9,103,731",0,3,3,0,0,0
Bradley Cooper,"8,969,479","2,409",1,1,1,1,1
Jason Mraz,"8,966,655","2,511",3,2,1,1,0
Elton John,"8,787,861","1,607",2,2,1,0,0
Twenty One Pilots,"8,776,842","4,965",2,1,1,1,1
John Mayer,"8,460,345","1,138",3,1,0,0,0
Passenger,"8,453,839",148,1,1,1,1,1
Sting & The Police,"8,391,655",875,2,2,2,1,0
5 Seconds of Summer,"8,203,097",0,2,1,1,0,0
Prince,"8,136,889","3,638",2,1,1,0,0
Eagles,"8,119,829","3,627",2,2,1,1,0
Creedence Clearwater Revival,"8,115,204","2,702",3,2,1,0,0
Frank Sinatra,"8,095,740",0,2,1,1,1,0
Verschillende artiesten,"8,089,279","1,828",0,0,0,0,0
The Black Keys,"8,080,798",231,2,1,1,1,0
Chris Stapleton,"7,989,242","2,631",2,1,1,1,0
The Script,"7,967,724","2,019",3,1,0,0,0
Norah Jones,"7,904,385",0,2,1,1,0,0
Shakira,"7,790,055","1,378",2,1,0,0,0
Multi-interprètes,"7,721,411",617,0,0,0,0,0
Phil Collins,"7,714,393","1,979",2,1,1,1,1
Pentatonix,"7,690,765",280,2,0,0,0,0
Leonard Cohen,"7,674,819","1,158",3,0,0,0,0
Hillsong Worship,"7,550,873","2,637",3,1,0,0,0
Kendrick Lamar,"7,545,860",165,2,2,0,0,0
Lorde,"7,531,713",0,2,1,1,1,0
