Country,iTunes,Spotify,Apple Music,YouTube,Shazam,Deezer,Country,iTunes,Spotify,Apple Music,YouTube,Shazam,Deezer
Worldwide,Eminem - Houdini,Sabrina Carpenter - Espresso,Sabrina Carpenter - Espresso,BADVILLAIN - 'BADVILLAIN' MV,FloyyMenor & Cris Mj - Gata Only,Jimin - Like Crazy,United States,Eminem - Houdini,Tommy Richman - MILLION DOLLAR BABY,Kendrick Lamar - Not Like Us,Eminem - Houdini,Tommy Richman - MILLION DOLLAR BABY,Ariana Grande - we can't be friends (wait for your love)
United Kingdom,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Shaboozey - A Bar Song (Tipsy),Jimin - Like Crazy,Argentina,"Daft Punk, Pharrell Williams & Nile Rodgers - Get Lucky","Los Ángeles Azules - Perdonarte, ¿Para Qué? (feat. Emilia)","Los Ángeles Azules & Emilia - Perdonarte, ¿Para Qué?",Maluma - HOLA PERDIDA REMIX,Benson Boone - Beautiful Things,Jimin - Like Crazy
Australia,Eminem - Houdini,Tommy Richman - MILLION DOLLAR BABY,Eminem - Houdini,Eminem - Houdini,Shaboozey - A Bar Song (Tipsy),V - Love Me Again,Brazil,Racionais MC's - Sou + Você,DJ TOPO - MTG QUEM NÃO QUER SOU EU,Billie Eilish - CHIHIRO,Hoodcelebrityy - She's A Fan,Benson Boone - Beautiful Things,The Box - THE BOX MEDLEY FUNK 2
Canada,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Shaboozey - A Bar Song (Tipsy),Jimin - Like Crazy,Colombia,Tomohisa Yamashita - Perfect Storm (feat. TAEHYUN),Blessd - Mirame (feat. Ovy On The Drums),Feid & ATL Jacob - LUNA,Luis Alfonso - Mi Palabra Contra la de Ellos (En Vivo),Chakal Del Sur - El Amor Y La Felicidad,Jimin - Like Crazy
France,Disturbed - The Sound of Silence (CYRIL Remix),Carbonne - Imagine,GIMS & DYSTINCT - SPIDER,GIMS - SPIDER,FloyyMenor & Cris Mj - Gata Only,Carbonne - Imagine,Germany,Gigi D'Agostino - L'amour toujours (Small Mix),Pashanim - Mittelmeer,Eminem - Houdini,Eminem - Houdini,FloyyMenor & Cris Mj - Gata Only,V - FRI(END)S
India,"Danny, Avvy Sra & Sagar - Ve Haaniyaan","Ram Sampath - Sajni (From ""Laapataa Ladies"") (feat. Arijit Singh & Prashant Pandey)","Arijit Singh, Ram Sampath & Prashant Pandey - Sajni","Arijit Singh - Tainu Khabar Nahi (From ""Munjya"")","Jyoti Nooran, Jaani & Bunny - Paon Ki Jutti","",Indonesia,ECLIPSE - Sudden Shower,Henry Moodie - drunk text,Adrian Khalif & Juicy Luicy - Sialan,Kep1er - Shooting Star MV,Bilal Indrajaya - Niscaya,Jimin - Like Crazy
Italy,Tananai & Annalisa - STORIE BREVI,Tony Effe - SESSO E SAMBA (feat. Gaia),Tony Effe & GAIA - SESSO E SAMBA,Geolier - L'ULTIMA POESIA,Coma_Cose - MALAVITA,Jimin - Like Crazy,Japan,Tomohisa Yamashita - Perfect Storm (feat. TAEHYUN),Mrs. GREEN APPLE - ライラック,Mrs. GREEN APPLE - ライラック,Creepy Nuts - Bling-Bang-Bang-Born,Number_i - Bon,Jimin - Like Crazy
Mexico,RM - Groin,Luis R Conriquez - Si No Quieres No (feat. Neton Vega),Óscar Maydon & Junior H - Volver Al Futuro,Natanael Cano - Madonna,FloyyMenor & Cris Mj - Gata Only,Jimin - Like Crazy,Netherlands,Mart Hoogkamer - Doe Mij 'N Rondje,Roxy Dekker - Sugardaddy,Eminem - Houdini,Eminem - Houdini,FloyyMenor & Cris Mj - Gata Only,Benson Boone - Beautiful Things
Peru,WayV - Give Me That,Rvssian - Santa (feat. Rauw Alejandro & Ayra Starr),"Rvssian, Rauw Alejandro & Ayra Starr - Santa",La Única Tropical - PARTIDO EN DOS,La Única Tropical - PARTIDO EN DOS,Jimin - Like Crazy,Philippines,apl.de.ap & SB19 - Ready,"BINI - Salamin, Salamin",BINI - Pantropiko,TJ Monterde - Palagi,Maki - Dilaw,Jimin - Like Crazy
Poland,Disturbed - The Sound of Silence (CYRIL Remix),Kubi Producent - Woda Księżycowa (feat. bambi & Fukaj & stickxr),Eminem - Houdini,MODELKI - Chyba że z Tobą,Disturbed - The Sound of Silence (CYRIL Remix),Jimin - Like Crazy,Russia,Jazzdauren - Дарите женщинам цветы,"",Монеточка - Селфхарм,Jazzdauren - Дарите женщинам цветы,Женя Трофимов & Комната культуры - Поезда,Muse - Neutron Star Collision (Love Is Forever) (Soundtrack Version)
South Korea,"",Jimin - Like Crazy,뉴진스 - How Sweet,NewJeans - How Sweet,ECLIPSE - Sudden Shower,Tony Anderson - Éclosion,Spain,Teddy Swims - Lose Control,SAIKO - BADGYAL (feat. JC Reyes),"SAIKO, Dei V & JC Reyes - BADGYAL",Las Chuches - EL PANTALON (RUMBAS),CYRIL - Stumblin' In,Jungkook - Standing Next to You
