Country,iTunes,Apple Music,Spotify,Country,iTunes,Apple Music,Spotify
Worldwide,Pet Shop Boys - A new bohemia - EP,Billie Eilish - HIT ME HARD AND SOFT,Billie Eilish - HIT ME HARD AND SOFT,United States,"Shaboozey - Where I've Been, Isn't Where I'm Going",Billie Eilish - HIT ME HARD AND SOFT,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
United Kingdom,Pet Shop Boys - A new bohemia - EP,Billie Eilish - HIT ME HARD AND SOFT,Billie Eilish - HIT ME HARD AND SOFT,Argentina,Soda Stereo - Me Verás Volver (Hits & Más),Billie Eilish - HIT ME HARD AND SOFT,Luck Ra - QUE NOS FALTE TODO
Australia,Cold Chisel - The Best of Cold Chisel: All for You (Deluxe Edition),Billie Eilish - HIT ME HARD AND SOFT,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Brazil,Julliany Souza - Lindo Momento,Billie Eilish - HIT ME HARD AND SOFT,Billie Eilish - HIT ME HARD AND SOFT
Canada,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Billie Eilish - HIT ME HARD AND SOFT,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Colombia,Vetusta Morla - FIGURANTES,Billie Eilish - HIT ME HARD AND SOFT,Feid - FERXXOCALIPSIS
France,SCH - JVLIVS Prequel : Giulio,SCH - JVLIVS Prequel : Giulio,Billie Eilish - HIT ME HARD AND SOFT,Germany,Pet Shop Boys - A new bohemia - EP,Billie Eilish - HIT ME HARD AND SOFT,Billie Eilish - HIT ME HARD AND SOFT
India,"Pandits Of Benaras - Durga Chandi Path, Vol. 2",Anirudh Ravichander - Indian 2 (Original Motion Picture Soundtrack) - EP,"Manan Bhardwaj, Vishal Mishra, Jaani - ANIMAL",Indonesia,WayV - Give Me That - The 5th Mini Album - EP,Billie Eilish - HIT ME HARD AND SOFT,Mahalini - fábula
Italy,Angelina Mango - poké melodrama,Tedua - La Divina Commedia,Tedua - La Divina Commedia (Deluxe),Japan,WEDNESDAY CAMPANELLA - POP DELIVERY,Number_i - No.O -ring-,Mrs. GREEN APPLE - ANTENNA
Mexico,WayV - Give Me That - The 5th Mini Album - EP,Billie Eilish - HIT ME HARD AND SOFT,Gabito Ballesteros - THE GB,Netherlands,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Billie Eilish - HIT ME HARD AND SOFT,Billie Eilish - HIT ME HARD AND SOFT
Peru,Gian Marco - 20 Años,Billie Eilish - HIT ME HARD AND SOFT,Bad Bunny - Un Verano Sin Ti,Philippines,WayV - Give Me That - The 5th Mini Album - EP,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Poland,Katherine Jenkins - From the Heart,Billie Eilish - HIT ME HARD AND SOFT,Billie Eilish - HIT ME HARD AND SOFT,Russia,Monetochka - Молитвы. Анекдоты. Тосты.,Монеточка - Молитвы. Анекдоты. Тосты.,""
South Korea,"",AKMU - LOVE EPISODE - EP,"",Spain,Vetusta Morla - FIGURANTES,Billie Eilish - HIT ME HARD AND SOFT,SAIKO - SAKURA
Taiwan,aespa - Armageddon - The 1st Album,aespa - Armageddon - The 1st Album,aespa - Armageddon - The 1st Album,Thailand,WayV - Give Me That - The 5th Mini Album - EP,aespa - Armageddon - The 1st Album,"RM - Right Place, Wrong Person"
Turkey,Lvbel C5 - #1 - EP,Billie Eilish - HIT ME HARD AND SOFT,Billie Eilish - HIT ME HARD AND SOFT,Vietnam,WayV - Give Me That - The 5th Mini Album - EP,Billie Eilish - HIT ME HARD AND SOFT,"RM - Right Place, Wrong Person"
Algeria,"",The Weeknd - Dawn FM,"",Angola,"",Anna Joyce - A Peça,""
Anguilla,Meek Mill - Dreams Worth More Than Money,Shenseea - Never Gets Late Here,"",Antigua and Barbuda,V - Layover - EP,Gunna - One of Wun,""
Armenia,"Various Artists - Nothing But... Organic House Essentials, Vol. 21",Billie Eilish - HIT ME HARD AND SOFT,"",Austria,Rainhard Fendrich - Symphonisch in Schönbrunn (Live),Billie Eilish - HIT ME HARD AND SOFT,Billie Eilish - HIT ME HARD AND SOFT
Azerbaijan,Daft Punk - Random Access Memories,Billie Eilish - HIT ME HARD AND SOFT,"",Bahrain,Adele - 25,Billie Eilish - HIT ME HARD AND SOFT,""
