Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU
1,=,Eminem - Houdini,5,1,(x5),20574,+86,0.104,1,2,2,8,""
2,=,Disturbed - The Sound of Silence,850,1,(x65),17233,-322,6.255,13,8,1,12,""
3,=,Benson Boone - Beautiful Things,138,1,(x5),14520,+13,1.999,10,12,6,15,""
4,+1,Teddy Swims - Lose Control,300,1,(x3),13126,+92,2.916,3,16,27,17,""
5,-1,"Jaxomy, Agatino Romero & Raffaella Carrà - Pedro",67,1,(x1),12822,-1236,0.861,50,5,"",35,7
6,=,Artemas - i like the way you kiss me,72,3,(x1),12289,-328,0.873,32,7,23,16,""
7,+1,Cyril - Stumblin' In,201,5,"",12069,+544,1.792,93,3,3,"",""
8,+1,Beyoncé - TEXAS HOLD 'EM,114,1,(x18),11054,+160,1.824,27,6,10,91,""
9,-2,David Guetta & OneRepublic - I Don't Wanna Wait,61,3,(x1),10528,-1126,0.666,8,23,7,"",""
10,=,Shaboozey - A Bar Song,54,9,"",9433,+991,0.289,2,11,"",68,""
11,=,Sabrina Carpenter - Espresso,54,10,"",8712,+587,0.360,9,29,25,78,""
12,+1,Hozier - Too Sweet,74,10,"",8185,+215,0.437,7,18,68,98,""
13,-1,Mark Ambor - Belong Together,77,10,"",6741,-1341,0.442,17,14,"",139,""
14,+2,Teddy Swims - The Door,132,14,"",6536,+307,0.441,5,189,18,"",""
15,+8,Myles Smith - Stargazing,26,15,"",5837,+872,0.111,4,61,"","",""
16,-2,Dasha - Austin,88,11,"",5666,-789,0.392,6,26,"","",""
17,+1,Billie Eilish - BIRDS OF A FEATHER,19,17,"",5602,-250,0.095,11,27,"",103,""
18,+4,Gigi d'Agostino - L'amour toujours,15,14,"",5153,+4,0.376,"",1,"",121,""
19,-4,Taylor Swift - Fortnight,47,6,"",5076,-1248,0.424,19,15,54,"",""
20,-3,Tommy Richman - Million Dollar Baby,27,17,"",5031,-1014,0.105,18,51,70,"",66
21,-1,Billie Eilish - LUNCH,19,8,"",4995,-563,0.159,38,43,114,58,""
22,+18,Adele - Hello,2694,1,(x116),4694,+1528,11.356,"","","","",35
23,+4,ZERB & Sofiya Nzau - Mwaki,188,6,"",4599,+61,1.103,"",25,"",54,""
24,+1,Loreen - Tattoo,460,1,(x5),4487,-338,3.286,73,"",32,"",""
25,-6,Miley Cyrus - Flowers,509,1,(x137),4468,-1095,6.601,43,65,92,"",""
26,+52,Dua Lipa - Houdini,208,1,(x21),4408,+2127,2.177,74,58,93,"",""
27,+4,Dua Lipa - Training Season,110,1,(x1),4153,+153,0.976,111,44,64,56,""
28,-4,Slimane - Mon amour,209,1,(x1),4134,-732,0.718,"","",4,"",""
29,-1,Post Malone - I Had Some Help,26,8,"",4059,-379,0.141,15,76,"",79,""
30,+4,AYLIVA & Apache 207 - Wunder,40,23,"",3758,+96,0.159,"",4,"","",""
31,+100,"André Rieu, Johann Strauss Orchestra & Emma Kok - Voilà",109,10,"",3739,+1963,0.461,59,48,39,"",""
32,+1,Alessandra Amoroso - Mezzo Rotto,5,32,"",3701,+23,0.018,"","","",1,""
33,+2,Taylor Swift - Cruel Summer,343,1,(x2),3625,+152,1.397,47,"",38,"",""
34,-13,floyymenor & Cris Mj - Gata Only,55,17,"",3612,-1667,0.198,"",129,21,31,""
35,+11,SANTA - Popcorn Salé,308,19,"",3455,+504,1.030,"","",16,"",""
36,=,Zaho de Sagazan - Modern Love,12,15,"",3416,-34,0.054,"","",5,"",""
37,+105,"Fred again.., Anderson .Paak & CHIKA - places to be",5,37,"",3397,+1688,0.012,34,140,"","",""
38,+7,Coldplay - Viva la Vida,544,6,"",3295,+290,2.973,"",99,87,49,""
39,+16,Pierre Garnier - Ceux qu'on était,112,21,"",3294,+661,0.368,"","",14,"",""
40,+4,Ricchi & Poveri - Sarà perché ti amo,389,10,"",3282,+270,1.393,"",57,81,199,""
41,NEW,Christine and the Queens - Full of life,2,41,"",3197,+2717,0.011,37,153,59,"",""
42,-16,BENNETT - Vois sur ton chemin,305,1,(x1),3162,-1575,1.773,"",17,185,"",""
43,-14,Jason Derulo & Michael Bublé - Spicy Margarita,54,8,"",3144,-960,0.266,"",10,"","",""
44,+5,SANTA - Recommence-moi,42,44,"",3122,+391,0.118,"","",13,"",""
45,-7,Journey - Don't Stop Believin',69,38,"",3073,-259,1.280,66,54,"","",""
46,+15,Joost - Europapa,97,13,"",3058,+498,0.318,"","","","",69
47,+30,Taylor Swift - Shake It Off,510,2,(x3),3044,+759,5.631,63,"",30,"",""
48,+44,ADELE - Rolling In the Deep,2539,9,"",3006,+833,8.470,"","","","",102
49,-10,Yanns - Clic clic pan pan,237,32,"",2936,-345,0.637,"","",9,"",""
50,+2,"SDP, Sido & Esther Graf - Mama hat gesagt",33,23,"",2920,+255,0.100,"",9,"","",""
51,-21,Purple Disco Machine & ÁSDÍS - Beat Of Your Heart,131,6,"",2918,-1153,0.736,"",22,"","",""
52,+1,Ofenbach - Overdrive,243,2,(x2),2914,+274,1.881,"",41,186,"",""
53,-5,Coldplay - A Sky Full of Stars,1344,1,(x17),2903,+87,8.995,106,"","",48,""
54,+3,Zaho de Sagazan - La symphonie des éclairs,184,21,"",2881,+269,0.589,"","",12,"",""
55,+24,ADELE - Someone Like You,2560,12,"",2851,+574,8.294,"","","",106,""
56,+28,Rose Villain - COME UN TUONO,83,56,"",2831,+609,0.182,"","","",6,""
57,+91,Leony - Simple Life,70,45,"",2783,+1120,0.160,"",24,"","",""
