Artist,Streams,Daily,As lead,Solo,As feature
Drake,"99,418.1",39.739,"67,980.2","37,682.9","31,437.8"
Taylor Swift,"83,228.8",88.385,"80,553.8","73,534.9","2,675.0"
Bad Bunny,"80,294.1",38.440,"49,708.1","27,854.7","30,585.9"
The Weeknd,"65,227.1",36.314,"52,016.1","36,525.6","13,211.1"
Justin Bieber,"52,956.7",18.938,"31,616.6","19,393.1","21,340.1"
Ed Sheeran,"52,239.3",13.144,"46,469.5","36,965.6","5,769.8"
Eminem,"47,831.9",35.011,"40,301.0","24,489.5","7,530.9"
Ariana Grande,"47,098.0",25.926,"39,084.6","27,918.4","8,013.4"
Travis Scott,"46,022.8",29.520,"24,056.0","18,029.7","21,966.7"
Kanye West,"45,745.7",24.807,"32,597.1","21,351.1","13,148.6"
Post Malone,"42,850.7",24.641,"38,477.8","21,172.9","4,372.9"
J Balvin,"41,833.4",11.664,"19,007.3","6,069.0","22,826.1"
Rihanna,"41,428.7",21.800,"29,937.4","19,803.4","11,491.2"
BTS,"39,355.3",12.340,"35,065.2","31,803.4","4,290.1"
Future,"37,524.2",25.293,"18,756.2","8,494.3","18,768.0"
Ozuna,"36,672.1",11.304,"15,569.5","6,759.1","21,102.5"
Juice WRLD,"36,025.9",12.330,"26,300.9","20,375.5","9,725.0"
Kendrick Lamar,"35,348.8",31.577,"23,998.9","14,699.0","11,350.0"
Billie Eilish,"34,801.5",54.460,"34,801.5","30,403.4",""
Nicki Minaj,"34,769.8",11.667,"12,865.9","7,356.5","21,903.9"
Bruno Mars,"32,301.7",18.131,"24,784.6","20,558.0","7,517.2"
Imagine Dragons,"32,057.2",15.390,"30,262.4","25,762.7","1,794.8"
Chris Brown,"31,987.9",12.906,"17,007.4","8,256.4","14,980.5"
Coldplay,"31,741.8",16.311,"29,034.1","25,919.7","2,707.7"
XXXTENTACION,"31,643.9",14.748,"27,527.5","22,579.6","4,116.4"
Dua Lipa,"31,534.2",17.580,"20,963.1","16,902.3","10,571.1"
Daddy Yankee,"30,351.8",10.847,"14,223.8","7,483.0","16,127.9"
Khalid,"29,942.7",8.189,"15,677.1","10,391.9","14,265.6"
Lil Wayne,"29,696.8",10.432,"11,271.4","3,102.0","18,425.4"
21 Savage,"29,561.2",18.719,"11,941.3","6,068.7","17,619.9"
David Guetta,"29,026.1",17.437,"21,041.5",268.6,"7,984.5"
Anuel AA,"27,535.5",14.261,"12,796.6","3,988.0","14,738.9"
Lil Baby,"26,740.5",15.666,"13,514.3","6,296.8","13,226.2"
Maroon 5,"26,350.3",10.874,"26,142.6","16,860.2",207.7
Lana Del Rey,"26,308.0",22.778,"23,761.0","21,286.3","2,547.0"
Beyoncé,"26,050.2",13.385,"21,791.6","16,355.2","4,258.6"
Lil Uzi Vert,"25,606.9",9.059,"16,424.1","13,118.0","9,182.7"
Maluma,"25,511.9",9.797,"14,310.9","8,553.4","11,201.0"
Rauw Alejandro,"25,235.4",19.140,"14,142.1","5,617.7","11,093.3"
Calvin Harris,"24,807.6",13.324,"22,996.3","4,043.5","1,811.3"
J. Cole,"24,557.1",10.750,"18,446.2","14,631.8","6,110.9"
Sia,"24,189.1",9.032,"16,320.9","11,962.1","7,868.2"
Young Thug,"23,957.9",7.677,"8,037.2","2,017.0","15,920.7"
Shawn Mendes,"23,871.4",6.508,"23,192.6","17,846.0",678.8
Sam Smith,"23,541.1",7.556,"19,942.5","14,876.8","3,598.6"
KAROL G,"23,532.5",16.277,"17,332.8","7,875.3","6,199.6"
Farruko,"22,866.1",6.794,"6,256.1","3,512.8","16,610.0"
SZA,"22,700.1",21.846,"14,752.0","11,291.9","7,948.1"
Queen,"22,391.6",9.648,"22,330.1","20,609.1",61.5
Myke Towers,"22,375.3",15.321,"8,001.1","5,686.9","14,374.2"
Doja Cat,"22,139.0",11.373,"18,116.8","13,053.3","4,022.2"
Harry Styles,"21,814.3",10.634,"21,814.3","21,814.3",""
Lady Gaga,"21,548.5",10.824,"21,080.1","14,138.1",468.4
Selena Gomez,"21,259.8",6.424,"12,681.4","9,184.4","8,578.4"
One Direction,"21,138.1",10.021,"21,138.1","21,055.0",""
Ty Dolla $ign,"20,958.8",7.912,"4,171.3",282.7,"16,787.5"
Adele,"20,828.5",9.344,"20,786.3","20,653.7",42.2
Feid,"20,775.5",24.433,"11,114.3","6,007.7","9,661.2"
Nicky Jam,"20,716.8",5.458,"8,372.1","2,193.0","12,344.7"
Halsey,"20,657.5",5.542,"11,347.2","10,031.5","9,310.3"
Shakira,"20,617.7",11.474,"15,654.3","7,296.1","4,963.4"
Katy Perry,"19,495.2",9.592,"17,088.9","13,084.7","2,406.3"
Wiz Khalifa,"19,232.8",6.394,"8,716.3","3,275.5","10,516.5"
Metro Boomin,"19,208.3",23.418,"9,352.6",96.2,"9,855.7"
The Beatles,"19,195.3",9.275,"19,193.1","19,005.2",2.2
Linkin Park,"19,153.8",11.684,"17,806.0","16,746.1","1,347.8"
Gunna,"19,048.1",15.483,"6,764.4","3,853.0","12,283.7"
The Chainsmokers,"18,955.6",6.697,"18,335.2","3,269.4",620.5
Marshmello,"18,710.8",8.088,"13,749.1","1,501.3","4,961.7"
Arijit Singh,"18,473.3",23.153,"7,250.4","3,705.1","11,222.9"
Cardi B,"18,454.4",5.004,"8,534.7","3,394.2","9,919.8"
Arctic Monkeys,"18,430.8",10.975,"18,430.8","18,430.8",""
Miley Cyrus,"18,131.5",8.349,"15,590.9","13,678.5","2,540.6"
JAY-Z,"17,619.7",7.931,"9,694.0","2,136.7","7,925.7"
Olivia Rodrigo,"17,497.2",16.991,"17,495.1","16,078.2",2.1
Camila Cabello,"17,283.9",5.609,"9,879.4","5,084.6","7,404.5"
DaBaby,"17,252.8",4.066,"8,015.7","4,473.1","9,237.1"
A$AP Rocky,"16,928.3",9.404,"9,289.6","3,636.1","7,638.6"
Avicii,"16,764.0",6.006,"15,719.5","10,660.5","1,044.5"
Pitbull,"16,714.4",9.754,"11,652.3","1,513.6","5,062.1"
Kygo,"16,269.1",5.554,"14,575.0",212.6,"1,694.1"
Twenty One Pilots,"16,222.4",11.650,"16,218.7","16,161.7",3.7
Quavo,"16,219.8",3.923,"2,015.7",692.9,"14,204.0"
Sech,"15,958.1",5.677,"6,335.1","2,007.8","9,623.1"
Frank Ocean,"15,857.1",12.364,"12,629.7","11,657.2","3,227.4"
Morgan Wallen,"15,786.4",24.252,"13,899.9","12,903.9","1,886.5"
"Tyler, The Creator","15,668.2",10.787,"13,177.5","6,849.7","2,490.7"
OneRepublic,"15,283.7",9.861,"14,000.4","12,291.0","1,283.3"
Red Hot Chili Peppers,"15,250.8",7.710,"15,250.8","15,250.0",""
Tyga,"15,130.3",3.771,"6,546.8","2,462.5","8,583.5"
Snoop Dogg,"15,028.0",6.653,"5,734.8","1,360.5","9,293.2"
Trippie Redd,"14,957.6",5.615,"9,544.9","4,962.2","5,412.7"
Jason Derulo,"14,691.4",3.575,"11,225.6","6,748.6","3,465.8"
Peso Pluma,"14,589.1",20.090,"6,825.9","1,252.7","7,763.2"
Arcángel,"14,534.7",8.315,"5,624.0","1,412.6","8,910.8"
Michael Jackson,"14,356.0",6.955,"13,666.4","12,612.8",689.6
Mac Miller,"14,351.8",6.690,"13,264.3","9,503.0","1,087.5"
Bebe Rexha,"14,282.3",5.554,"5,126.9","2,462.8","9,155.3"
A Boogie Wit da Hoodie,"14,008.3",5.084,"9,167.9","4,887.7","4,840.5"
Demi Lovato,"14,001.2",3.280,"9,217.4","8,083.1","4,783.8"
$uicideboy$,"13,961.4",10.666,"13,556.1","10,913.8",405.3
Charlie Puth,"13,887.3",5.967,"11,034.2","6,517.7","2,853.1"
Swae Lee,"13,856.4",5.557,398.5,121.0,"13,457.8"
Playboi Carti,"13,854.0",14.576,"8,930.0","5,928.9","4,924.1"
Pop Smoke,"13,841.7",4.653,"12,490.1","6,635.1","1,351.6"
Tiësto,"13,810.9",9.912,"10,700.0","2,825.5","3,110.9"
Elton John,"13,759.8",7.115,"12,423.3","8,670.4","1,336.6"
YoungBoy Never Broke Again,"13,639.5",5.864,"10,052.9","8,799.9","3,586.6"
50 Cent,"13,521.4",8.407,"9,256.9","5,504.8","4,264.5"
