Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
The Killers - Mr. Brightside,497,"",12,"","1,441,659","327,208,636"
Lewis Capaldi - Someone You Loved,283,42,1,(x4),"4,128,542","301,007,849"
The Weeknd - Blinding Lights,229,33,1,(x9),"4,116,878","240,245,084"
Drake - One Dance,299,23,1,(x14),"5,751,303","239,003,796"
Vance Joy - Riptide,480,4,7,"","1,491,723","228,969,300"
Ed Sheeran - Shape of You,224,20,1,(x8),"9,270,670","216,801,371"
Arctic Monkeys - Do I Wanna Know?,491,16,3,(x2),"1,050,624","202,426,392"
Dave - Location,250,7,9,"","2,008,999","197,806,728"
Oasis - Wonderwall - Remastered,412,"",60,"","648,472","185,337,899"
Harry Styles - As It Was,113,42,1,(x9),"5,882,463","180,116,417"
Mariah Carey - All I Want for Christmas Is You,80,44,1,(x10),"7,742,035","179,934,193"
James Arthur - Say You Won't Let Go,311,17,1,(x5),"3,806,301","179,864,270"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,239,13,3,(x1),"2,334,687","179,080,240"
Glass Animals - Heat Waves,165,35,2,(x2),"2,143,169","177,090,117"
Wham! - Last Christmas,79,43,1,(x15),"8,512,099","173,619,469"
Hozier - Take Me To Church,306,19,2,(x3),"1,565,179","162,101,934"
The Kooks - Naive,384,"",54,"","829,489","160,047,814"
Olivia Rodrigo - good 4 u,129,21,1,(x7),"8,271,129","156,652,659"
Harry Styles - Watermelon Sugar,196,10,4,"","2,266,607","152,874,285"
George Ezra - Shotgun,179,16,1,(x1),"3,933,993","150,428,459"
Tones And I - Dance Monkey,116,28,1,(x12),"4,584,918","149,109,507"
Post Malone - rockstar,155,21,1,(x10),"4,136,615","147,872,480"
Juice WRLD - Lucid Dreams,196,7,6,"","2,319,541","146,289,446"
Ed Sheeran - Bad Habits,102,22,1,(x5),"4,885,211","136,217,176"
Tom Odell - Another Love,189,"",12,"","1,351,431","136,215,540"
Calvin Harris - One Kiss,138,18,1,(x11),"5,758,177","133,278,375"
Joel Corry - Head & Heart,113,26,1,(x5),"4,069,983","130,303,896"
Fleetwood Mac - Dreams - 2004 Remaster,213,"",17,"","1,301,285","129,136,571"
The Neighbourhood - Sweater Weather,191,"",19,"","1,089,376","128,287,286"
Fleetwood Mac - Everywhere - 2017 Remaster,269,"",47,"","958,494","127,822,999"
French Montana - Unforgettable,132,22,2,(x4),"3,510,524","127,483,521"
