Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
The Weeknd - Blinding Lights,1649,446,1,(x82),"8,453,567","4,184,360,112"
Ed Sheeran - Shape of You,2319,237,1,(x98),"9,878,194","3,472,443,106"
Lewis Capaldi - Someone You Loved,1961,107,4,"","3,974,554","3,305,280,707"
Harry Styles - As It Was,796,426,1,(x81),"16,103,849","3,223,226,663"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,2000,213,1,(x16),"5,033,261","3,186,979,253"
The Kid LAROI - Stay,1003,299,1,(x84),"10,629,302","2,933,468,938"
Imagine Dragons - Believer,2631,"",15,"","2,572,100","2,898,520,790"
Glass Animals - Heat Waves,1217,258,1,(x65),"5,003,951","2,809,428,579"
Ed Sheeran - Perfect,2554,102,3,(x1),"3,690,839","2,793,380,658"
Billie Eilish - lovely,2225,"",19,"","2,085,328","2,715,068,862"
Tones And I - Dance Monkey,1048,286,1,(x120),"8,928,593","2,508,984,101"
Harry Styles - Watermelon Sugar,1504,127,4,"","4,321,515","2,506,080,912"
The Weeknd - Starboy,1439,145,1,(x40),"5,125,218","2,470,054,427"
Drake - One Dance,1612,187,1,(x101),"7,196,287","2,351,778,775"
The Neighbourhood - Sweater Weather,1464,"",19,"","2,857,991","2,276,472,812"
James Arthur - Say You Won't Let Go,2252,97,6,"","2,817,950","2,263,181,026"
Dua Lipa - Don't Start Now,1119,235,2,(x7),"6,100,930","2,053,840,589"
Post Malone - rockstar,1208,185,1,(x114),"7,156,650","2,052,310,834"
Shawn Mendes - Señorita,1021,170,1,(x102),"9,936,178","2,046,655,077"
Miley Cyrus - Flowers,508,179,1,(x82),"18,424,325","1,992,579,307"
Tom Odell - Another Love,1146,"",11,"","3,052,832","1,991,716,380"
Elton John - Cold Heart - PNAU Remix,944,199,2,(x1),"5,699,348","1,888,294,983"
Post Malone - Circles,1187,131,1,(x3),"7,292,777","1,887,977,040"
Billie Eilish - bad guy,947,169,1,(x41),"7,220,348","1,884,644,878"
SZA - Kill Bill,543,174,1,(x20),"8,455,200","1,829,261,967"
Juice WRLD - Lucid Dreams,1375,110,2,(x6),"5,544,528","1,819,372,412"
The Chainsmokers - Closer,1428,191,1,(x82),"6,875,523","1,785,912,968"
The Weeknd - Save Your Tears,1185,89,2,(x28),"5,000,774","1,759,616,031"
Taylor Swift - Cruel Summer,484,257,2,(x18),"5,405,688","1,716,391,130"
Lady Gaga - Shallow,1259,79,2,(x6),"5,451,577","1,707,756,803"
Manuel Turizo - La Bachata,702,173,3,(x3),"4,806,467","1,675,638,004"
The Weeknd - Die For You,886,2,9,"","3,554,197","1,649,448,612"
Arctic Monkeys - I Wanna Be Yours,698,"",11,"","3,186,952","1,644,907,173"
Travis Scott - goosebumps,1748,1,10,"","3,297,928","1,631,851,090"
Lil Nas X - INDUSTRY BABY,564,275,2,(x61),"8,808,346","1,629,821,771"
Vance Joy - Riptide,1933,"",16,"","2,526,786","1,629,052,145"
David Guetta - I'm Good (Blue),646,144,1,(x1),"6,863,607","1,625,595,846"
Olivia Rodrigo - good 4 u,549,121,1,(x47),"12,586,645","1,622,311,439"
The Chainsmokers - Something Just Like This,1459,86,2,(x14),"4,937,390","1,614,524,522"
Bad Bunny - Me Porto Bonito,576,176,2,(x5),"8,738,392","1,606,842,723"
Olivia Rodrigo - drivers license,692,112,1,(x67),"13,714,177","1,595,963,086"
Dua Lipa - Levitating,812,80,4,"","4,626,710","1,581,427,006"
OneRepublic - I Ain't Worried,728,53,7,"","3,861,127","1,559,679,289"
Coldplay - Yellow,1253,"",29,"","2,452,459","1,547,967,502"
Ariana Grande - 7 rings,1000,112,1,(x68),"10,445,538","1,527,094,696"
Mariah Carey - All I Want for Christmas Is You,501,209,1,(x74),"23,701,697","1,509,480,530"
XXXTENTACION - SAD!,1139,77,1,(x10),"10,415,088","1,501,007,363"
Taylor Swift - Anti-Hero,548,85,1,(x20),"17,390,253","1,495,696,849"
Queen - Bohemian Rhapsody - Remastered 2011,1568,3,10,"","2,728,139","1,481,297,086"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",480,154,1,(x55),"8,623,941","1,475,187,557"
Jung Kook - Seven,326,153,1,(x71),"17,902,017","1,460,356,433"
OneRepublic - Counting Stars,1852,"",31,"","1,700,088","1,448,785,939"
XXXTENTACION - Jocelyn Flores,1481,9,2,(x3),"7,900,110","1,447,811,195"
Lil Nas X - MONTERO (Call Me By Your Name),513,157,1,(x40),"8,588,023","1,437,151,704"
Hozier - Take Me To Church,1694,139,1,(x30),"2,140,282","1,433,473,088"
Travis Scott - SICKO MODE,1037,141,2,(x5),"6,546,842","1,425,985,849"
Justin Bieber - Ghost,922,8,10,"","2,641,055","1,422,321,325"
Drake - God's Plan,717,146,1,(x74),"8,553,009","1,419,636,888"
BTS - Dynamite,780,119,1,(x1),"7,778,950","1,392,283,880"
SAINt JHN - Roses - Imanbek Remix,680,159,2,(x2),"5,234,607","1,388,148,423"
J. Cole - No Role Modelz,1599,"",59,"","1,867,073","1,384,359,962"
24kGoldn - Mood,626,189,1,(x35),"6,367,748","1,377,292,794"
Maroon 5 - Memories,889,99,2,(x5),"4,917,468","1,370,441,199"
Ruth B. - Dandelions,992,"",32,"","1,772,730","1,360,739,425"
Ed Sheeran - Bad Habits,550,146,3,(x26),"6,008,275","1,350,227,445"
Adele - Easy On Me,616,152,1,(x47),"19,749,704","1,348,852,670"
Sam Smith - Unholy,396,156,1,(x49),"8,853,020","1,325,551,884"
Bad Bunny - DÁKITI,700,118,1,(x36),"10,086,143","1,323,144,052"
Doja Cat - Kiss Me More,551,139,2,(x1),"5,731,381","1,312,730,513"
Marshmello - Happier,823,144,2,(x9),"4,279,508","1,302,211,159"
Rema - Calm Down,572,22,8,"","3,895,947","1,293,012,963"
Camila Cabello - Havana,793,173,1,(x9),"4,949,898","1,288,873,382"
Eminem - Without Me,1066,"",29,"","1,994,631","1,254,479,601"
Bad Bunny - Tití Me Preguntó,436,168,4,"","7,640,843","1,253,903,760"
Ed Sheeran - Thinking out Loud,1675,156,1,(x14),"1,950,373","1,252,437,081"
Ed Sheeran - Photograph,1872,"",13,"","1,214,337","1,249,370,487"
Roddy Ricch - The Box,567,128,1,(x6),"7,427,860","1,246,311,986"
Metro Boomin - Creepin',478,115,1,(x3),"5,702,794","1,241,697,519"
Ed Sheeran - Shivers,625,154,4,"","5,450,839","1,236,107,580"
Calvin Harris - One Kiss,788,99,1,(x3),"4,533,018","1,229,372,109"
Conan Gray - Heather,1037,"",11,"","3,771,797","1,228,574,703"
Ed Sheeran - I Don't Care,627,116,1,(x42),"10,977,389","1,226,341,816"
Post Malone - Better Now,796,76,1,(x37),"6,090,230","1,218,871,302"
DaBaby - ROCKSTAR,505,144,1,(x57),"6,273,718","1,218,421,504"
Tate McRae - greedy,263,206,1,(x34),"6,282,050","1,214,089,586"
Justin Bieber - Peaches,533,100,1,(x18),"8,020,169","1,208,278,824"
Wham! - Last Christmas,441,156,2,(x52),"21,869,632","1,204,038,518"
Imagine Dragons - Thunder,1008,20,7,"","3,218,477","1,197,547,847"
Lewis Capaldi - Before You Go,862,"",17,"","2,375,637","1,180,738,967"
Bad Bunny - Ojitos Lindos,488,111,2,(x5),"6,793,502","1,180,213,497"
Arctic Monkeys - 505,885,"",40,"","1,703,612","1,173,982,941"
The Weeknd - The Hills,1267,80,3,(x8),"2,210,786","1,171,821,303"
Halsey - Without Me,840,124,3,(x10),"4,103,411","1,168,628,874"
Dua Lipa - New Rules,711,161,2,(x24),"4,497,944","1,140,597,500"
John Legend - All of Me,1877,"",16,"","1,440,543","1,108,896,847"
Doja Cat - Woman,534,49,5,"","4,541,274","1,107,964,408"
Måneskin - Beggin',466,104,1,(x25),"8,005,228","1,097,657,144"
Farruko - Pepas,486,104,3,(x4),"4,991,996","1,092,223,873"
Bad Bunny - Yonaguni,574,58,3,(x17),"7,191,161","1,091,187,590"
