Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
1,+1,Billie Eilish - LUNCH,2,1,(x1),"63,286,378","-2,293,543","128,866,299"
2,+1,Sabrina Carpenter - Espresso,7,1,(x1),"63,240,925","-727,056","402,985,169"
3,-2,Tommy Richman - MILLION DOLLAR BABY,5,1,(x2),"60,677,208","-10,301,317","286,677,839"
4,=,Kendrick Lamar - Not Like Us,4,2,(x2),"52,725,079","-9,173,274","242,949,415"
5,+2,Billie Eilish - BIRDS OF A FEATHER,2,5,"","48,335,831","+1,392,039","95,279,623"
6,+2,FloyyMenor - Gata Only (w/ Cris Mj),16,3,(x1),"46,279,523","+624,183","574,378,173"
7,-1,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),3,3,(x1),"45,242,273","-8,547,938","165,592,539"
8,-3,Billie Eilish - CHIHIRO,2,5,"","44,059,526","-12,086,234","100,205,286"
9,+2,Hozier - Too Sweet,10,2,(x2),"41,054,522","-1,324,716","444,881,725"
10,=,Shaboozey - A Bar Song (Tipsy),7,7,"","40,186,771","-2,212,313","234,405,572"
11,+1,Benson Boone - Beautiful Things,19,1,(x6),"40,031,073","-425,060","814,530,164"
12,-3,Artemas - i like the way you kiss me,10,1,(x2),"39,446,618","-3,675,842","498,878,143"
13,=,Taylor Swift - Fortnight (w/ Post Malone),6,1,(x2),"32,308,713","-4,461,531","334,382,076"
14,=,Ariana Grande - we can't be friends (wait for your love),12,1,(x2),"31,885,030","-2,768,024","525,678,974"
15,+3,Djo - End of Beginning,15,3,(x4),"30,887,117","-1,360,942","594,059,694"
16,+5,Teddy Swims - Lose Control,29,5,"","27,697,324","-710,498","657,632,054"
17,NEW,Central Cee - BAND4BAND (w/ Lil Baby),1,17,"","24,624,312","","24,624,312"
18,-3,Billie Eilish - WILDFLOWER,2,15,"","24,264,569","-9,432,482","57,961,620"
19,+7,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",34,3,(x1),"24,002,986","-543,737","795,186,396"
20,+17,Myles Smith - Stargazing,3,20,"","22,626,666","+3,494,885","57,033,057"
21,-4,Billie Eilish - BLUE,2,17,"","22,567,499","-9,767,948","54,902,946"
22,+6,Taylor Swift - Cruel Summer,69,2,(x3),"21,909,423","-1,155,107","1,707,990,215"
23,+1,Taylor Swift - I Can Do It With a Broken Heart,6,5,"","21,476,271","-3,704,178","212,460,581"
24,+3,Future - Like That (w/ Metro Boomin),10,4,"","21,003,424","-3,515,742","317,754,943"
25,+7,Harry Styles - As It Was,113,1,(x11),"20,690,978","-91,772","3,210,080,147"
26,NEW,Zach Bryan - Pink Skies,1,26,"","20,456,500","","20,456,500"
27,+7,Dasha - Austin,12,20,"","20,257,650","+161,262","212,949,643"
28,-6,"Rvssian - Santa (w/ Rauw Alejandro, Ayra Starr)",6,14,"","19,954,147","-7,909,562","150,502,242"
29,-10,Billie Eilish - L’AMOUR DE MA VIE,2,19,"","19,935,428","-10,735,275","50,606,131"
30,+1,Mark Ambor - Belong Together,9,19,"","19,789,235","-1,221,781","175,266,066"
31,-2,SZA - Saturn,14,17,"","19,072,955","-3,719,079","304,156,701"
32,+1,Natanael Cano - Madonna (w/ Oscar Maydon),12,18,"","18,805,475","-1,515,189","243,388,161"
33,+2,Feid - LUNA (w/ ATL Jacob),25,9,"","18,803,042","-584,066","557,515,743"
34,+8,Benson Boone - Slow It Down,10,31,"","18,744,227","+418,499","165,163,630"
35,-19,Billie Eilish - SKINNY,2,16,"","18,727,782","-14,799,615","52,255,179"
36,-16,Billie Eilish - THE GREATEST,2,20,"","18,559,712","-11,572,338","48,691,762"
37,+3,"Chappell Roan - Good Luck, Babe!",7,37,"","18,537,544","-118,098","122,004,031"
38,=,Travis Scott - FE!N,37,5,"","18,529,692","-400,958","570,272,115"
39,+4,Noah Kahan - Stick Season,34,6,"","18,262,334","+67,216","698,171,316"
40,+5,The Neighbourhood - Sweater Weather,221,19,"","18,251,557","+627,651","2,279,355,722"
41,=,Arctic Monkeys - I Wanna Be Yours,99,15,"","18,075,817","-330,201","1,634,419,839"
42,-6,Tate McRae - greedy,37,1,(x4),"17,918,012","-1,380,934","1,205,067,669"
43,+6,Lord Huron - The Night We Met,84,28,"","17,739,564","+1,188,817","844,798,613"
44,+3,Luis R Conriquez - Si No Quieres No (w/ Neton Vega),7,44,"","17,254,702","-25,570","96,441,066"
45,-1,ILLIT - Magnetic,10,11,"","17,200,645","-976,408","208,671,033"
46,-16,Kendrick Lamar - euphoria,5,4,"","17,082,660","-5,607,841","142,877,739"
47,+1,Mitski - My Love Mine All Mine,36,3,(x2),"16,549,520","-511,901","889,944,316"
48,-25,Billie Eilish - THE DINER,2,23,"","16,205,289","-9,619,533","42,030,111"
49,+112,DJ TOPO - MTG QUEM NÃO QUER SOU EU,2,49,"","16,102,015","+6,245,723","25,958,307"
50,+7,aespa - Supernova,2,50,"","16,007,716","+1,301,217","30,714,215"
51,-5,"Jaxomy - Pedro (w/ Agatino Romero, Raffaella Carrà)",7,29,"","16,000,050","-1,504,405","132,603,359"
52,+3,"Tyler, The Creator - See You Again (w/ Kali Uchis)",66,16,"","15,859,170","+748,757","819,719,705"
