Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
1,=,Kendrick Lamar - Not Like Us,4,1,(x4),"26,587,352","-5,350,414","128,905,593"
2,=,Tommy Richman - MILLION DOLLAR BABY,5,2,(x4),"24,741,253","-5,311,133","134,331,359"
3,=,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),3,3,(x3),"23,260,117","-4,462,590","86,052,633"
4,=,Billie Eilish - LUNCH,2,4,"","18,061,221","-1,918,197","38,040,639"
5,=,Shaboozey - A Bar Song (Tipsy),7,3,(x1),"17,321,310","-1,056,734","109,237,885"
6,=,Sabrina Carpenter - Espresso,7,1,(x1),"17,275,854","-852,433","124,612,337"
7,+1,Billie Eilish - BIRDS OF A FEATHER,2,7,"","17,049,316","+1,055,315","33,043,317"
8,NEW,Zach Bryan - Pink Skies,1,8,"","13,929,163","","13,929,163"
9,-2,Billie Eilish - CHIHIRO,2,7,"","12,456,341","-4,781,651","29,694,333"
10,-1,Hozier - Too Sweet,10,1,(x2),"11,261,127","-1,022,710","166,913,465"
11,-1,Future - Like That (w/ Metro Boomin),10,1,(x2),"10,015,398","-1,968,032","162,520,401"
12,+2,Taylor Swift - Fortnight (w/ Post Malone),6,1,(x1),"9,144,931","-1,709,824","109,903,707"
13,+5,Benson Boone - Beautiful Things,19,1,(x1),"8,907,092","-293,165","195,451,653"
14,+7,"Chappell Roan - Good Luck, Babe!",8,14,"","8,261,866","-195,229","64,529,236"
15,-3,Kendrick Lamar - euphoria,5,3,(x1),"8,247,094","-3,033,259","73,833,765"
16,+6,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),40,1,(x1),"7,920,151","-417,820","351,050,938"
17,-6,Billie Eilish - WILDFLOWER,2,11,"","7,694,994","-3,665,251","19,055,239"
18,+1,Taylor Swift - I Can Do It With a Broken Heart,6,3,(x1),"7,449,749","-1,640,872","83,860,834"
19,+6,Noah Kahan - Stick Season,83,2,(x4),"7,391,311","+168,747","402,507,250"
20,+4,Artemas - i like the way you kiss me,10,3,(x2),"7,250,006","-818,972","100,450,574"
21,+6,Teddy Swims - Lose Control,29,10,"","6,830,393","-238,564","167,901,796"
22,+9,FloyyMenor - Gata Only (w/ Cris Mj),12,13,"","6,669,182","+157,150","69,894,329"
23,-7,Billie Eilish - L’AMOUR DE MA VIE,2,16,"","6,421,458","-3,609,518","16,452,434"
24,NEW,Central Cee - BAND4BAND (w/ Lil Baby),1,24,"","6,337,170","","6,337,170"
25,+3,Ariana Grande - we can't be friends (wait for your love),12,2,(x2),"6,299,262","-701,424","116,055,620"
26,+6,Morgan Wallen - Last Night,70,1,(x7),"6,218,936","-134,785","562,556,214"
27,+10,Dasha - Austin,12,20,"","6,202,959","+138,257","67,509,047"
28,-11,Billie Eilish - BLUE,2,17,"","6,130,803","-3,341,668","15,603,274"
29,+9,Morgan Wallen - Cowgirls (w/ ERNEST),58,29,"","6,085,951","+35,021","171,592,552"
30,-15,Billie Eilish - THE GREATEST,2,15,"","6,054,190","-4,010,253","16,118,633"
31,-18,Billie Eilish - SKINNY,2,13,"","6,009,109","-4,967,727","16,985,945"
32,+7,Benson Boone - Slow It Down,10,22,"","5,919,382","-75,556","57,623,355"
33,+3,Djo - End of Beginning,15,3,(x2),"5,876,653","-222,743","131,402,550"
34,=,Future - Type Shit (w/ Metro Boomin),10,3,(x1),"5,858,579","-397,773","84,694,158"
35,+6,Zach Bryan - Something in the Orange,110,4,"","5,836,615","+65,803","535,840,896"
36,-7,SZA - Saturn,14,5,"","5,831,522","-1,047,227","111,347,871"
37,+5,"Tyler, The Creator - See You Again (w/ Kali Uchis)",152,5,"","5,741,826","+142,438","488,301,015"
38,-12,Taylor Swift - Down Bad,6,2,(x1),"5,710,468","-1,460,037","75,823,509"
39,+21,Myles Smith - Stargazing,3,39,"","5,572,522","+821,452","14,311,707"
40,-20,Billie Eilish - THE DINER,2,20,"","5,533,674","-3,178,898","14,246,246"
41,+2,Travis Scott - FE!N,44,2,(x1),"5,278,872","-258,135","214,320,837"
42,-12,Luke Combs - Ain't No Love In Oklahoma (From Twisters: The Album),2,30,"","5,220,522","-1,442,492","11,883,536"
43,+3,Sexyy Red - Get It Sexyy,11,28,"","5,194,505","-257,329","57,611,648"
44,+4,Morgan Wallen - You Proof,107,8,"","5,030,552","-314,103","476,374,252"
45,+11,Michael Marcagi - Scared To Start,19,16,"","4,984,114","-54,866","90,959,399"
46,-11,Taylor Swift - Who’s Afraid of Little Old Me?,6,9,"","4,961,318","-1,274,961","60,732,336"
47,+2,Morgan Wallen - Thinkin’ Bout Me,65,9,"","4,918,370","-417,681","280,553,358"
48,-3,"¥$ - CARNIVAL (w/ Kanye West, Ty Dolla $ign)",16,1,(x6),"4,835,419","-625,103","188,012,064"
49,+4,Taylor Swift - Cruel Summer,81,2,(x1),"4,833,729","-304,705","452,278,706"
50,-10,Taylor Swift - Guilty as Sin?,6,10,"","4,795,195","-1,008,342","56,315,915"
51,-18,Gunna - one of wun,3,33,"","4,783,011","-1,551,389","16,085,425"
52,-29,Billie Eilish - BITTERSUITE,2,23,"","4,764,552","-3,413,329","12,942,433"
53,+5,Koe Wetzel - Sweet Dreams,2,53,"","4,743,532","-192,370","9,679,434"
54,+5,SZA - Snooze,77,10,"","4,689,753","-213,536","360,061,496"
55,+11,Zach Bryan - Heading South,81,36,"","4,662,477","+138,300","242,736,527"
56,-6,Bryson Tiller - Whatever She Wants,14,7,"","4,628,078","-555,883","98,377,660"
