Artist,Total,Today,1M,2M,3M,4M,5M
Ed Sheeran,"94,151,915","8,753",21,12,8,7,4
Adele,"82,855,252","8,797",10,8,6,5,5
Rihanna,"69,974,917",475,16,10,7,5,4
Taylor Swift,"61,548,349","18,572",15,8,5,2,2
Coldplay,"60,966,726","7,361",14,8,7,6,4
David Guetta,"57,116,941",596,20,13,3,2,1
Lady Gaga,"52,298,101","4,108",14,9,3,2,2
Bruno Mars,"52,033,005","4,310",13,10,7,5,3
Maroon 5,"51,936,410",357,11,10,6,6,4
Katy Perry,"45,888,343",39,14,6,3,3,3
Sia,"45,753,708","5,242",9,7,4,4,4
Imagine Dragons,"44,685,730","3,563",10,8,4,4,4
Pitbull,"39,665,318","3,993",10,7,4,3,3
P!nk,"39,022,634","5,030",11,5,3,2,2
The Weeknd,"38,162,168","1,167",10,7,6,3,1
Justin Bieber,"36,707,457",133,11,4,3,3,2
Avicii,"35,081,057",290,9,5,3,2,2
Calvin Harris,"34,927,495","1,657",11,8,4,2,0
Ariana Grande,"32,316,219","5,063",11,4,2,0,0
One Direction,"28,973,089","2,119",10,3,2,2,0
Drake,"26,635,679",0,7,4,1,1,0
Flo Rida,"26,481,763","3,018",8,4,4,2,0
Eminem,"25,383,263","25,876",6,3,2,2,1
Dua Lipa,"24,912,760","9,490",9,5,1,0,0
BTS,"23,983,148",291,4,1,1,0,0
Miley Cyrus,"23,903,026","5,379",5,3,3,2,1
Beyoncé,"23,497,352","9,199",9,0,0,0,0
Justin Timberlake,"23,351,513","1,748",5,3,2,2,2
The Chainsmokers,"22,951,578","1,574",6,3,3,2,2
Jason Derülo,"22,507,722",312,7,4,1,0,0
Billie Eilish,"21,742,405","21,516",7,2,1,1,1
Shakira,"21,690,440",253,6,3,1,1,1
OneRepublic,"21,236,499","2,875",4,2,2,1,1
Nicki Minaj,"20,565,473",0,5,3,2,1,0
Sam Smith,"20,559,935",0,6,4,2,1,1
Ellie Goulding,"20,365,570",293,5,2,2,1,1
Harry Styles,"20,096,646","1,529",4,4,3,2,1
Enrique Iglesias,"19,983,189",314,6,4,1,1,0
LMFAO,"17,444,183",0,4,2,2,2,2
Clean Bandit,"17,132,130","1,227",4,4,2,2,1
Shawn Mendes,"17,097,503",0,6,4,1,0,0
Pharrell Williams,"16,970,775",52,2,1,1,1,1
Meghan Trainor,"16,859,367","3,280",7,3,1,1,1
Lana Del Rey,"16,785,632",34,5,3,0,0,0
Wiz Khalifa,"16,753,960","2,065",4,2,1,1,1
Charlie Puth,"16,389,217","1,377",5,4,2,0,0
