"","",Video,#,Highlights
1,=,Eminem - Houdini [Official Music Video],91,"#6 India, #1 United States, #6 Brazil"
2,=,BABYMONSTER - 'LIKE THAT' EXCLUSIVE PERFORMANCE VIDEO,43,"#1 Indonesia, #1 Thailand, #3 Philippines"
3,=,aespa 에스파 'Armageddon' MV,36,"#2 Indonesia, #3 Thailand, #12 United States"
4,=,ATEEZ(에이티즈) - 'WORK' Official MV,39,"#5 United States, #5 Russia, #19 Indonesia"
5,=,CENTRAL CEE FT. LIL BABY - BAND4BAND (MUSIC VIDEO),47,"#2 United States, #11 France, #25 Italy"
6,=,TREASURE - 'KING KONG' M/V,12,"#3 Indonesia, #4 Thailand, #5 Japan"
7,=,Paulo Londra - Posdata: (Official Video),16,"#8 Argentina, #14 Mexico, #9 Colombia"
8,=,"Briella, La Joaqui, Yami Safdie - Coquette Remix (Video Oficial)",17,"#10 Argentina, #4 Colombia, #27 Mexico"
9,=,TIKTOK - Ian Lucas x Fede Vigevani x Gusty DJ,15,"#9 Mexico, #7 Argentina, #14 Colombia"
10,=,Cris MJ - SI NO ES CONTIGO (Video Oficial),8,"#12 Mexico, #11 United States, #19 Argentina"
11,=,NewJeans (뉴진스) 'How Sweet' Official MV,15,"#14 Thailand, #10 Philippines, #19 Vietnam"
12,+1,Carin León - Despídase bien [Official Video],10,"#6 Mexico, #14 United States, #6 Colombia"
13,+1,"Luck Ra, Maluma, Khea - HOLA PERDIDA REMIX",10,"#1 Argentina, #20 Colombia, #8 Chile"
14,+1,Bubble Gum,9,"#11 Turkey, #3 South Korea, #23 Argentina"
15,+2,Grupo Firme - El Beneficio De La Duda (Video Oficial),9,"#2 Mexico, #3 United States, #8 Colombia"
16,+2,How Sweet,7,"#6 Turkey, #1 South Korea, #12 Argentina"
17,-5,Grupo Frontera ft. Maluma - POR QUÉ SERÁ (Video Oficial),12,"#15 Mexico, #16 Colombia, #15 Peru"
18,+2,"Kenia OS, Yeri Mua, Ghetto Kids - Mamita Rica (Video Oficial)",12,"#1 Mexico, #26 Colombia, #14 Peru"
19,=,XG - WOKE UP (Official Music Video),8,"#15 Thailand, #7 Vietnam, #16 Philippines"
20,+1,RM 'LOST!' Official MV,20,"#19 India, #17 Philippines, #29 South Korea"
21,+1,"Los Ángeles Azules, Emilia - Perdonarte ¿Para Qué?",8,"#2 Argentina, #10 Peru, #16 Chile"
22,+1,SOOSEKI Lyrical Video | Pushpa 2 The Rule | Allu Arjun | Rashmika | Shreya Ghoshal | Sukumar| DSP,10,"#1 India, #20 United States, #12 United Kingdom"
23,+1,Trueno - REAL GANGSTA LOVE (Visualizer),11,"#30 Argentina, #6 Peru, #28 Chile"
24,+1,GIMS & DYSTINCT - SPIDER (Clip officiel),10,"#1 France, #15 Algeria, #11 Morocco"
25,-9,aespa 에스파 'Supernova' MV,12,"#11 Philippines, #14 Vietnam, #8 Malaysia"
26,+1,Romeo Santos - No Tiene la Culpa | Letra,11,"#10 Colombia, #3 Ecuador, #27 Chile"
27,+32,Kep1er 케플러 | ‘Shooting Star’ M/V,7,"#6 Japan, #28 Indonesia, #27 Philippines"
28,+1,Kany García & Carin Leon – Te Lo Agradezco | Letra,9,"#18 Mexico, #7 Colombia, #21 Ecuador"
29,-1,Armageddon,5,"#8 Turkey, #13 Argentina, #4 Egypt"
30,-4,Lismar || BZRP Music Sessions #60,12,"#22 Argentina, #10 Spain, #13 Dominican Republic"
31,-1,"SANTA FE KLAN, YAHIR SALDIVAR - A LA ORDEN (Video Oficial)",5,"#7 Mexico, #10 United States, #16 Guatemala"
32,=,"Sajni (Full Video): Arijit Singh, Ram Sampath | Laapataa Ladies | Aamir Khan Productions",6,"#2 India, #8 Pakistan, #11 Nepal"
33,-2,SEVENTEEN (세븐틴) '청춘찬가' Official MV,7,"#9 Philippines, #17 South Korea, #19 Malaysia"
34,+15,Zaalima - DYSTINCT | Shreya Ghoshal | Mouni Roy | Rajat Nagpal | Rana Sotal | Anshul Garg,6,"#15 India, #23 Pakistan, #25 Morocco"
35,-1,BABYMETAL x @ElectricCallboy - RATATATA (OFFICIAL VIDEO),14,"#30 United States, #6 Germany, #13 United Kingdom"
36,+32,"Wisin, Don Omar, Jowell & Randy - Puro Guayeteo (Official Video)",6,"#13 Colombia, #13 Chile, #21 Peru"
37,=,米津玄師 - 毎日　Kenshi Yonezu - Mainichi ( Every Day ),4,"#2 Japan, #21 South Korea, #10 Taiwan"
38,-5,Tiago PZK - Mi Corazón (Video Oficial),6,"#16 Argentina, #13 Peru, #7 Bolivia"
39,-3,Ebru Yaşar & Siyam & Zeyd - Kafamın İçi,7,"#2 Turkey, #26 Germany, #13 Azerbaijan"
40,-2,"Kenia OS, El Malilla - Un Bezito (Video Oficial)",8,"#3 Mexico, #28 Ecuador, #17 Guatemala"
41,-2,"DOST YAAD AATE HAI: Sourav Joshi Vlogs | Saaj Bhatt, Danish Sabri | New Hindi Song 2024 | Friendship",3,"#8 India, #11 Pakistan, #15 Nepal"
42,-1,Dafina Zeqiri x Yll Limani - Jom ka du me t’pa,9,"#20 Italy, #3 Germany, #8 United Kingdom"
43,-3,Achacho - Video Song | Aranmanai 4 | Sundar.C | Tamannaah | Raashii Khanna | Hiphop Tamizha,6,"#16 India, #24 Malaysia, #7 Sri Lanka"
44,-2,Roddy Ricch - Survivors Remorse [Official Music Video],6,"#9 United States, #19 United Kingdom, #10 South Africa"
45,-1,Al Shami - Khodni [Official Music Video] (2024) / الشامي - خدني,14,"#25 Egypt, #6 Israel, #18 Saudi Arabia"
46,-3,"Rei, Duki - UN MONTÓN (Video Oficial)",4,"#5 Argentina, #23 Peru, #6 Uruguay"
47,=,Polo G - Angels in the Sky (Official Video),3,"#6 United States, #10 United Kingdom, #22 Canada"
