Artist,Total,Today,1M,2M,3M,4M,5M
Taylor Swift,"106,552,739","102,474",11,10,10,10,9
The Weeknd,"39,505,312","4,123",5,4,4,3,3
Drake,"36,683,953","6,987",11,7,6,4,2
Ed Sheeran,"35,195,060",741,5,4,4,3,2
Billie Eilish,"35,049,903","30,183",3,3,3,3,3
Ariana Grande,"30,126,384","18,057",5,4,4,3,3
Post Malone,"26,767,815",589,5,5,3,3,3
Lana Del Rey,"24,802,400","13,377",8,5,4,1,1
BTS,"23,626,411",7,6,6,2,1,0
Harry Styles,"22,717,007","1,888",3,3,3,2,2
Travis Scott,"22,277,753","11,497",4,3,3,2,1
Kanye West,"20,523,371","5,849",6,6,3,2,0
Dua Lipa,"19,930,524","17,190",2,2,2,2,2
XXXTENTACION,"18,552,105",58,2,2,2,2,2
Bad Bunny,"17,405,166","8,869",6,4,3,1,0
Adele,"17,323,276","2,650",3,3,3,3,3
Queen,"16,151,433",234,3,3,3,3,2
Olivia Rodrigo,"15,800,440","16,602",2,2,2,2,1
Lady Gaga,"15,388,758","1,812",2,2,2,2,1
Imagine Dragons,"15,221,921","1,194",3,2,1,1,1
Eminem,"15,018,445","7,258",6,3,1,0,0
Beyoncé,"14,627,749","15,731",4,1,1,1,1
Justin Bieber,"14,607,847",961,3,3,2,2,1
BLACKPINK,"14,280,760",830,5,2,2,1,0
Baby Lullaby Academy,"14,279,491","9,074",2,1,1,1,1
Kendrick Lamar,"13,993,701","11,091",3,3,2,2,1
周杰伦,"12,790,691","5,338",5,0,0,0,0
Doja Cat,"12,505,101",332,3,2,2,2,1
Varios Artistas,"12,464,974","2,518",2,0,0,0,0
Arctic Monkeys,"12,004,443","2,715",4,1,1,1,1
Pop Smoke,"11,515,171",8,4,2,2,1,1
SZA,"11,463,740","7,960",2,2,2,2,2
Khalid,"11,260,426",0,3,2,1,1,1
群星,"11,097,631","8,373",0,0,0,0,0
Juice WRLD,"10,514,088",31,3,3,1,1,0
Frank Ocean,"10,247,943","9,634",2,1,1,1,1
Metro Boomin,"9,958,420","3,742",3,2,1,1,1
Coldplay,"9,840,296",334,3,2,0,0,0
Ninho,"9,772,540","3,175",5,1,0,0,0
Shawn Mendes,"9,314,841",0,3,2,1,1,1
Verschiedene Interpreten,"8,647,307","1,491",1,0,0,0,0
Die drei ???,"8,616,753",0,0,0,0,0,0
Luke Combs,"8,326,333","2,564",5,1,0,0,0
Youngboy Never Broke Again,"8,261,805",325,0,0,0,0,0
Bradley Cooper,"8,255,069",19,1,1,1,1,1
Jul,"8,240,629","4,975",0,0,0,0,0
Luis Miguel,"8,212,154","1,353",1,0,0,0,0
Relax α Wave,"8,203,398","3,489",3,0,0,0,0
J. Cole,"8,072,010","3,572",3,2,0,0,0
Bruno Mars,"7,718,086",325,2,1,1,1,1
Miley Cyrus,"7,562,997",106,2,2,1,0,0
TWICE,"7,457,390",233,0,0,0,0,0
Sam Smith,"7,254,073",0,3,1,1,0,0
Rammstein,"7,098,575","3,753",2,2,1,0,0
"Tyler, the Creator","6,959,598",740,3,2,1,0,0
ONE OK ROCK,"6,914,092","1,596",2,0,0,0,0
PNL,"6,876,973","1,348",3,2,0,0,0
Gunna,"6,798,505","13,860",3,0,0,0,0
ABBA,"6,522,454","3,012",2,1,1,0,0
Michael Bublé,"6,317,973",0,1,1,1,1,1
Lil Baby,"6,204,472",402,3,1,0,0,0
MAC MILLER,"6,168,273",167,2,2,1,0,0
Charlie Puth,"6,150,049",87,3,1,1,0,0
P!nk,"6,107,545",869,3,1,0,0,0
Pink Floyd,"6,074,295","3,503",2,1,1,0,0
Chris Brown,"5,981,257","5,819",4,0,0,0,0
Morgan Wallen,"5,829,591","2,915",3,1,0,0,0
Burna Boy,"5,815,406",659,3,0,0,0,0
Migos,"5,811,511",0,3,1,1,0,0
Camila Cabello,"5,752,511",0,2,1,1,0,0
twenty one pilots,"5,744,656","16,577",2,1,0,0,0
Future,"5,561,747",329,2,0,0,0,0
Stray Kids,"5,433,421",176,0,0,0,0,0
LINKIN PARK,"5,432,430","1,496",3,0,0,0,0
Lewis Capaldi,"5,422,848",122,2,1,1,0,0
A Boogie wit da Hoodie,"5,327,946","2,349",1,1,0,0,0
Summer Walker,"5,276,316",277,2,1,0,0,0
NewJeans,"5,274,873","10,441",2,2,0,0,0
Machine Gun Kelly,"5,199,573",0,2,1,0,0,0
周杰倫,"5,091,948","1,011",0,0,0,0,0
SEVENTEEN,"5,076,881","4,534",0,0,0,0,0
Lil Durk,"5,065,836",240,3,0,0,0,0
Lorde,"5,018,828",316,2,1,1,0,0
Скриптонит,"4,943,936",0,3,0,0,0,0
Damso,"4,931,903",784,2,0,0,0,0
DaBaby,"4,921,935",0,3,0,0,0,0
Måneskin,"4,912,953",617,2,0,0,0,0
Tory Lanez,"4,885,886",120,1,0,0,0,0
Rod Wave,"4,835,733","1,500",1,0,0,0,0
Roddy Ricch,"4,661,562",97,2,1,0,0,0
Die drei !!!,"4,642,745",0,0,0,0,0,0
Einstein Baby Lullaby Academy,"4,637,423",0,1,1,1,0,0
Polo G,"4,618,817","1,018",2,1,0,0,0
"Kristen Anderson-Lopez & Robert Lopez, Idina Menzel, Kristen Bell & Christophe Beck","4,609,114","3,022",2,1,0,0,0
Joji,"4,573,095",190,2,1,0,0,0
Feid,"4,561,984","3,445",0,0,0,0,0
Nicki Minaj,"4,475,502","1,143",2,1,0,0,0
The 1975,"4,471,361",0,2,0,0,0,0
Ozuna,"4,442,534",0,2,0,0,0,0
NCT DREAM,"4,392,770",830,0,0,0,0,0
Morat,"4,366,793",158,1,0,0,0,0
Fleetwood Mac,"4,363,035","2,010",2,1,0,0,0
Lil Peep,"4,343,711",53,1,1,0,0,0
Rauw Alejandro,"4,333,529","2,247",1,0,0,0,0
LANY,"4,331,296",379,2,0,0,0,0
Daniel Caesar,"4,277,420",724,1,1,0,0,0
NCT 127,"4,234,713",45,0,0,0,0,0
6ix9ine,"4,227,294",0,2,0,0,0,0
Trippie Redd,"4,219,813",0,0,0,0,0,0
"Benj Pasek & Justin Paul, Hugh Jackman","4,183,891","4,845",1,1,1,1,0
Playboi Carti,"4,177,335",107,2,1,0,0,0
"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya","4,172,969",0,1,1,1,1,0
The Chainsmokers,"4,165,085",0,1,1,0,0,0
Bob Marley & The Wailers,"4,035,002","2,225",2,0,0,0,0
21 Savage,"4,012,642","2,115",3,0,0,0,0
Lauv,"3,972,950",67,2,0,0,0,0
NF,"3,949,329",66,2,0,0,0,0
Drake & 21 Savage,"3,948,660",824,1,1,1,0,0
Lil Uzi Vert,"3,897,114",8,2,0,0,0,0
Rosalía,"3,889,907",460,3,0,0,0,0
Troye Sivan,"3,798,942","4,136",2,0,0,0,0
RADWIMPS,"3,726,321",825,1,0,0,0,0
Anuel AA,"3,719,623",687,1,0,0,0,0
あいみょん,"3,714,965",215,1,0,0,0,0
J Balvin,"3,712,986",141,1,1,0,0,0
Djadja & Dinaz,"3,705,010",336,0,0,0,0,0
TOMORROW X TOGETHER,"3,667,312",373,0,0,0,0,0
Maluma,"3,641,165",40,1,0,0,0,0
Dave,"3,630,941",252,2,0,0,0,0
Calvin Harris,"3,625,140",0,1,1,0,0,0
DJ Khaled,"3,604,763",0,2,0,0,0,0
Halsey,"3,599,815",0,1,0,0,0,0
Young Thug,"3,580,166",109,1,0,0,0,0
EXO,"3,579,189",0,0,0,0,0,0
Lin-Manuel Miranda,"3,577,996",0,1,1,1,0,0
Capital Bra,"3,511,032",6,0,0,0,0,0
The Kid LAROI,"3,505,118",106,2,1,0,0,0
Pritam,"3,487,327","1,028",0,0,0,0,0
SCH,"3,438,057","4,551",0,0,0,0,0
Sfera Ebbasta,"3,394,017","1,480",2,0,0,0,0
Karol G,"3,386,024","1,526",1,0,0,0,0
Mora,"3,363,748","1,475",2,0,0,0,0
King Gnu,"3,362,934","1,229",2,0,0,0,0
Meek Mill,"3,323,235",0,1,0,0,0,0
Sia,"3,321,451",274,1,1,0,0,0
Baby Sleep Music,"3,314,181",29,1,1,1,0,0
"Benny Andersson, Björn Ulvaeus, Meryl Streep & Amanda Seyfried","3,292,013","3,449",1,1,1,0,0
"Lin-Manuel Miranda, Germaine Franco & Encanto - Cast","3,264,646","1,248",1,1,0,0,0
Rihanna,"3,263,421",570,1,1,0,0,0
Official髭男dism,"3,263,159",0,1,0,0,0,0
YOASOBI,"3,249,797","1,181",1,0,0,0,0
Shakira,"3,238,952","1,203",0,0,0,0,0
Melanie Martinez,"3,235,655",503,1,0,0,0,0
Wizkid,"3,234,276",450,1,0,0,0,0
Die drei ??? Kids,"3,222,762",0,0,0,0,0,0
"Lin-Manuel Miranda, Opetaia Foa'i, Mark Mancina & Auli'i Cravalho","3,202,414","2,786",1,1,1,0,0
6LACK,"3,196,906",7,1,0,0,0,0
"Kendrick Lamar, The Weeknd, SZA","3,188,747",0,1,1,1,0,0
Miyagi & Эндшпиль,"3,188,032","1,641",0,0,0,0,0
The Beatles,"3,106,358","2,040",1,0,0,0,0
Cigarettes After Sex,"3,105,119","4,850",1,1,0,0,0
Little Mix,"3,080,656",0,1,0,0,0,0
Ultimo,"3,056,777","2,002",0,0,0,0,0
Zach Bryan,"3,051,125","4,160",1,0,0,0,0
Kodak Black,"3,047,299",6,0,0,0,0,0
Lil Nas X,"3,022,252",0,1,1,0,0,0
Cardi B,"3,007,782",0,1,1,1,0,0
Maroon 5,"2,995,291",276,2,0,0,0,0
Don Toliver,"2,989,788","1,420",1,0,0,0,0
"Lin-Manuel Miranda, Germaine Franco, Stephanie Beatriz, Olga Merediz & Jessica Darrow","2,964,315",0,1,1,0,0,0
LE SSERAFIM,"2,958,294",424,0,0,0,0,0
Oxxxymiron,"2,930,451",979,1,0,0,0,0
Metallica,"2,905,131","1,802",2,0,0,0,0
NCT,"2,903,938",0,0,0,0,0,0
Labrinth,"2,873,782",0,1,1,0,0,0
A. R. Rahman,"2,872,862",0,0,0,0,0,0
Logic,"2,869,474",0,0,0,0,0,0
The Wiggles,"2,863,021","1,082",1,0,0,0,0
JACKBOYS & Travis Scott,"2,862,505",19,1,1,0,0,0
George Ezra,"2,835,101",0,1,1,0,0,0
"Bruno Mars, Anderson .Paak & Silk Sonic","2,823,938",201,1,1,0,0,0
Junior H,"2,816,842","3,467",0,0,0,0,0
Apache 207,"2,813,764","1,752",1,0,0,0,0
Pharaoh,"2,806,610",435,0,0,0,0,0
Brent Faiyaz,"2,797,792",436,0,0,0,0,0
Mrs. GREEN APPLE,"2,758,340","1,880",0,0,0,0,0
Aya Nakamura,"2,730,258",128,1,0,0,0,0
Maes,"2,718,671",310,1,0,0,0,0
ENHYPEN,"2,707,823","3,532",0,0,0,0,0
kizaru,"2,702,085",194,0,0,0,0,0
Red Hot Chili Peppers,"2,700,613",292,1,0,0,0,0
Katy Perry,"2,658,666",471,1,0,0,0,0
A$AP Rocky,"2,652,354",77,1,0,0,0,0
Luciano,"2,647,619",606,0,0,0,0,0
Jack Harlow,"2,646,870",0,1,0,0,0,0
Linda Beldad,"2,613,099","1,771",1,1,0,0,0
Booba,"2,582,805","1,240",0,0,0,0,0
Eladio Carrión,"2,572,840","1,506",0,0,0,0,0
Bonez MC & Raf Camora,"2,562,482",14,1,0,0,0,0
Cafe Music BGM channel,"2,558,872","1,975",0,0,0,0,0
Avicii,"2,556,850",0,2,0,0,0,0
"Lin-Manuel Miranda, Leslie Odom, Jr., Phillipa Soo, Daveed Diggs & Christopher Jackson","2,549,515","2,727",1,1,0,0,0
D-Block Europe,"2,543,898",278,0,0,0,0,0
五月天,"2,543,644",0,0,0,0,0,0
aespa,"2,523,713","11,198",0,0,0,0,0
Christian Nodal,"2,514,806",0,0,0,0,0,0
Nekfeu,"2,502,282",350,1,0,0,0,0
Ufo361,"2,491,168",0,0,0,0,0,0
