Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU
1,=,Billie Eilish - HIT ME HARD AND SOFT,19,1,(x19),22644,+43,0.434,1,1,3,4,""
2,=,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,47,1,(x20),21040,-11,1.036,2,3,13,11,""
3,+1,Dua Lipa - Radical Optimism,54,1,(x7),18532,+441,1.015,17,11,11,18,""
4,-1,twenty one pilots - Clancy,41,3,(x9),18281,+100,0.419,10,9,28,15,""
5,=,Bring Me The Horizon - POST HUMAN: NeX GEn,12,4,"",17432,+182,0.228,3,4,63,21,""
6,=,Gunna - One of Wun,26,2,(x6),16749,+469,0.503,5,10,15,43,""
7,=,Taylor Swift - THE TORTURED POETS DEPARTMENT,47,1,(x1),14886,-97,0.877,6,13,68,49,""
8,+1,Ariana Grande - eternal sunshine,89,1,(x1),14098,+615,1.655,19,32,38,33,""
9,-1,Beyoncé - COWBOY CARTER,68,1,(x14),14074,-144,1.298,12,21,37,54,""
10,+1,Ayra Starr - The Year I Turned 21,5,9,"",11867,-266,0.063,7,45,12,104,""
11,-1,Lenny Kravitz - Blue Electric Light,14,6,"",11594,-1218,0.191,165,18,60,38,31
12,=,Olivia Rodrigo - GUTS,271,1,(x21),11397,+105,3.675,20,15,155,48,""
13,+4,Future & Metro Boomin - WE DON'T TRUST YOU,75,1,(x7),10828,+916,1.303,43,22,54,51,""
14,=,"Shaboozey - Where I've Been, isn't Where I'm Going",14,14,"",10503,+82,0.105,11,20,180,103,173
15,-2,Taylor Swift - 1989,613,1,(x26),10431,-188,5.753,27,31,80,84,167
16,=,Travis Scott - UTOPIA,313,1,(x42),10005,+55,5.021,88,24,85,30,""
17,+1,Taylor Swift - Midnights,593,1,(x33),8706,+1220,8.690,32,42,97,77,""
18,-3,ATEEZ - GOLDEN HOUR : Part.1 - EP,5,10,"",8059,-2035,0.056,128,29,100,63,""
19,+12,Charli XCX - BRAT,44,6,"",7769,+2207,0.296,30,94,162,52,""
20,+1,Taylor Swift - reputation,1517,1,(x12),7737,+882,9.404,37,50,79,97,""
21,-1,Benson Boone - Fireworks & Rollerblades,75,5,"",7603,+545,0.814,26,59,108,96,""
22,+1,Frank Ocean - Blonde,1953,7,"",6936,+149,5.529,66,47,152,68,""
23,-1,Taylor Swift - Lover,1599,1,(x7),6886,+91,9.519,29,52,96,117,""
24,+2,Monetochka - Молитвы. Анекдоты. Тосты.,12,20,"",6832,+528,0.088,"",93,"","",1
25,-6,Lauryn Hill - The Miseducation of Lauryn Hill,18,2,(x1),6828,-274,0.374,53,35,105,80,""
26,-2,Taylor Swift - folklore,1410,1,(x27),6779,+134,11.024,31,75,166,141,""
27,-2,Vince Staples - Dark Times,12,10,"",6567,+123,0.139,46,67,195,163,""
28,=,Various Artists - Bridgerton Season Three,19,8,"",6108,+287,0.173,92,25,192,"",""
29,+8,"Benny Andersson, Björn Ulvaeus, Meryl Streep & Amanda Seyfried - Mamma Mia",1245,6,"",5672,+302,5.539,50,44,194,148,""
30,-1,SCH - JVLIVS Prequel : Giulio,5,28,"",5629,-55,0.029,"",175,1,"",""
31,+3,Bushido - König für immer,5,31,"",5391,-15,0.027,"",2,"","",""
32,-5,Amy Winehouse - Back to Black,98,17,"",5384,-456,1.467,36,65,91,135,179
33,+7,Zed - Malcom,5,33,"",5228,-8,0.026,"","",2,"",""
34,+5,Becky Hill - Believe Me Now,5,24,"",5182,-107,0.032,8,"","","",""
35,-3,ABBA - ABBA Gold: Greatest Hits,1069,10,"",5172,-285,5.705,56,40,"","",""
36,+11,Chris Brown - 11:11,208,2,(x3),5117,+546,2.048,28,63,128,"",""
37,-2,PARTYNEXTDOOR - PARTYNEXTDOOR 4,56,2,(x4),5106,-298,0.456,21,98,107,"",""
38,-8,aespa - Armageddon - The 1st Album,9,8,"",5102,-562,0.092,103,73,122,132,""
39,+4,"¥$, Kanye West & Ty Dolla $ign - VULTURES 1",109,1,(x33),5022,+182,1.735,100,90,"",82,36
40,+2,Lana Del Rey - Born to Die - The Paradise Edition,1487,18,"",5016,-80,6.040,95,"","","",32
