Artist,Total,Today,1M,2M,3M,4M,5M
Taylor Swift,"64,054,229","84,086",11,10,7,6,6
Billie Eilish,"33,661,451","28,175",3,3,3,3,3
The Weeknd,"33,242,234","2,030",4,4,4,3,3
Ed Sheeran,"32,535,782",474,5,4,3,3,2
Drake,"30,042,285","2,140",9,5,4,2,1
Ninho,"24,044,270","7,962",7,5,5,4,1
Travis Scott,"24,043,993","14,391",3,3,3,2,2
Post Malone,"23,159,527",389,5,3,3,3,3
Lana Del Rey,"22,604,858","15,442",8,5,2,1,1
Ariana Grande,"21,437,893","14,099",5,4,3,3,2
Harry Styles,"21,253,319","2,078",3,3,3,2,2
XXXTENTACION,"21,240,658",98,2,2,2,2,2
Jul,"20,706,993","12,436",8,0,0,0,0
Verschiedene Interpreten,"19,548,529","3,423",4,2,1,1,0
Dua Lipa,"18,777,431","19,143",3,2,2,2,2
Eminem,"18,245,364","8,478",7,5,1,0,0
Imagine Dragons,"17,814,131","2,449",4,2,2,1,1
Kanye West,"17,808,852","5,833",6,4,3,1,0
PNL,"17,232,083","3,408",3,3,3,2,2
Queen,"16,972,733",423,3,3,3,2,1
Die drei ???,"16,886,434",0,0,0,0,0,0
Lady Gaga,"15,937,457","1,336",2,2,2,2,1
Rammstein,"15,467,638","8,217",3,2,2,2,1
Arctic Monkeys,"15,085,604","3,464",4,2,1,1,1
Beyoncé,"14,627,127","18,060",4,1,1,1,1
Pop Smoke,"14,357,287",0,4,2,2,2,1
Adele,"13,800,068","2,369",3,3,3,3,0
Olivia Rodrigo,"12,802,084","15,686",2,2,2,1,1
Kendrick Lamar,"12,429,927","8,586",3,2,2,1,1
Скриптонит,"12,373,961",0,5,3,1,0,0
Damso,"12,007,691","2,008",4,3,1,1,0
ABBA,"10,789,706","5,172",3,2,1,1,1
Die drei !!!,"10,718,176",0,0,0,0,0,0
Doja Cat,"10,361,847",264,3,2,2,1,1
Coldplay,"10,361,124",479,3,3,0,0,0
Bad Bunny,"10,271,097","3,856",5,1,1,1,0
Måneskin,"9,960,874","1,375",4,2,2,0,0
Bradley Cooper,"9,524,580",19,1,1,1,1,1
Djadja & Dinaz,"9,319,983",840,3,1,0,0,0
Justin Bieber,"9,122,579",0,3,2,1,1,0
Metro Boomin,"8,765,563","1,745",3,1,1,1,1
Juice WRLD,"8,675,764",0,3,3,1,0,0
Capital Bra,"8,618,315",52,3,2,0,0,0
SCH,"8,568,330","9,865",5,0,0,0,0
Sfera Ebbasta,"8,489,344","3,699",3,3,0,0,0
Varios Artistas,"8,169,471",453,0,0,0,0,0
Baby Lullaby Academy,"7,942,154","5,944",2,1,1,1,1
Miley Cyrus,"7,857,976",53,2,2,2,0,0
Raf Camora,"7,735,420",441,3,0,0,0,0
Ultimo,"7,654,016","4,998",3,1,0,0,0
P!nk,"7,544,411",972,3,2,1,0,0
Khalid,"7,407,026",0,3,1,1,1,0
Die drei ??? Kids,"7,186,998",0,0,0,0,0,0
LINKIN PARK,"7,004,457","2,610",3,1,0,0,0
Miyagi & Эндшпиль,"7,004,046","3,909",3,0,0,0,0
Michael Bublé,"6,943,787",0,1,1,1,1,1
Oxxxymiron,"6,825,317","2,594",2,2,1,0,0
Pink Floyd,"6,731,694","3,730",2,2,1,0,0
Maes,"6,702,594",776,2,1,0,0,0
Lil Peep,"6,701,000",35,2,1,1,0,0
Frank Ocean,"6,688,648","7,659",2,1,1,1,1
twenty one pilots,"6,643,886","18,392",2,2,0,0,0
Shawn Mendes,"6,639,678",0,2,1,1,1,0
Bonez MC & Raf Camora,"6,622,384",118,3,1,0,0,0
Lewis Capaldi,"6,610,399",190,2,1,1,1,0
SZA,"6,573,397","3,603",2,2,1,1,0
"Tyler, the Creator","6,488,800",728,3,1,0,0,0
Pharaoh,"6,422,290","1,086",2,1,0,0,0
Burna Boy,"6,390,723",272,3,2,0,0,0
Aya Nakamura,"6,351,016",320,3,1,0,0,0
Luciano,"6,320,095","1,365",3,0,0,0,0
Migos,"6,259,262",0,3,1,1,0,0
Booba,"6,228,969","3,100",2,1,0,0,0
Nekfeu,"6,198,467",876,2,1,1,0,0
BTS,"6,134,199",0,2,0,0,0,0
Разные артисты,"6,094,069",211,0,0,0,0,0
Apache 207,"6,092,659","3,126",3,1,0,0,0
kizaru,"6,045,975",308,2,0,0,0,0
6ix9ine,"6,044,129",0,2,2,0,0,0
Ufo361,"5,978,868",0,1,0,0,0,0
Lazza,"5,963,353","1,453",4,0,0,0,0
Gunna,"5,918,103","16,749",3,0,0,0,0
PLK,"5,916,814","2,552",1,0,0,0,0
Dadju,"5,892,829",555,2,2,0,0,0
Niska,"5,740,135",108,3,2,0,0,0
"Benny Andersson, Björn Ulvaeus, Meryl Streep & Amanda Seyfried","5,721,550","5,862",1,1,1,1,1
Chris Brown,"5,603,718","5,117",3,1,0,0,0
Sam Smith,"5,555,250",0,2,1,0,0,0
Machine Gun Kelly,"5,448,367",0,2,1,1,0,0
Naps,"5,405,584",0,1,0,0,0,0
Kontra K,"5,341,459",935,1,0,0,0,0
Angèle,"5,290,461",0,3,1,0,0,0
Bob Marley & The Wailers,"5,249,198","3,044",3,1,0,0,0
OG Buda,"5,128,360","3,471",1,0,0,0,0
Lomepal,"5,091,802",56,3,0,0,0,0
Orelsan,"5,047,186",327,2,1,0,0,0
Shindy,"4,945,269",190,2,1,0,0,0
Marracash,"4,915,189","2,216",2,1,0,0,0
Verschillende artiesten,"4,811,071",77,0,0,0,0,0
Salmo,"4,788,992",97,1,0,0,0,0
Макс Корж,"4,769,925",0,2,0,0,0,0
J. Cole,"4,701,527","1,091",2,0,0,0,0
Dave,"4,664,953",257,2,1,0,0,0
"Simone Sommerland, Karsten Glück & Die Kita-Frösche","4,597,960","3,895",1,1,0,0,0
Rosalía,"4,578,645",347,3,0,0,0,0
Bibi Blocksberg,"4,557,680",0,0,0,0,0,0
Pinguini Tattici Nucleari,"4,532,536","1,288",2,0,0,0,0
Ozuna,"4,527,083",0,2,0,0,0,0
Hamza,"4,525,146","1,594",2,0,0,0,0
"Benj Pasek & Justin Paul, Hugh Jackman","4,517,963","4,940",1,1,1,1,0
"Lin-Manuel Miranda, Germaine Franco & Encanto - Cast","4,494,166","1,317",1,1,1,0,0
Lacrim,"4,487,304","1,190",0,0,0,0,0
Tedua,"4,323,900","3,832",2,0,0,0,0
Artisti Vari,"4,306,574",274,0,0,0,0,0
Пошлая Молли,"4,280,009",591,2,0,0,0,0
Tayc,"4,259,471",0,2,0,0,0,0
Zivert,"4,251,148","1,670",2,0,0,0,0
Metallica,"4,150,151","4,865",2,0,0,0,0
"Benj Pasek & Justin Paul, Hugh Jackman, Keala Settle, Zac Efron, Zendaya","4,124,010",0,1,1,1,1,0
Bibi und Tina,"4,122,334",0,0,0,0,0,0
Artik & Asti,"4,120,807","1,303",2,0,0,0,0
Gemitaiz,"4,084,807",791,1,0,0,0,0
Multi-interprètes,"4,069,866",114,0,0,0,0,0
Camila Cabello,"4,060,647",0,1,1,0,0,0
Nicki Minaj,"4,044,416","1,085",2,1,0,0,0
Sia,"4,029,372",632,1,1,0,0,0
MAC MILLER,"4,027,678",15,2,1,0,0,0
George Ezra,"3,979,413",0,1,1,1,0,0
Capo Plaza,"3,977,759","3,869",2,1,0,0,0
D-Block Europe,"3,962,549",612,0,0,0,0,0
Boulevard Depo,"3,942,100",373,1,0,0,0,0
Playboi Carti,"3,909,851",97,2,1,0,0,0
RIN,"3,905,251",0,1,0,0,0,0
Jah Khalib,"3,896,081",220,1,0,0,0,0
Gazo,"3,885,043",878,2,1,0,0,0
SDM,"3,882,655","1,031",2,1,0,0,0
ЛСП,"3,874,729",653,1,0,0,0,0
Cro,"3,873,447",0,2,0,0,0,0
Werenoi,"3,870,666","7,323",1,0,0,0,0
TKKG,"3,855,052",0,0,0,0,0,0
Rkomi,"3,850,385",0,1,0,0,0,0
21 Savage,"3,808,717",632,3,0,0,0,0
