Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,JP,DE
1,=,Sabrina Carpenter - Espresso,54,1,(x8),16682,+45,0.712,10,3,"",17
2,=,Billie Eilish - LUNCH,19,1,(x11),14518,+98,0.323,15,9,"",7
3,+1,Eminem - Houdini,5,3,(x2),13733,+244,0.061,2,1,"",1
4,+1,Billie Eilish - BIRDS OF A FEATHER,19,3,(x6),13697,+352,0.273,8,12,"",13
5,-2,Billie Eilish - CHIHIRO,19,2,(x8),13630,+134,0.302,14,16,"",10
6,=,Taylor Swift - Fortnight,47,1,(x28),13045,+21,0.805,23,10,"",23
7,+1,Hozier - Too Sweet,75,4,"",12679,+85,0.741,16,5,"",12
8,-1,Benson Boone - Beautiful Things,138,1,(x30),12543,-68,1.822,21,11,"",9
9,=,Tommy Richman - MILLION DOLLAR BABY,39,7,"",12187,+50,0.377,4,15,"",24
10,=,floyymenor & Cris Mj - Gata Only,105,7,"",11712,+16,0.729,25,"","",6
11,=,Central Cee & Lil Baby - BAND4BAND,12,10,"",11230,+393,0.114,9,4,"",14
12,=,Kendrick Lamar - Not Like Us,31,3,(x5),9790,+109,0.361,1,26,"",45
13,+2,Billie Eilish - WILDFLOWER,19,6,"",9406,+289,0.215,18,25,"",36
14,-1,Teddy Swims - Lose Control,212,4,"",9365,+119,1.628,20,13,"",22
15,-1,Shaboozey - A Bar Song,53,14,"",9297,+152,0.363,5,2,"",30
16,+1,Artemas - i like the way you kiss me,76,3,(x8),8839,+33,0.718,128,21,"",4
17,+1,Billie Eilish - BLUE,19,7,"",8711,+125,0.206,38,45,"",25
18,-2,Taylor Swift - Cruel Summer,482,1,(x36),8580,-284,4.969,82,28,"",54
19,=,Post Malone - I Had Some Help,26,10,"",8552,+46,0.227,3,6,"",63
20,=,Billie Eilish - L’AMOUR DE MA VIE,19,8,"",7973,+416,0.189,37,41,"",57
21,=,Ariana Grande - we can't be friends,89,1,(x28),7729,+236,1.135,77,29,"",73
22,=,Taylor Swift - Down Bad,47,2,(x12),7197,+209,0.564,29,34,"",94
23,=,Billie Eilish - THE GREATEST,19,9,"",6366,+160,0.174,42,44,"",69
24,=,Taylor Swift - I Can Do It With a Broken Heart,47,3,(x5),6250,+169,0.489,45,19,"",78
25,+1,Myles Smith - Stargazing,25,25,"",5790,+198,0.106,182,7,"",49
26,+1,Dasha - Austin,90,18,"",5738,+202,0.417,104,8,"",19
27,-2,aespa - Supernova,22,24,"",5635,+23,0.124,"","",9,""
28,+1,Billie Eilish - SKINNY,19,4,"",5292,+72,0.182,63,57,"",75
29,+3,Tate McRae - greedy,264,1,(x22),5190,+103,2.900,162,55,"",37
30,+5,"Future, Metro Boomin & Kendrick Lamar - Like That",64,3,(x5),5178,+245,0.513,7,91,"",120
