Artist,Total,Today,1M,2M,3M,4M,5M
Taylor Swift,"65,226,442","86,192",13,5,4,2,0
Ed Sheeran,"60,938,023","3,878",14,8,4,4,4
Drake,"46,936,222","6,973",13,2,1,1,0
Billie Eilish,"36,893,029","88,911",9,5,2,1,1
Post Malone,"35,386,137","9,041",9,6,4,2,2
The Weeknd,"34,914,622","3,527",7,3,2,1,1
Dua Lipa,"32,957,659","12,803",8,6,3,3,2
Ariana Grande,"32,310,338","10,454",11,4,3,2,0
周杰伦,"28,329,174","14,704",4,0,0,0,0
Bad Bunny,"27,792,420","7,761",7,2,0,0,0
Harry Styles,"25,470,949","2,078",6,3,2,2,2
Olivia Rodrigo,"19,577,265","2,468",6,4,2,0,0
Justin Bieber,"19,257,362",375,7,2,2,0,0
BTS,"18,957,978",80,4,1,1,0,0
Travis Scott,"17,867,838","4,361",4,2,1,1,0
BLACKPINK,"17,658,493",91,8,1,0,0,0
Doja Cat,"16,777,185","1,092",5,3,1,0,0
Imagine Dragons,"16,707,962",873,5,2,2,2,2
Lewis Capaldi,"15,012,786","1,215",2,2,2,1,1
Ninho,"14,894,745","3,732",1,0,0,0,0
Coldplay,"14,565,112","3,708",4,2,1,1,1
Camila Cabello,"14,242,335",8,3,1,1,1,1
Morgan Wallen,"13,865,363","12,283",4,0,0,0,0
The Chainsmokers,"13,269,760",152,2,2,2,1,1
Tones and I,"12,549,448",196,1,1,1,1,1
Eminem,"12,381,106","22,020",3,0,0,0,0
Maroon 5,"11,868,442",31,3,3,2,1,0
Pop Smoke,"11,763,695",0,5,1,0,0,0
Official髭男dism,"11,738,121","2,678",2,0,0,0,0
Lady Gaga,"11,666,655",22,2,1,1,1,1
SZA,"11,649,673","8,904",3,2,1,0,0
Adele,"11,442,493","1,377",3,1,1,1,0
Lil Nas X,"11,223,833",9,3,2,2,1,0
Miley Cyrus,"11,060,102","3,541",3,1,1,1,1
DJ Khaled,"10,855,147",0,4,1,0,0,0
TWICE,"10,799,792",200,0,0,0,0,0
Charlie Puth,"10,731,331",124,3,1,1,1,0
YOASOBI,"10,659,200","4,751",1,1,0,0,0
XXXTENTACION,"10,200,894",0,4,1,0,0,0
あいみょん,"9,720,445","2,387",2,0,0,0,0
Shawn Mendes,"9,205,352",0,3,1,0,0,0
Khalid,"8,853,899",0,3,1,0,0,0
NewJeans,"8,636,535","16,618",3,0,0,0,0
Jul,"8,591,065","3,610",0,0,0,0,0
Mrs. GREEN APPLE,"8,498,812","12,469",1,0,0,0,0
