Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU
1,=,floyymenor & Cris Mj - Gata Only,85,1,(x5),18311,+127,1.022,"",6,8,5,15
2,=,Eminem - Houdini,5,2,(x2),17458,+277,0.077,1,1,86,50,""
3,=,Billie Eilish - LUNCH,19,1,(x14),17096,-58,0.369,9,7,52,48,""
4,=,Benson Boone - Beautiful Things,138,1,(x83),16601,-259,2.345,11,9,32,29,""
5,=,Sabrina Carpenter - Espresso,54,4,"",16353,-218,0.714,3,17,37,58,""
6,=,Billie Eilish - CHIHIRO,19,2,(x12),15665,-122,0.346,16,10,68,68,""
7,=,Artemas - i like the way you kiss me,77,2,(x7),14546,-66,1.137,21,4,64,44,""
8,=,Billie Eilish - BIRDS OF A FEATHER,19,3,(x4),14439,+217,0.296,12,13,115,116,""
9,=,Central Cee & Lil Baby - BAND4BAND,12,8,"",14123,+522,0.144,4,14,98,80,""
10,=,Hozier - Too Sweet,74,7,"",13263,-55,0.823,5,12,129,128,""
11,=,Tommy Richman - Million Dollar Baby,36,8,"",12983,+93,0.384,15,24,119,150,18
12,=,Taylor Swift - Fortnight,47,1,(x8),12236,-278,0.755,10,23,69,95,""
13,=,Teddy Swims - Lose Control,213,3,(x20),11848,+83,2.333,13,22,154,99,""
14,+1,Billie Eilish - WILDFLOWER,19,7,"",10639,+205,0.251,25,36,168,"",""
15,-1,Billie Eilish - BLUE,19,6,"",10621,+96,0.254,45,25,173,"",""
16,=,Shaboozey - A Bar Song,46,16,"",9961,+296,0.331,2,30,"","",""
17,=,Kendrick Lamar - Not Like Us,31,2,(x2),9395,+85,0.384,26,45,"",126,""
18,+1,Billie Eilish - L’AMOUR DE MA VIE,19,8,"",8582,+143,0.224,41,57,174,"",""
19,-1,Beyoncé - TEXAS HOLD 'EM,114,1,(x1),8101,-342,1.659,32,28,76,"",""
20,+1,Post Malone - I Had Some Help,26,12,"",8080,-15,0.218,6,63,"","",""
21,+2,Dasha - Austin,85,17,"",7746,+62,0.518,8,19,"","",""
22,-2,Taylor Swift - Cruel Summer,366,4,"",7730,-439,3.602,28,54,170,"",""
23,-1,Dua Lipa - Training Season,110,3,(x4),7549,-141,1.324,51,64,74,75,""
24,+2,Myles Smith - Stargazing,25,24,"",7461,+290,0.132,7,49,"","",""
25,-1,Mark Ambor - Belong Together,78,22,"",7445,-73,0.453,18,18,172,"",""
26,-1,Billie Eilish - THE GREATEST,19,10,"",7225,-68,0.206,44,69,"","",""
27,=,Tate McRae - greedy,264,1,(x58),6832,-90,3.763,55,37,"","",""
28,+1,Billie Eilish - SKINNY,19,3,(x2),6497,-157,0.221,57,75,"","",""
29,+2,Ariana Grande - we can't be friends,89,2,(x19),6413,+184,1.089,29,73,164,"",""
30,=,CYRIL - Stumblin' In,130,18,"",6251,-125,0.762,"",8,60,"",""
31,-3,"Jaxomy, Agatino Romero & Raffaella Carrà - Pedro",56,16,"",6200,-583,0.406,"",21,190,"",99
32,=,Disturbed - The Sound of Silence,102,24,"",5814,+112,0.600,"",85,23,"",""
33,=,Taylor Swift - I Can Do It With a Broken Heart,47,6,"",5698,+96,0.452,19,78,"","",""
34,+1,Taylor Swift - Down Bad,47,3,(x2),5240,+131,0.476,34,94,"","",""
35,-1,Billie Eilish - THE DINER,19,12,"",5018,-104,0.168,74,90,"","",""
36,=,Dua Lipa - Illusion,54,8,"",4952,-39,0.399,37,116,79,"",""
37,+1,David Guetta & OneRepublic - I Don't Wanna Wait,51,37,"",4913,+7,0.169,22,41,81,"",""
38,+1,GIMS & DYSTINCT - SPIDER,25,38,"",4910,+41,0.111,"","",1,"",""
39,-2,PASHANIM - Mittelmeer,12,37,"",4877,-55,0.059,"",3,"","",""
40,+3,AYLIVA & Apache 207 - Wunder,40,40,"",4659,-6,0.198,"",2,"","",""
41,=,Dua Lipa - Houdini,208,1,(x6),4633,-105,2.254,165,55,140,"",""
42,=,Billie Eilish - BITTERSUITE,19,15,"",4623,-85,0.159,82,98,"","",""
43,-3,Nemo - The Code,27,3,(x2),4446,-394,0.247,"",138,"","",""
44,+2,Miley Cyrus - Flowers,508,1,(x181),4359,-181,6.766,92,76,"","",""
45,+6,Carbonne - Imagine,33,44,"",4349,+105,0.148,"","",4,"",""
46,+1,SCH - Prequel,5,46,"",4344,+15,0.021,"","",3,"",""
47,+2,HoodBlaq - BLAQ ON BLAQ,5,47,"",4339,+23,0.019,"",5,"","",""
48,+8,The Weeknd - Blinding Lights,1576,1,(x129),4240,+318,16.679,77,100,"","",100
49,-5,Noah Kahan - Stick Season,228,13,"",4235,-415,1.406,14,153,"","",""
50,=,Natasha Bedingfield - Unwritten,150,3,(x1),4134,-113,1.400,47,42,"","",""
51,-3,Slimane - Mon amour,28,10,"",4109,-214,0.288,"","",33,"",""
52,-7,Joost - Europapa,95,12,"",4031,-521,0.348,"",96,"","",""
53,+1,Djo - End of Beginning,106,6,"",4011,-76,0.948,78,62,"","",""
54,-1,"cassö, RAYE & D-Block Europe - Prada",296,5,"",3998,-123,2.859,52,32,"","",""
55,=,SCH - Crois-moi,5,55,"",3982,+25,0.019,"","",5,"",""
56,+2,Lithe - Fall Back,43,36,"",3935,+160,0.182,"",58,"","",89
57,=,Taylor Swift - Who’s Afraid of Little Old Me,47,11,"",3907,+13,0.366,35,108,"","",""
58,+3,Eminem - Mockingbird,593,6,"",3856,+256,3.357,125,50,"","",107
59,+1,Heuss L'enfoiré - Mélanine,32,56,"",3856,+201,0.108,"","",2,"",""
60,-8,Coldplay - Viva La Vida,627,12,"",3831,-413,3.254,64,97,"","",""
61,-2,SCH - Les hommes aux yeux noirs,5,58,"",3712,+10,0.018,"","",6,"",""
62,+8,Eminem - Without Me,258,38,"",3523,+444,1.168,50,89,"","",148
63,=,SCH - Garcimore,5,61,"",3426,+25,0.017,"","",9,"",""
64,+2,SCH - Cannelloni,19,59,"",3425,+79,0.051,"","",10,"",""
65,=,KeBlack - Boucan,41,47,"",3412,+62,0.156,"","",7,"",""
66,+1,Maes & Ninho - SURVIE,12,52,"",3344,+143,0.045,"","",11,"",""
67,-5,Taylor Swift - But Daddy I Love Him,47,7,"",3307,-159,0.368,39,131,"","",""
68,-4,Tom Odell - Another Love,1080,2,(x1),3292,-64,7.932,115,92,198,"",180
