Artist,Total,Today,1M,2M,3M,4M,5M
Ed Sheeran,"84,290,805","8,335",17,12,8,7,4
Adele,"54,712,273","12,612",8,7,5,5,5
Coldplay,"43,307,167","8,515",9,7,5,4,3
Lady Gaga,"42,774,117","5,669",8,5,3,2,2
Sia,"41,825,306","5,584",10,7,4,3,3
Imagine Dragons,"41,110,152","4,540",11,8,5,3,2
The Weeknd,"39,080,816","1,801",9,8,6,3,1
Avicii,"35,628,798",352,8,4,3,2,2
Rihanna,"32,140,957",424,8,6,3,3,2
P!nk,"31,747,438","6,756",9,4,3,2,2
David Guetta,"30,769,238",328,11,6,2,0,0
Taylor Swift,"29,694,869","17,134",9,3,2,2,1
Calvin Harris,"25,984,226",236,9,7,2,0,0
Dua Lipa,"24,827,298","10,686",10,6,1,0,0
Ariana Grande,"24,269,508","1,902",9,4,0,0,0
Maroon 5,"22,817,258",33,9,4,2,1,0
Katy Perry,"21,954,488",121,4,3,3,2,1
Miley Cyrus,"21,040,309","4,562",5,4,2,2,1
Billie Eilish,"20,736,586","15,617",6,2,2,1,1
Justin Timberlake,"20,315,444","2,549",4,4,2,1,1
Justin Bieber,"19,850,387",0,4,3,3,2,0
Harry Styles,"19,813,632","2,389",4,3,3,2,2
Jason Derülo,"19,524,231",39,6,4,2,0,0
Clean Bandit,"18,958,960","1,047",4,4,3,2,2
Ellie Goulding,"18,266,885",0,5,2,2,1,1
Drake,"18,155,058",0,6,2,1,0,0
Pharrell Williams,"17,811,869",226,2,2,1,1,1
Beyoncé,"17,547,787","12,070",5,0,0,0,0
OneRepublic,"17,025,494","2,082",3,3,1,1,1
Sam Smith,"16,905,163",0,6,3,1,0,0
Bradley Cooper,"16,714,484","2,293",1,1,1,1,1
Bruno Mars,"16,338,804","1,626",4,4,0,0,0
Eminem,"16,128,108","24,273",5,2,1,1,0
Pitbull,"15,863,615","3,500",5,2,1,1,1
The Chainsmokers,"15,750,087",600,5,3,1,1,1
Ava Max,"15,056,244",418,5,2,1,1,0
Lana Del Rey,"14,872,944",43,3,2,2,1,0
Enrique Iglesias,"14,475,582",454,3,3,3,2,0
Kygo,"14,456,104",0,3,2,2,1,0
Lewis Capaldi,"14,141,922",496,4,2,2,1,1
Major Lazer,"14,018,910",0,4,3,1,1,0
Robin Schulz,"13,681,593",332,6,3,1,0,0
George Ezra,"13,558,133",502,4,2,2,0,0
Daft Punk,"13,556,354","2,683",1,1,1,1,1
Shawn Mendes,"13,462,244",0,5,2,0,0,0
Lost Frequencies,"13,363,545",745,2,2,2,2,1
Macklemore & Ryan Lewis,"13,316,854",505,3,2,2,2,1
Måneskin,"13,057,530","2,012",3,1,1,0,0
James Arthur,"12,912,741","2,412",2,2,1,1,1
One Direction,"12,887,236",783,4,1,0,0,0
Queen,"12,593,510",811,5,1,1,0,0
John Legend,"12,535,772",884,1,1,1,1,1
Mark Ronson,"12,397,116","1,192",2,2,1,1,1
Camila Cabello,"12,266,659",0,2,2,2,1,1
Shakira,"11,637,716",590,4,1,1,0,0
Charlie Puth,"11,493,368",728,5,3,1,0,0
BTS,"11,276,682",33,1,0,0,0,0
Rag'n'Bone Man,"11,035,707","1,218",2,2,1,1,1
Stromae,"11,003,535",97,5,1,1,0,0
Tones and I,"10,812,641","1,051",1,1,1,1,1
Alan Walker,"10,736,137",0,3,1,1,1,1
Robin Thicke,"10,710,703",0,1,1,1,1,1
Meghan Trainor,"10,622,517","1,765",4,1,1,1,0
Hozier,"10,161,389","8,288",1,1,1,1,1
Post Malone,"9,980,880","4,092",2,1,1,1,0
Passenger,"9,854,554",0,1,1,1,1,1
Naughty Boy,"9,785,864",0,2,2,1,1,1
Maître Gims,"9,359,019",0,1,0,0,0,0
Lilly Wood & the Prick & Robin Schulz,"9,316,675","2,015",1,1,1,1,1
Alvaro Soler,"9,301,682",0,3,2,0,0,0
PSY,"9,289,629",98,2,2,1,1,1
Imany,"9,266,478",0,2,2,1,1,1
Selena Gomez,"9,155,277",0,2,0,0,0,0
Mariah Carey,"9,090,282",675,1,1,1,1,1
Luis Fonsi,"9,047,065",0,1,1,1,1,1
twenty one pilots,"8,999,068",373,3,2,2,1,0
Martin Garrix,"8,901,240",0,2,1,1,1,1
Jonas Blue,"8,840,056",0,4,2,0,0,0
DJ Snake,"8,831,039",45,3,2,1,0,0
Elton John & Dua Lipa,"8,761,890","2,204",1,1,1,1,1
Loreen,"8,456,132","7,134",2,2,2,1,0
Flo Rida,"8,372,301","4,063",3,0,0,0,0
will.i.am,"8,259,110",0,2,1,1,1,0
Mr. Probz,"8,255,868",0,1,1,1,1,1
Wiz Khalifa,"8,194,102","1,519",2,1,1,1,1
Tiësto,"7,848,418","1,967",2,1,1,1,0
Zara Larsson,"7,670,378","1,211",2,1,0,0,0
Mark Forster,"7,613,174",201,2,0,0,0,0
John Newman,"7,526,253",0,1,1,1,1,1
AC/DC,"7,500,816","5,781",2,1,0,0,0
Kanye West,"7,398,287",0,1,1,1,1,0
Master KG,"7,393,097",270,1,1,1,1,1
Milky Chance,"7,123,275",575,1,1,1,1,1
Rita Ora,"7,091,263",621,3,1,0,0,0
Little Mix,"6,958,526",0,0,0,0,0,0
Lil Nas X,"6,871,860",0,2,1,1,0,0
Metallica,"6,856,828","1,675",1,1,1,1,0
ZAYN,"6,812,662","1,462",2,1,1,1,0
Zivert,"6,753,208",348,1,0,0,0,0
Ofenbach,"6,672,145","3,216",2,1,1,0,0
Duke Dumont,"6,671,963",0,2,2,1,0,0
LP,"6,589,324",35,1,1,1,1,0
Lorde,"6,578,199",0,2,1,1,0,0
Lukas Graham,"6,545,757",0,1,1,1,0,0
Marco Mengoni,"6,515,692",43,0,0,0,0,0
Artik & Asti,"6,437,971",936,1,0,0,0,0
Gotye,"6,431,997",0,1,1,1,1,1
Felix Jaehn,"6,365,514",100,1,1,1,0,0
Disturbed,"6,285,425","17,234",1,1,1,1,1
Rudimental,"6,280,939",56,2,1,0,0,0
Nicki Minaj,"6,225,089",0,1,1,0,0,0
Loboda,"6,158,142",0,1,0,0,0,0
Omi,"6,023,237",678,1,1,1,1,1
Jennifer Lopez,"5,917,260",533,1,1,0,0,0
Soprano,"5,868,015","1,747",0,0,0,0,0
