Artist and Title,Days,Pk,(x?),Total,Today
Lady Gaga & Bradley Cooper - Shallow,2070,1,(x170),"15,902,400","2,293"
Pharrell Williams - Happy,2425,1,(x137),"14,477,490",0
Ed Sheeran - Perfect,2488,1,(x52),"13,072,674","1,938"
Ed Sheeran - Shape of You,2477,1,(x102),"12,296,216","2,556"
Daft Punk - Get Lucky,2054,1,(x61),"11,527,792","2,378"
Adele - Hello,2694,1,(x116),"11,356,146","4,695"
John Legend - All of Me,2145,5,"","10,880,516",638
ADELE - Skyfall,2962,12,"","10,441,476",0
Avicii - Wake Me Up,1238,1,(x88),"10,290,323",0
Robin Thicke - Blurred Lines,1456,1,(x27),"10,281,959",0
The Weeknd - Blinding Lights,1222,1,(x106),"10,219,442","1,182"
Sia - Chandelier,1464,2,(x1),"9,982,456","2,180"
Tones and I - Dance Monkey,956,1,(x127),"9,620,963",783
Justin Timberlake - CAN'T STOP THE FEELING,1341,1,(x83),"9,441,460","1,703"
Lilly Wood & the Prick & Robin Schulz - Prayer In C,1486,1,(x71),"9,316,675","2,015"
Ellie Goulding - Love Me Like You Do,1872,1,(x57),"9,164,566",0
Passenger - Let Her Go,1237,5,"","9,078,375",0
Coldplay - A Sky Full of Stars,1344,1,(x17),"8,994,545","2,904"
Ed Sheeran - Thinking Out Loud,1258,2,(x4),"8,966,653","1,600"
Mark Ronson - Uptown Funk,818,1,(x5),"8,912,318","1,192"
Hozier - Take Me To Church,976,1,(x23),"8,906,057",103
Elton John & Dua Lipa - Cold Heart,1009,1,(x164),"8,761,890","2,204"
Luis Fonsi - Despacito,774,1,(x117),"8,738,314",0
P!nk - Just Give Me a Reason,1114,1,(x6),"8,681,458","2,179"
ADELE - Rolling In the Deep,2539,9,"","8,470,198","3,006"
Billie Eilish - bad guy,829,1,(x45),"8,360,639",194
ADELE - Someone Like You,2560,12,"","8,293,765","2,851"
Lady Gaga - Always Remember Us This Way,1553,2,(x6),"8,199,198","2,724"
James Arthur - Impossible,1398,14,"","8,100,824","2,159"
Mariah Carey - All I Want for Christmas Is You,619,1,(x94),"7,985,095",464
Rihanna - Diamonds,1760,11,"","7,747,448",424
Mr. Probz - Waves,439,1,(x3),"7,475,575",0
Rag'n'Bone Man - Human,755,1,(x10),"7,399,387",200
Ed Sheeran - I See Fire,755,6,"","7,165,367",0
Master KG - Jerusalema,1074,1,(x49),"7,119,078",270
Imagine Dragons - Believer,1555,10,"","7,060,670","2,028"
Avicii - Hey Brother,485,1,(x4),"6,968,889",0
PSY - Gangnam Style,1512,15,"","6,937,561",98
Harry Styles - As It Was,690,1,(x106),"6,683,768","1,639"
Imany - Don't Be So Shy,604,2,(x5),"6,642,182",0
Miley Cyrus - Flowers,509,1,(x137),"6,601,489","4,468"
Naughty Boy - La La La,378,3,(x8),"6,503,332",0
Macklemore & Ryan Lewis - Can't Hold Us,443,3,(x23),"6,481,779",461
Gotye - Somebody That I Used to Know,1451,14,"","6,431,997",0
Alan Walker - Faded,433,1,(x58),"6,423,339",0
