Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,UK,DE,FR,IT,RU
1,NEW,Pet Shop Boys - A new bohemia - EP,1,1,(x1),17119,+17119,0.017,1,1,13,2,""
2,-1,Billie Eilish - HIT ME HARD AND SOFT,19,1,(x9),12855,-1604,0.330,14,4,2,7,""
3,=,Adele - 25,3148,1,(x253),12516,+1975,31.438,"",151,135,"",11
4,+1,Daft Punk - Random Access Memories,4075,1,(x131),12115,+1810,31.647,178,158,118,38,12
5,-1,Coldplay - Ghost Stories,3747,1,(x98),12113,+1691,27.845,177,160,136,37,18
6,=,ADELE - 21,4073,1,(x10),11633,+1342,31.990,"","","",34,10
7,+1,Coldplay - A Head Full of Dreams,3134,1,(x10),9264,+774,22.483,"",165,148,36,""
8,-6,Lenny Kravitz - Blue Electric Light,12,1,(x1),9256,-1730,0.160,157,13,5,3,""
9,+4,London Philharmonic Orchestra & David Parry - The 50 Greatest Pieces of Classical Music,2968,2,(x4),9019,+2823,14.658,"",45,"",50,13
10,+1,Beyoncé - BEYONCÉ,3823,1,(x58),8569,+1405,20.235,"","",140,"",27
11,+3,Ed Sheeran - ÷,2651,1,(x74),7735,+1687,19.983,105,157,153,"",82
12,NEW,Only The Poets - One More Night - EP,1,12,"",7549,+6762,0.008,8,3,"","",""
13,-4,Taylor Swift - THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,47,1,(x14),7477,-739,0.648,6,17,8,"",""
14,+1,Ed Sheeran - x,3706,1,(x27),7165,+1122,21.128,"",156,141,69,""
15,+16,Bring Me The Horizon - POST HUMAN: NeX GEn,12,4,"",6793,+2342,0.120,13,26,34,15,""
16,+5,P!nk - The Truth About Love,3491,1,(x2),6610,+1152,13.702,"",159,150,96,70
17,+17,Slash - Orgy of the Damned,19,1,(x1),6517,+2295,0.203,38,5,"",14,""
18,-11,WayV - Give Me That - The 5th Mini Album - EP,2,7,"",6426,-2490,0.015,71,43,19,"",2
19,-2,Bruno Mars - Unorthodox Jukebox,2925,2,(x1),6247,+584,12.821,"","",132,95,""
20,-8,Beth Gibbons - Lives Outgrown,19,3,(x3),6041,-391,0.157,55,9,31,"",""
21,+9,Muse - Drones,1852,1,(x33),5803,+1282,8.496,"","",154,88,20
22,+2,Michael Bublé - Christmas,2221,1,(x85),5766,+738,15.231,"",173,"",56,""
23,+10,Depeche Mode - Delta Machine,3674,3,(x4),5555,+1231,11.196,"",184,"",78,14
24,+12,Whitney Houston - The Ultimate Collection,1906,4,"",5413,+1261,8.321,"",162,"",70,106
25,+13,David Guetta - Listen,2134,1,(x7),5256,+1216,9.328,"",172,163,"",29
26,-7,Zaho de Sagazan - La symphonie des éclairs,310,16,"",5110,-471,0.824,"",72,7,"",""
27,-11,Dua Lipa - Radical Optimism,33,1,(x6),5094,-848,0.317,35,15,15,"",""
28,-5,P!nk - Greatest Hits...So Far,3740,7,"",5089,-132,12.764,"","","","",""
29,+25,Various Artists - Bridgerton Season Three,20,2,(x1),4967,+1907,0.161,53,7,17,"",""
30,-2,"Shaboozey - Where I've Been, Isn't Where I'm Going",5,5,"",4964,+158,0.028,12,34,41,"",""
31,+4,The xx - xx,1229,14,"",4892,+734,5.887,"","",147,101,85
32,-5,Bushido - König für immer,5,15,"",4855,+21,0.028,"",2,"","",""
33,+8,Arctic Monkeys - AM,3219,1,(x10),4844,+1098,11.882,"","","","",31
34,+13,Amy Winehouse - Back to Black,1128,1,(x2),4831,+1476,5.674,19,"",14,"",""
35,+4,AC/DC - Rock or Bust,3089,1,(x24),4777,+743,10.975,"",164,"","",""
36,+1,Michael Jackson - Number Ones,2929,1,(x2),4746,+626,10.976,"",171,"","",21
37,+6,SANTA - RECOMMENCE-MOI,12,21,"",4537,+860,0.056,"","",6,"",""
38,-20,Teddy Swims - I've Tried Everything But Therapy,216,2,(x6),4507,-1131,1.347,3,71,29,"",""
39,-7,Various Artists - 80s 100 Hits,2304,19,"",4499,+97,6.948,"","","","",""
40,-30,ATEEZ - GOLDEN HOUR : Part.1 - EP,5,1,(x2),4449,-2839,0.058,29,68,11,"",""
41,+10,Various Artists - The Very Best of Jazz: 50 Unforgettable Tracks,1142,10,"",4322,+1222,4.411,44,"","",118,4
42,+4,One Direction - Midnight Memories,1265,1,(x5),3970,+497,8.059,"","","",89,""
43,-1,Benson Boone - Fireworks & Rollerblades,61,3,(x3),3969,+236,0.353,34,84,9,"",""
44,+15,Muse - The 2nd Law,767,11,"",3838,+971,5.152,"","",138,67,71
45,+25,"RM - Right Place, Wrong Person",12,1,(x4),3819,+1339,0.128,141,"","","",5
46,+9,Michael Jackson - Michael Jackson's This Is It,951,13,"",3753,+729,5.106,"","","",74,""
47,-18,SCH - JVLIVS Prequel : Giulio,5,25,"",3655,-993,0.022,"","",1,"",""
48,-8,George Michael - Ladies & Gentlemen: The Best of George Michael,1280,5,"",3574,-349,3.882,180,"","",91,""
49,-23,ABBA - ABBA Gold: Greatest Hits,1068,1,(x29),3505,-1396,7.974,11,29,"","",""
50,NEW,Metallica - Metallica,3234,2,(x1),3454,+3066,13.915,"",28,"",13,""
51,+6,One Direction - FOUR,828,1,(x12),3221,+314,6.389,"","","",82,""
52,+172,Linkin Park - LIVING THINGS,788,12,"",3141,+1938,4.635,"",163,"",119,102
53,-9,Lenny Kravitz - Greatest Hits,598,16,"",3130,-446,2.766,123,54,22,"",""
54,-6,Lady Gaga & Bradley Cooper - A Star Is Born Soundtrack,1892,1,(x88),3083,-121,11.938,"","",164,"",""
55,NEW,Bruce Springsteen - Born In the U.S.A.,236,10,"",3047,+3047,1.725,"",51,"",10,""
56,+5,One Direction - Made In the A.M.,934,1,(x6),3033,+340,6.045,"","","",72,""
57,+12,Angelina Mango - poké melodrama,5,49,"",2953,+453,0.015,"","","",1,""
58,-9,Gigi d'Agostino - L'amour Toujours,12,43,"",2918,-246,0.086,"",21,"","",""
59,+1,Madonna - Celebration,822,11,"",2906,+206,4.229,109,"","",65,""
60,+6,Birdy - Birdy,960,33,"",2811,+288,4.072,"",175,137,"",""
61,-3,Various Artists - NOW That's What I Call Rock Anthems,5,56,"",2801,-102,0.014,5,"","","",""
62,+23,Michael Bublé - To Be Loved,967,1,(x9),2783,+596,6.588,"","","","",""
63,+99,TKKG - Folge 232: Drohnenaugen in der Nacht,5,63,"",2667,+1161,0.011,"",22,"","",""
64,-1,Mikhail Krug - 50 Greatest Hits,798,45,"",2657,+46,3.104,"","","","",3
65,NEW,Beyoncé - COWBOY CARTER,66,1,(x10),2654,+1547,0.590,47,23,"","",""
66,+35,Rammstein - RAMMSTEIN,1314,1,(x21),2632,+575,5.522,"","","","",35
67,-2,Monetochka - Молитвы. Анекдоты. Тосты.,12,43,"",2618,+24,0.033,"","","","",1
68,-46,twenty one pilots - Clancy,12,3,(x1),2557,-2671,0.093,36,35,"","",""
69,+78,Skrillex - Bangarang,400,50,"",2556,+931,2.310,"","","","",37
70,+50,Macklemore & Ryan Lewis - The Heist,671,6,"",2544,+740,4.594,"",161,160,"",""
71,-3,Becky Hill - Believe Me Now,5,44,"",2498,-12,0.016,2,"","","",""
