Artist,Total,Today,1M,2M,3M,4M,5M
Coldplay,"81,646,930","21,659",11,4,4,3,3
Adele,"69,267,095","26,359",4,4,2,2,2
Ed Sheeran,"50,903,343","15,815",5,4,3,2,2
Queen,"47,281,651","2,561",4,3,3,3,3
Verschiedene Interpreten,"43,985,258",0,1,0,0,0,0
Daft Punk,"35,499,654","12,116",2,1,1,1,1
P!nk,"33,876,569","12,917",5,3,3,2,2
Beyoncé,"32,873,524","11,224",2,2,2,2,2
Pink Floyd,"32,644,786","6,929",6,5,4,3,3
Lana Del Rey,"32,585,291",535,6,4,3,3,3
ABBA,"32,298,406","4,048",4,3,3,3,3
Depeche Mode,"29,537,391","8,745",4,2,2,2,2
One Direction,"26,452,709","11,856",6,3,3,3,3
David Guetta,"26,100,401","6,141",2,2,2,2,2
Imagine Dragons,"26,071,950",120,4,3,2,2,2
Michael Bublé,"24,244,171","8,550",2,2,2,2,2
Michael Jackson,"23,884,103","9,302",5,4,2,2,2
Taylor Swift,"22,712,699","12,492",6,2,1,1,1
Eminem,"22,289,923","8,574",7,4,3,2,1
Metallica,"21,993,064","5,098",4,3,1,1,1
Lady Gaga,"20,990,684","3,083",5,2,2,2,1
Muse,"20,515,655","9,800",4,3,3,2,2
Die drei ???,"20,429,726","4,019",0,0,0,0,0
Multi-interprètes,"19,808,272","1,927",0,0,0,0,0
AC/DC,"19,678,337","11,124",4,3,2,1,1
Bruno Mars,"18,473,364","6,827",3,3,2,1,1
Avicii,"18,374,035",0,2,1,1,1,1
Bob Marley & The Wailers,"17,433,186","2,092",3,2,2,2,2
Guns N' Roses,"16,280,413",0,2,1,1,1,1
Bruce Springsteen,"15,949,388","3,303",5,1,1,1,1
Rammstein,"15,908,025","3,497",4,3,2,1,1
Разные артисты,"15,830,025",0,1,0,0,0,0
Linkin Park,"15,814,799","8,008",6,3,2,1,0
London Philharmonic Orchestra & David Parry,"15,709,996","9,020",2,1,1,1,1
Madonna,"15,183,827","3,240",3,2,2,2,0
Dire Straits,"14,872,208",0,2,2,2,2,1
Arctic Monkeys,"14,751,530","5,296",2,1,1,1,1
Sia,"14,549,949","3,853",2,2,2,2,1
Foo Fighters,"14,145,526","1,685",5,3,1,1,1
Nirvana,"13,960,650","3,964",3,2,1,1,1
Sade,"13,755,835","1,128",3,1,1,1,1
The Beatles,"13,590,435",0,1,1,1,1,1
Armin van Buuren,"13,449,566","3,524",1,1,1,0,0
The Weeknd,"13,312,968",0,3,3,2,2,0
Verschillende artiesten,"13,153,988","2,856",0,0,0,0,0
U2,"13,032,468",188,3,1,1,1,1
Billie Eilish,"12,310,764","13,813",3,2,1,1,1
Bradley Cooper,"11,938,062","3,083",1,1,1,1,1
George Michael,"11,710,205","3,654",3,2,2,1,1
Red Hot Chili Peppers,"11,474,168","2,907",4,2,1,1,0
ZAZ,"11,085,466",247,3,1,1,1,1
Vasco Rossi,"10,837,326","2,138",4,1,1,0,0
David Bowie,"10,814,712",0,3,2,1,0,0
The xx,"10,656,250","7,117",3,2,2,1,1
Kings of Leon,"10,629,089","1,904",3,1,1,1,1
Rihanna,"10,587,146",0,3,2,1,1,0
Helene Fischer,"10,447,922",0,4,2,1,0,0
Ludovico Einaudi,"10,206,057",0,2,1,1,1,1
Justin Bieber,"10,010,855",0,2,1,1,1,1
Stromae,"9,710,655",0,3,1,1,1,1
Whitney Houston,"9,707,918","5,414",1,1,1,1,1
Artisti Vari,"9,605,367",0,0,0,0,0,0
Passenger,"9,381,651",232,1,1,1,1,1
Justin Timberlake,"9,268,226",247,3,1,1,1,1
Ligabue,"9,257,769","7,026",5,0,0,0,0
Måneskin,"9,193,582","1,973",4,3,0,0,0
Amy Winehouse,"8,975,635","4,832",2,2,1,1,1
Leonard Cohen,"8,500,315","1,954",3,1,0,0,0
Sting & The Police,"8,471,041","1,414",2,2,2,1,0
Elvis Presley,"8,439,334","1,422",3,2,1,0,0
Drake,"8,376,454",0,4,1,0,0,0
Jovanotti,"8,369,026",0,3,1,0,0,0
Robbie Williams,"8,359,104",109,3,0,0,0,0
Fleetwood Mac,"8,274,401","1,582",3,2,1,0,0
Prince,"8,197,752","3,472",2,2,0,0,0
London Grammar,"8,066,136",0,2,1,1,1,1
Sting,"8,013,867",122,2,1,1,1,0
Sam Smith,"7,971,679",0,2,1,1,1,1
Kent,"7,891,677","2,384",4,0,0,0,0
Mumford & Sons,"7,865,022",0,3,2,0,0,0
Volbeat,"7,611,021",549,3,1,0,0,0
Frank Sinatra,"7,573,825",0,2,1,1,1,1
Varios Artistas,"7,237,170",657,0,0,0,0,0
Nickelback,"7,015,710","3,668",2,1,1,0,0
Ariana Grande,"6,816,750",576,3,0,0,0,0
Pharrell Williams,"6,728,865",0,1,1,1,1,1
Кино,"6,714,774",516,3,1,0,0,0
Supertramp,"6,697,549",0,1,1,1,1,1
Elton John,"6,694,825",634,3,1,1,0,0
Lenny Kravitz,"6,583,588","12,817",2,2,0,0,0
Bon Jovi,"6,582,370","3,286",1,1,1,0,0
Harry Styles,"6,412,196",473,3,2,0,0,0
Marco Mengoni,"6,369,217","3,415",3,0,0,0,0
Tiziano Ferro,"6,280,826",291,2,0,0,0,0
twenty one pilots,"6,129,225","3,634",1,1,1,1,0
Florence + The Machine,"5,978,947",0,2,1,1,0,0
Simon & Garfunkel,"5,917,881",247,2,1,1,0,0
John Mayer,"5,914,793",922,2,0,0,0,0
Katy Perry,"5,899,883",255,1,1,1,1,0
Zemfira,"5,895,808",0,1,0,0,0,0
Indila,"5,857,679",0,1,1,1,1,1
Birdy,"5,790,381","2,981",2,1,1,1,0
George Ezra,"5,629,314",155,2,2,0,0,0
Eros Ramazzotti,"5,624,931","2,067",1,0,0,0,0
Rag'n'Bone Man,"5,599,018",725,1,1,1,1,0
The Cure,"5,593,327","1,422",1,1,1,1,1
5 Seconds of Summer,"5,591,544",0,2,0,0,0,0
Zucchero,"5,590,330",0,2,0,0,0,0
Cro,"5,399,118",856,2,1,0,0,0
Céline Dion,"5,378,473",241,0,0,0,0,0
The Rolling Stones,"5,324,056",0,2,0,0,0,0
Calvin Harris,"5,268,021",799,2,1,0,0,0
First Aid Kit,"5,175,589","1,190",2,1,0,0,0
Phil Collins,"5,151,113",369,2,1,1,0,0
THIRTY SECONDS TO MARS,"5,085,856",481,1,1,1,0,0
Pearl Jam,"5,070,884","1,367",1,1,0,0,0
Macklemore & Ryan Lewis,"5,049,335","2,545",1,1,1,1,0
Pablo Alborán,"5,044,413","1,433",2,0,0,0,0
Paolo Nutini,"5,019,752","1,249",2,1,0,0,0
Alicia Keys,"5,014,752",0,1,1,0,0,0
Laura Pausini,"4,951,302","2,310",2,0,0,0,0
Kino,"4,897,456","1,902",2,1,0,0,0
MIKA,"4,887,880",205,2,1,0,0,0
Die Toten Hosen,"4,841,050","2,583",1,0,0,0,0
Jul,"4,768,443",196,0,0,0,0,0
Lewis Capaldi,"4,721,839",388,1,1,1,0,0
Melissa Horn,"4,715,764","1,867",3,1,0,0,0
The Script,"4,677,082","1,215",2,0,0,0,0
Andrea Bocelli,"4,654,709",455,2,0,0,0,0
Basta,"4,610,766","4,627",2,0,0,0,0
Okean Elzy,"4,502,605",54,1,0,0,0,0
BTS,"4,497,191",0,0,0,0,0,0
Duffy,"4,490,648",0,1,1,1,1,0
Malú,"4,489,939","1,861",2,0,0,0,0
Café del Mar,"4,487,084",337,1,0,0,0,0
James Blunt,"4,477,482",0,1,0,0,0,0
Oasis,"4,466,766","1,381",1,1,0,0,0
Kendrick Lamar,"4,440,552",0,2,0,0,0,0
Lorde,"4,434,052",0,1,1,1,0,0
Dua Lipa,"4,395,632","5,680",2,1,0,0,0
Andreas Gabalier,"4,327,426",0,0,0,0,0,0
Antonis Remos,"4,274,504",421,0,0,0,0,0
Laleh,"4,244,248","1,474",1,1,0,0,0
Joaquín Sabina,"4,231,604","2,911",2,0,0,0,0
Simply Red,"4,211,393","1,696",1,1,1,0,0
Kensington,"4,203,100",0,2,1,0,0,0
Sarah Connor,"4,200,428",282,2,1,0,0,0
Cesare Cremonini,"4,189,177",0,0,0,0,0,0
Bi-2,"4,168,890","1,196",1,1,0,0,0
Christine and the Queens,"4,166,115",0,1,1,0,0,0
Negramaro,"4,140,314",0,1,0,0,0,0
James Bay,"4,126,693",0,1,1,1,0,0
Maroon 5,"4,100,485",0,1,1,0,0,0
Evanescence,"4,087,555",0,1,1,1,0,0
Veronica Maggio,"4,080,730",0,2,0,0,0,0
Frank Ocean,"4,079,991",778,2,1,0,0,0
Giorgia,"4,065,524","3,174",2,0,0,0,0
Norah Jones,"4,046,374",0,1,0,0,0,0
Arcade Fire,"4,013,513",0,2,0,0,0,0
Maître Gims,"4,009,730",0,2,0,0,0,0
André Hazes,"4,003,955",646,1,1,1,0,0
Ultimo,"3,971,099","2,357",3,0,0,0,0
Zivert,"3,952,551","1,362",2,0,0,0,0
The Black Keys,"3,926,793",0,2,0,0,0,0
Gregory Porter,"3,918,866",0,1,0,0,0,0
Dr. Dre,"3,881,618",0,2,0,0,0,0
Fedez,"3,876,332","2,281",2,0,0,0,0
Miley Cyrus,"3,852,423",472,2,0,0,0,0
Bob Dylan,"3,827,778","1,010",1,0,0,0,0
Hozier,"3,808,485","1,247",1,1,0,0,0
The Black Eyed Peas,"3,803,103","1,026",1,1,1,0,0
The Prodigy,"3,790,404",818,2,0,0,0,0
OneRepublic,"3,790,315",0,1,1,0,0,0
Radiohead,"3,786,528",576,1,1,0,0,0
Wanda,"3,786,470",0,2,0,0,0,0
Nick Cave & The Bad Seeds,"3,783,333",827,1,1,0,0,0
Led Zeppelin,"3,756,860",0,1,1,1,0,0
Lucio Dalla,"3,754,329","1,196",1,1,0,0,0
The Killers,"3,678,047",259,0,0,0,0,0
Shawn Mendes,"3,668,791",0,2,0,0,0,0
Kanye West,"3,667,662",0,1,0,0,0,0
Bastille,"3,660,797",0,2,0,0,0,0
Fito y Fitipaldis,"3,636,195","2,365",1,0,0,0,0
Би-2,"3,619,453",0,1,0,0,0,0
Anouk,"3,616,516",0,1,0,0,0,0
Angèle,"3,559,749",494,1,1,0,0,0
Vianney,"3,539,277",0,1,0,0,0,0
Max Pezzali & 883,"3,535,867","2,312",1,1,1,0,0
Mikhail Krug,"3,529,338","2,658",1,1,1,0,0
Alejandro Sanz,"3,433,946",569,2,0,0,0,0
Emeli Sandé,"3,415,822",0,1,1,0,0,0
Agnes Obel,"3,388,655","1,397",2,0,0,0,0
Robin Schulz,"3,380,084",257,1,1,0,0,0
Julien Doré,"3,379,900",368,2,0,0,0,0
Marco Borsato,"3,352,318",0,1,0,0,0,0
Hans Zimmer,"3,326,109",0,0,0,0,0,0
Sido,"3,323,183",321,0,0,0,0,0
Nightwish,"3,311,870",439,1,0,0,0,0
Ellie Goulding,"3,295,342",321,1,0,0,0,0
Diana Krall,"3,291,602",0,1,0,0,0,0
Melody Gardot,"3,289,061",0,1,1,0,0,0
Ákos,"3,285,901",761,0,0,0,0,0
Orelsan,"3,277,279",0,1,0,0,0,0
AnnenMayKantereit,"3,274,350",0,1,0,0,0,0
Soprano,"3,273,747",0,1,0,0,0,0
Kodaline,"3,257,060","1,023",1,0,0,0,0
Johnny Hallyday,"3,249,032",0,1,0,0,0,0
The National,"3,199,145","1,138",1,0,0,0,0
John Legend,"3,194,899",0,1,1,0,0,0
Johnny Cash,"3,174,879",0,1,0,0,0,0
Seiler Und Speer,"3,169,306","2,104",1,1,0,0,0
Pentatonix,"3,164,598",0,0,0,0,0,0
Земфира,"3,162,502",0,1,0,0,0,0
Oxxxymiron,"3,136,019",0,1,1,0,0,0
LP,"3,116,304",0,1,1,0,0,0
Elisa,"3,115,559",0,0,0,0,0,0
Leningrad,"3,105,385",0,1,1,0,0,0
Racoon,"3,095,515","1,641",2,0,0,0,0
Grigory Leps,"3,092,090",0,1,0,0,0,0
Alessandra Amoroso,"3,083,387","2,345",1,0,0,0,0
Rodriguez,"3,082,364",0,1,1,0,0,0
Buena Vista Social Club,"3,070,648","1,066",1,1,0,0,0
Skrillex,"3,049,602","2,556",1,1,0,0,0
Tracy Chapman,"3,038,533",620,1,1,0,0,0
Mark Forster,"3,024,033",123,1,0,0,0,0
Mariah Carey,"3,014,152",0,1,0,0,0,0
Bryan Adams,"3,006,252",0,1,0,0,0,0
Modà,"3,005,375",0,0,0,0,0,0
Eagles,"2,990,026","1,872",1,1,0,0,0
Little Mix,"2,934,980",0,0,0,0,0,0
Xavier Naidoo,"2,901,532",0,0,0,0,0,0
Caro Emerald,"2,896,466",372,2,0,0,0,0
Artik & Asti,"2,859,265","1,342",1,0,0,0,0
Selah Sue,"2,853,688",0,1,0,0,0,0
DDT,"2,849,305","2,180",1,1,0,0,0
Jenni Vartiainen,"2,847,496",575,1,0,0,0,0
The Avener,"2,810,838",0,1,1,0,0,0
Creedence Clearwater Revival,"2,807,152",803,1,0,0,0,0
Shindy,"2,802,416","1,169",2,0,0,0,0
Sıla,"2,795,832",241,1,0,0,0,0
Clara Luciani,"2,785,442",0,1,0,0,0,0
Udo Jürgens,"2,782,579",0,1,0,0,0,0
Kendji Girac,"2,777,074",0,1,0,0,0,0
Enigma,"2,770,441","1,316",1,1,0,0,0
Tarkan,"2,748,436",266,0,0,0,0,0
Michael Kiwanuka,"2,746,795",555,1,0,0,0,0
Rod Stewart,"2,736,386",467,1,0,0,0,0
Hurts,"2,730,194","1,305",1,0,0,0,0
The 1975,"2,722,450",0,1,0,0,0,0
Bigflo & Oli,"2,686,936",264,1,0,0,0,0
Paul Kalkbrenner,"2,680,568",0,1,0,0,0,0
Bee Gees,"2,678,327",0,1,0,0,0,0
Pet Shop Boys,"2,669,428","18,512",0,0,0,0,0
Dani Martín,"2,656,146","1,249",1,0,0,0,0
Royal Blood,"2,646,352",277,1,0,0,0,0
