Pos,Artist and Title, ,"15,443.7","15,724.1","15,726.8","15,730.6","15,733.2"
1,LF SYSTEM - Afraid To Feel, ,1.0000,0.4143,0.2639,0.3279,0.4617
2,George Ezra - Green Green Grass, ,0.6311,0.2786,0.2168,0.2336,0.3074
3,Joel Corry & Becky Hill - HISTORY, ,0.5929,0.2500,0.1781,0.1959,0.2654
4,Cian Ducrot & Ella Henderson - All For You, ,0.5343,0.2715,0.1597,0.1985,0.2914
5,KSI - Not Over Yet (feat. Tom Grennan), ,0.5165,0.2214,0.1495,0.1545,0.2444
6,"Calvin Harris, Justin Timberlake, Halsey & Pharrell Williams - Stay With Me", ,0.5038,0.2142,0.1361,0.1495,0.2272
7,James Hype & Miggy Dela Rosa - Ferrari, ,0.4937,0.2214,0.1344,0.1458,0.2395
8,Eliza Rose & Interplanetary Criminal - B.O.T.A. (Baddest of Them All), ,0.4784,0.1714,0.1177,0.1445,0.1888
9,Harry Styles - As It Was, ,0.4606,0.1857,0.1125,0.1394,0.2025
10,OneRepublic - I Ain't Worried, ,0.4071,0.1786,0.1344,0.1797,0.1963
11,Luude & Mattafix - Big City Life, ,0.3740,0.1571,0.0874,0.1068,0.1666
12,"David Guetta, Becky Hill & Ella Henderson - Crazy What Love Can Do", ,0.3512,0.1571,0.0991,0.1282,0.1753
13,Beyoncé - BREAK MY SOUL, ,0.3359,0.1428,0.1042,0.1256,0.1581
14,Harry Styles - Late Night Talking, ,0.3206,0.1143,0.0824,0.0930,0.1246
15,Nicki Minaj - Super Freaky Girl, ,0.3053,0.1250,0.0740,0.0930,0.1260
16,Lizzo - About Damn Time, ,0.2977,0.1215,0.0807,0.0930,0.1333
17,Kate Bush - Running Up That Hill (A Deal With God), ,0.2900,0.1357,0.1008,0.1144,0.1470
18,Sigala & Talia Mar - Stay the Night, ,0.2468,0.1143,0.0740,0.0905,0.1272
19,Coldplay - A Sky Full of Stars, ,0.2391,0.0786,0.0605,0.0817,0.0864
20,Jax Jones & MNEK - Where Did You Go?, ,0.2189,0.0822,0.0538,0.0629,0.0927
21,Sofia Carson - Come Back Home, ,0.2189,0.0892,0.0605,0.0577,0.0901
22,Jax - Victoria’s Secret, ,0.2061,0.0892,0.0656,0.0753,0.1000
23,The Killers - boy, ,0.2061,0.0892,0.0554,0.0615,0.0975
24,Tom Grennan - All These Nights, ,0.1985,0.0750,0.0504,0.0741,0.0840
25,Burna Boy - Last Last, ,0.1884,0.0929,0.0521,0.0603,0.1000
26,Caity Baser - X&Y, ,0.1781,0.0750,0.0437,0.0452,0.0828
27,Nathan Dawe - 21 Reasons (feat. Ella Henderson), ,0.1781,0.0786,0.0454,0.0603,0.0889
28,Louyah - You, ,0.1781,0.0643,0.0454,0.0477,0.0667
29,Bru-C - No Excuses, ,0.1705,0.0679,0.0387,0.0352,0.0741
30,Olivia Newton-John - Hopelessly Devoted to You, ,0.1680,0.0714,0.0387,0.0352,0.0753
31,Keith Urban - Wild Hearts, ,0.1680,0.0500,0.0437,0.0577,0.0555
32,Lizzo - 2 Be Loved (Am I Ready), ,0.1577,0.0786,0.0571,0.0741,0.0840
33,Leon Bridges - Coming Home, ,0.1553,0.0393,0.0219,0.0239,0.0457
34,Tiësto & Charli XCX - Hot In It, ,0.1553,0.0892,0.0504,0.0653,0.0951
35,Coldplay - Yellow, ,0.1476,0.0393,0.0336,0.0415,0.0420
36,Fred again.. & Swedish House Mafia - Turn On The Lights again.. (feat. Future), ,0.1425,0.0607,0.0353,0.0439,0.0642
37,Burna Boy - For My Hand (feat. Ed Sheeran), ,0.1349,0.0607,0.0387,0.0439,0.0691
38,Kilotile - Cry to Me, ,0.1323,0.0464,0.0253,0.0302,0.0494
39,George Ezra - Green Green Grass, ,0.1298,0.0428,0.0320,0.0402,0.0469
40,Sub Focus - Off The Ground, ,0.1298,0.0358,0.0286,0.0352,0.0370
41,Lady Gaga & Bradley Cooper - Shallow, ,0.1272,0.0393,0.0219,0.0251,0.0432
42,Labi Siffre - (Something Inside) So Strong, ,0.1272,0.0536,0.0320,0.0314,0.0605
43,Sia - Unstoppable, ,0.1272,0.0679,0.0538,0.0577,0.0703
44,Sofia Carson - I Didn't Know, ,0.1272,0.0500,0.0286,0.0239,0.0507
45,Sofia Carson - I Hate the Way, ,0.1246,0.0393,0.0253,0.0302,0.0408
46,Eliza Rose & Interplanetary Criminal - B.O.T.A. (Baddest of Them All) - Edit, ,0.1246,0.0571,0.0387,0.0389,0.0667
47,Coldplay - Fix You, ,0.1222,0.0358,0.0370,0.0389,0.0396
48,George Ezra - Shotgun, ,0.1196,0.0500,0.0320,0.0352,0.0580
49,Ed Sheeran - Shivers, ,0.1145,0.0393,0.0303,0.0402,0.0432
50,James Blunt - Monsters, ,0.1145,0.0571,0.0320,0.0327,0.0667
51,Olivia Newton-John & Electric Light Orchestra - Xanadu, ,0.1119,0.0286,0.0000,0.0201,0.0309
52,Lady Gaga - Always Remember Us This Way, ,0.1119,0.0428,0.0236,0.0276,0.0457
53,Neil Diamond - Sweet Caroline, ,0.1094,0.0428,0.0320,0.0352,0.0469
54,Elton John & Dua Lipa - Cold Heart (PNAU Remix), ,0.1044,0.0428,0.0303,0.0302,0.0469
55,Black Slate - Amigo, ,0.1018,0.0358,0.0201,0.0000,0.0408
56,Central Cee - Doja, ,0.1018,0.0428,0.0253,0.0302,0.0444
57,Able Heart - Whisper, ,0.0992,0.0428,0.0000,0.0000,0.0494
58,Coldplay - Paradise, ,0.0992,0.0358,0.0253,0.0352,0.0396
59,Sam Fender - Seventeen Going Under, ,0.0992,0.0321,0.0201,0.0276,0.0370
60,Mica Paris - (Something Inside) So Strong, ,0.0941,0.0000,0.0000,0.0000,0.0333
61,Sophie Ellis-Bextor & Wuh Oh - Hypnotized, ,0.0891,0.0714,0.0454,0.0553,0.0765
62,Drake - Massive, ,0.0891,0.0393,0.0236,0.0327,0.0444
63,P!nk - Irrelevant, ,0.0891,0.0536,0.0353,0.0415,0.0555
64,Nicky Youre & Dazy - Sunroof, ,0.0865,0.0428,0.0303,0.0314,0.0457
65,Lady Gaga - Hold My Hand, ,0.0865,0.0500,0.0353,0.0439,0.0519
66,Mimi Webb - House On Fire, ,0.0840,0.0321,0.0236,0.0201,0.0345
67,Lost Frequencies & Calum Scott - Where Are You Now, ,0.0840,0.0393,0.0236,0.0302,0.0420
68,Ed Sheeran - Bad Habits, ,0.0814,0.0286,0.0184,0.0214,0.0333
