Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total
1,=,Eminem - Houdini,4,1,(x3),"918,246","+163,399","3,254,043","+918,246","3,254,043"
2,=,Sabrina Carpenter - Espresso,53,1,(x35),"718,450","-12,476","5,338,742","+17,526","40,976,272"
3,=,Central Cee - BAND4BAND (w/ Lil Baby),11,2,(x1),"684,953","+73,363","4,445,688","+200,877","6,403,590"
4,=,Billie Eilish - BIRDS OF A FEATHER,18,3,(x1),"640,589","+73,360","4,131,621","+124,981","9,920,728"
5,=,Hozier - Too Sweet,73,1,(x17),"523,654","-11,291","3,984,432","-4,171","44,920,105"
6,=,Billie Eilish - LUNCH,18,1,(x2),"511,058","+29,884","3,894,810","-65,849","11,587,686"
7,=,Tommy Richman - MILLION DOLLAR BABY,38,2,(x10),"479,092","+24,068","3,486,419","+12,578","19,666,268"
8,+1,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),25,1,(x1),"459,428","+27,265","3,244,858","+44,291","14,033,538"
9,+1,Myles Smith - Stargazing,25,9,"","444,647","+34,303","3,070,529","+83,284","9,217,995"
10,-2,Shaboozey - A Bar Song (Tipsy),53,3,(x4),"423,776","-14,989","3,695,832","-68,964","24,142,065"
11,=,Benson Boone - Beautiful Things,137,1,(x8),"374,288","-16,957","2,810,926","-7,060","59,398,903"
12,+1,Dasha - Austin,98,8,"","353,689","+10,742","2,589,885","+15,733","28,399,101"
13,+2,Artemas - i like the way you kiss me,77,2,(x9),"334,970","+4,523","2,483,990","-3,348","33,714,513"
14,-2,Noah Kahan - Stick Season,246,1,(x78),"322,208","-26,083","2,564,967","-24,498","116,751,213"
15,-1,Teddy Swims - Lose Control,193,3,(x8),"318,120","-13,364","2,386,032","+2,299","59,591,607"
16,+2,Billie Eilish - CHIHIRO,18,5,"","317,480","+28,567","2,342,617","-45,055","7,813,473"
17,-1,Kendrick Lamar - Not Like Us,30,2,(x2),"300,668",-910,"2,456,316","-53,439","14,341,596"
18,+1,"Chappell Roan - Good Luck, Babe!",58,16,"","299,165","+42,819","1,839,717","+74,283","13,116,836"
19,-2,Taylor Swift - Fortnight (w/ Post Malone),46,1,(x5),"295,713","+2,375","2,193,043","-2,644","23,539,728"
20,=,Benson Boone - Slow It Down,74,17,"","263,377","+9,577","1,902,903","+24,744","14,836,108"
21,=,Mark Ambor - Belong Together,77,11,"","250,623","-2,925","1,896,001",+859,"19,369,483"
22,+3,Billie Eilish - WILDFLOWER,18,11,"","241,895","+27,678","1,673,536","-1,122","5,153,077"
23,-1,Michael Marcagi - Scared To Start,138,9,"","233,933","-4,298","1,745,338","+7,579","31,611,510"
24,-1,Taylor Swift - I Can Do It With a Broken Heart,46,3,(x2),"223,308","-1,284","1,671,455",-771,"17,344,991"
25,+1,"cassö - Prada (w/ RAYE, D-Block Europe)",298,3,(x7),"220,393","+6,337","1,622,157","+8,010","80,661,239"
26,-2,Djo - End of Beginning,112,1,(x7),"218,772","+3,896","1,598,229","+4,336","41,870,373"
27,=,Ariana Grande - we can't be friends (wait for your love),88,2,(x3),"200,692","-4,469","1,540,341","-11,121","29,910,172"
28,=,Taylor Swift - Cruel Summer,464,3,(x17),"188,232","-16,231","1,431,846","-11,859","99,150,620"
29,+8,Billie Eilish - L’AMOUR DE MA VIE,18,13,"","173,891","+18,664","1,234,249","-15,775","4,299,019"
30,+4,Gunna - one of wun,24,30,"","172,493","+12,584","1,181,319","+68,492","3,522,862"
31,-2,Vance Joy - Riptide,3021,11,"","171,950","-27,716","1,091,789","+41,469","212,716,980"
32,+1,Zach Bryan - Pink Skies,11,31,"","171,517","+10,514","1,066,360","+67,875","1,550,604"
33,+7,Billie Eilish - BLUE,18,16,"","170,284","+17,885","1,232,084","-18,626","4,230,740"
34,-4,The Killers - Mr. Brightside,3453,8,"","162,761","-16,647","1,297,100","-12,761","326,284,126"
35,-3,The Blessed Madonna - Happier (w/ Clementine Douglas),76,27,"","158,008","-4,663","1,092,614","+36,593","11,219,693"
36,+3,David Guetta - I Don't Wanna Wait (w/ OneRepublic),56,36,"","157,466","+3,714","1,042,069","+30,920","7,133,814"
37,+8,Billie Eilish - THE GREATEST,18,12,"","155,828","+16,148","1,165,967","-27,860","4,181,857"
38,+5,Badger - These Words,55,19,"","153,808","+11,143","1,104,389","+5,927","9,740,306"
39,+5,Richy Mitch & The Coal Miners - Evergreen,276,20,"","153,258","+11,205","1,075,082","+13,199","32,747,158"
40,-2,Mark Ronson - Valerie (w/ Amy Winehouse),183,35,"","152,608","-2,073","1,080,727","+12,514","16,885,360"
41,-10,Harry Styles - As It Was,793,1,(x60),"151,977","-19,774","1,141,629","-9,578","180,506,946"
42,+4,Taylor Swift - Who’s Afraid of Little Old Me?,46,9,"","149,852","+10,675","1,084,696","+1,493","11,847,300"
43,-1,Tate McRae - greedy,263,2,(x25),"149,721","-1,661","1,141,763","-12,328","76,946,950"
44,-9,Natasha Bedingfield - Unwritten,160,9,"","148,203","-9,933","1,176,021","-7,886","32,211,750"
45,+4,Taylor Swift - Down Bad,46,5,"","145,519","+8,162","1,052,207",-258,"12,768,275"
46,+8,Lord Huron - The Night We Met,635,19,"","141,455","+10,033","997,069","+4,229","59,843,703"
47,+12,Billie Eilish - SKINNY,18,9,"","140,812","+13,608","1,087,171","-40,100","4,286,415"
48,-12,Beyoncé - TEXAS HOLD 'EM,113,1,(x4),"138,673","-17,987","1,108,135","-18,177","40,744,406"
49,+25,"Fred again.. - places to be (w/ Anderson .Paak, CHIKA)",4,43,"","136,871","+19,640","534,258","+136,871","534,258"
50,+12,Future - Like That (w/ Metro Boomin),74,6,"","136,565","+11,005","1,025,905","-9,621","16,888,274"
51,+19,Billie Eilish - THE DINER,18,20,"","133,284","+13,612","984,245","-22,938","3,535,220"
52,+1,Sabrina Carpenter - Feather,185,16,"","130,672",-989,"997,010","-3,996","26,883,585"
53,-3,The Goo Goo Dolls - Iris,922,30,"","130,660","-6,041","864,190","+21,876","80,027,039"
54,+4,Kings of Leon - Sex on Fire,1247,40,"","128,497","-1,316","911,412","+9,251","92,510,244"
55,-7,Journey - Don't Stop Believin' (2022 Remaster),70,43,"","127,514","-11,255","949,915","+6,815","6,867,682"
56,+22,Taylor Swift - But Daddy I Love Him,46,6,"","125,805","+11,342","899,431","+3,865","10,859,762"
57,-16,Fleetwood Mac - Dreams - 2004 Remaster,1475,16,"","123,953","-27,516","923,506","-5,838","128,635,525"
58,+2,Ella Henderson - Alibi (w/ Rudimental),137,16,"","123,906","-2,984","915,596","+2,480","21,994,010"
59,+6,Two Door Cinema Club - What You Know,820,52,"","123,225",-179,"882,406","+11,314","47,035,533"
60,+29,Taylor Swift - Guilty as Sin?,46,11,"","122,540","+13,393","868,177","+3,032","10,065,530"
61,-5,Declan McKenna - Brazil,571,50,"","122,188","-8,301","891,039","-1,509","47,960,646"
62,-10,Jungle - Back On 74,172,22,"","121,894","-10,273","891,966",-809,"19,798,296"
