Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
1,=,Sabrina Carpenter - Espresso,7,1,(x5),"5,237,472","-419,040","37,939,432"
2,=,Billie Eilish - LUNCH,2,2,(x2),"4,572,358","-366,028","9,510,744"
3,+1,Hozier - Too Sweet,9,1,(x2),"4,041,294","-237,780","41,068,873"
4,+4,Billie Eilish - BIRDS OF A FEATHER,2,4,"","3,919,984","+324,184","7,515,784"
5,=,Shaboozey - A Bar Song (Tipsy),7,3,(x1),"3,831,186","-430,234","22,105,105"
6,NEW,Central Cee - BAND4BAND (w/ Lil Baby),1,6,"","3,770,785","","3,770,785"
7,-4,Tommy Richman - MILLION DOLLAR BABY,5,2,(x1),"3,634,979","-910,899","17,822,501"
8,-2,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),3,3,(x1),"3,222,665","-796,291","12,188,479"
9,+1,Benson Boone - Beautiful Things,19,1,(x2),"2,843,514","-22,987","57,840,885"
10,+5,Myles Smith - Stargazing,3,10,"","2,770,035","+279,463","7,454,060"
11,-4,Billie Eilish - CHIHIRO,2,7,"","2,742,152","-1,084,382","6,568,686"
12,-3,Kendrick Lamar - Not Like Us,4,6,"","2,681,935","-548,339","13,033,800"
13,=,Dasha - Austin,14,8,"","2,605,598","-102,680","27,378,465"
14,-2,Noah Kahan - Stick Season,35,1,(x12),"2,604,308","-107,432","115,582,237"
15,-4,Artemas - i like the way you kiss me,10,2,(x1),"2,533,394","-306,049","31,991,981"
16,=,Teddy Swims - Lose Control,28,3,(x1),"2,408,186","-63,631","58,745,080"
17,-3,Taylor Swift - Fortnight (w/ Post Malone),6,1,(x1),"2,233,374","-297,555","22,298,917"
18,+4,Mark Ambor - Belong Together,10,13,"","1,880,906","-168,871","18,064,410"
19,+8,Benson Boone - Slow It Down,10,19,"","1,826,932","+20,833","13,765,033"
20,-3,Billie Eilish - WILDFLOWER,2,17,"","1,769,324","-700,693","4,239,341"
21,+3,Michael Marcagi - Scared To Start,19,9,"","1,719,387","-151,598","30,555,102"
22,+4,"Chappell Roan - Good Luck, Babe!",8,21,"","1,689,999","-146,072","12,178,650"
23,=,Taylor Swift - I Can Do It With a Broken Heart,6,4,"","1,673,270","-294,172","16,395,168"
24,+5,Djo - End of Beginning,15,2,(x1),"1,633,490","-123,646","40,715,982"
25,+6,"cassö - Prada (w/ RAYE, D-Block Europe)",42,4,"","1,612,339","-110,832","79,761,469"
26,+2,Ariana Grande - we can't be friends (wait for your love),12,4,"","1,594,278","-169,135","29,053,062"
27,+5,Taylor Swift - Cruel Summer,65,3,(x3),"1,400,946","-31,516","98,114,168"
28,-9,Billie Eilish - L’AMOUR DE MA VIE,2,19,"","1,399,541","-835,993","3,635,075"
29,-8,Billie Eilish - BLUE,2,21,"","1,382,577","-806,650","3,571,804"
30,-10,Billie Eilish - THE GREATEST,2,20,"","1,348,710","-874,952","3,572,372"
31,-13,Billie Eilish - SKINNY,2,18,"","1,326,888","-1,079,114","3,732,890"
32,+7,The Killers - Mr. Brightside,497,12,"","1,300,118","+59,032","327,208,636"
33,+1,Tate McRae - greedy,37,2,(x4),"1,184,491","-107,876","76,354,684"
34,+8,Natasha Bedingfield - Unwritten,22,11,"","1,180,866","-8,422","31,472,806"
35,-2,Beyoncé - TEXAS HOLD 'EM,16,2,(x4),"1,167,927","-142,073","40,129,098"
36,-11,Billie Eilish - THE DINER,2,25,"","1,146,880","-722,862","3,016,622"
37,+1,Badger - These Words,7,29,"","1,129,310","-119,076","8,921,060"
38,+6,Harry Styles - As It Was,113,1,(x9),"1,120,060","-6,186","180,116,417"
39,-4,Taylor Swift - Who’s Afraid of Little Old Me?,6,11,"","1,102,561","-189,246","11,246,567"
40,-3,Future - Like That (w/ Metro Boomin),10,7,"","1,090,576","-175,107","16,332,883"
41,-5,Taylor Swift - Down Bad,6,5,"","1,071,551","-194,336","12,182,350"
42,-2,Lay Bankz - Tell Ur Girlfriend,8,19,"","1,054,403","-168,269","11,418,347"
43,+9,Mark Ronson - Valerie (w/ Amy Winehouse),16,43,"","1,044,255","+14,837","12,315,546"
44,+4,Richy Mitch & The Coal Miners - Evergreen,38,26,"","1,030,963","-15,398","31,843,772"
45,+5,Kygo - Whatever (w/ Ava Max),19,31,"","1,013,698","-16,404","18,651,024"
46,+21,Lord Huron - The Night We Met,81,23,"","992,508","+71,792","56,421,759"
47,-6,SZA - Saturn,14,22,"","982,609","-207,937","16,652,711"
48,-18,Billie Eilish - BITTERSUITE,2,30,"","981,470","-743,722","2,706,662"
49,+6,Sabrina Carpenter - Feather,27,18,"","975,218","-27,384","26,895,690"
50,-4,The Blessed Madonna - Happier (w/ Clementine Douglas),10,35,"","965,886","-130,651","10,368,658"
51,=,David Guetta - I Don't Wanna Wait (w/ OneRepublic),7,51,"","956,457","-73,363","6,262,529"
52,+25,WALK THE MOON - Shut Up and Dance,221,5,"","943,659","+74,464","102,462,701"
53,+10,Vance Joy - Riptide,480,7,"","935,196","+1,435","228,969,300"
54,=,Ella Henderson - Alibi (w/ Rudimental),19,18,"","932,530","-76,389","21,438,757"
55,-12,Gunna - one of wun,3,43,"","932,270","-241,022","2,914,664"
56,+12,Travis Scott - FE!N,24,11,"","927,259","+12,137","20,580,608"
57,-4,Bryson Tiller - Whatever She Wants,14,18,"","920,456","-95,112","17,682,675"
58,-2,Jungle - Back On 74,26,25,"","917,979","-81,715","20,109,959"
59,+2,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),39,23,"","914,006","-51,841","36,138,813"
60,-13,Taylor Swift - But Daddy I Love Him,6,9,"","907,922","-154,715","10,357,865"
61,-3,Fleetwood Mac - Dreams - 2004 Remaster,213,17,"","905,660","-70,191","129,136,571"
62,+8,Tyla - Water,38,3,(x1),"898,448","-5,727","50,617,334"
63,+27,Journey - Don't Stop Believin' (2022 Remaster),9,63,"","896,411","+92,696","5,980,869"
64,+8,Declan McKenna - Brazil,83,59,"","890,560","-1,777","48,406,571"
65,+14,The Script - The Man Who Can't Be Moved,10,65,"","890,551","+44,645","6,953,061"
66,-17,Taylor Swift - Guilty as Sin?,6,13,"","889,559","-150,765","9,586,157"
67,+2,Kings of Leon - Sex on Fire,179,49,"","883,897","-22,414","91,319,500"
68,+15,"Tyler, The Creator - See You Again (w/ Kali Uchis)",59,13,"","883,058","+46,538","42,075,987"
69,-7,Jack Harlow - Lovin On Me,29,1,(x3),"881,235","-75,939","63,348,275"
70,+14,Tom Odell - Another Love,189,12,"","878,279","+42,477","136,215,540"
71,NEW,Zach Bryan - Pink Skies,1,71,"","872,788","","872,788"
72,+10,Van Morrison - Brown Eyed Girl,17,72,"","868,791","+30,281","11,358,870"
73,+2,Sophie Ellis-Bextor - Murder On The Dancefloor,23,2,(x5),"868,057","-4,854","43,352,045"
74,+2,Frank Ocean - Pink + White,78,32,"","866,320","-3,705","51,966,212"
75,-10,Fleetwood Mac - Everywhere - 2017 Remaster,269,47,"","851,084","-79,669","127,822,999"
76,-16,Olivia Rodrigo - vampire,48,2,(x5),"843,893","-129,264","79,126,626"
77,+8,Hozier - Take Me To Church,306,2,(x3),"834,658",-650,"162,101,934"
78,-19,Taylor Swift - The Smallest Man Who Ever Lived,6,15,"","833,107","-141,369","8,857,452"
79,-22,"Taylor Swift - So Long, London",6,6,"","828,610","-152,714","10,825,709"
80,-35,Kendrick Lamar - euphoria,5,10,"","825,616","-276,748","7,212,720"
81,+13,Two Door Cinema Club - What You Know,116,69,"","817,376","+16,828","45,775,182"
82,NEW,Bring Me The Horizon - Top 10 staTues tHat CriEd bloOd,1,82,"","802,426","","802,426"
83,+25,Toploader - Dancing in the Moonlight,250,80,"","798,379","+29,396","111,106,247"
84,+15,Tears For Fears - Everybody Wants To Rule The World,135,37,"","796,010","+9,110","84,580,506"
85,+3,"Drake - One Dance (w/ Wizkid, Kyla)",299,1,(x14),"793,270","-27,935","239,003,796"
86,+7,Miley Cyrus - Flowers,71,1,(x5),"792,232","-8,452","103,861,245"
87,+40,Dave - Sprinter (w/ Central Cee),52,1,(x12),"788,621","+65,678","117,658,937"
88,+9,Arctic Monkeys - I Wanna Be Yours,100,22,"","787,017","-3,827","78,825,621"
89,+16,The Goo Goo Dolls - Iris,133,34,"","786,129","+5,454","79,183,374"
90,-3,"Rudimental - Green & Gold (w/ Skepsis, Charlotte Plank, Riko Dan)",11,73,"","785,719","-43,408","8,253,707"
91,-25,Taylor Swift - My Boy Only Breaks His Favorite Toys,6,8,"","781,420","-142,447","10,138,411"
92,-21,Good Neighbours - Home,18,19,"","779,423","-120,687","19,223,032"
93,+18,The Kooks - Naive,384,54,"","775,772","+13,575","160,047,814"
94,+7,Kenya Grace - Strangers,39,1,(x5),"773,920","-11,966","69,133,068"
95,+3,Zara Larsson - Lush Life,95,4,"","772,469","-17,104","71,416,373"
96,-1,George Ezra - Budapest,226,3,(x6),"771,758","-24,166","92,290,273"
97,+5,Arctic Monkeys - 505,176,17,"","771,568","-14,001","116,122,253"
98,-20,NewEra - Birds In The Sky,16,48,"","770,007","-82,897","12,389,201"
99,+17,Red Hot Chili Peppers - Can't Stop,84,88,"","769,245","+22,139","28,451,220"
100,+14,French Montana - Unforgettable (w/ Swae Lee),132,2,(x4),"767,805","+18,520","127,483,521"
101,+2,Kendrick Lamar - All The Stars (w/ SZA),79,2,(x1),"767,215","-15,230","65,788,997"
102,-29,Olivia Rodrigo - obsessed,10,13,"","763,917","-120,971","10,760,871"
103,+9,Dominic Fike - Babydoll,19,74,"","758,681","+2,096","12,496,194"
104,-8,TLC - No Scrubs,78,82,"","753,282","-39,882","29,792,261"
105,-41,Tems - Love Me JeJe,5,64,"","747,183","-185,544","3,802,070"
106,-15,"Sonny Fodera - Asking (w/ MK, Clementine Douglas)",43,17,"","744,405","-57,632","35,939,663"
107,-18,Bill Withers - Ain't No Sunshine,14,46,"","743,383","-64,805","10,361,574"
108,+18,The White Stripes - Seven Nation Army,112,90,"","739,812","+15,964","37,784,874"
109,-35,Dua Lipa - Illusion,7,16,"","739,162","-140,440","8,054,515"
110,+5,Florence + The Machine - Dog Days Are Over,114,21,"","738,545","-9,948","64,387,890"
111,-2,Bakar - Hell N Back (w/ Summer Walker),8,50,"","735,671","-28,344","6,700,605"
112,+9,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",107,68,"","735,611","+3,930","57,433,903"
113,+15,Lewis Capaldi - Someone You Loved,283,1,(x4),"733,466","+13,660","301,007,849"
114,-8,"Tyla - Jump (w/ Gunna, Skillibeng)",9,48,"","732,732","-44,192","7,517,062"
115,+2,Tate McRae - exes,28,19,"","731,979","-7,184","26,210,830"
116,+4,SZA - Snooze,75,49,"","727,889","-3,983","49,165,447"
117,+8,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",28,22,"","725,122",-422,"24,608,985"
118,-8,Mitski - My Love Mine All Mine,37,9,"","725,090","-38,602","43,086,964"
119,-27,"Billie Eilish - What Was I Made For? [From The Motion Picture ""Barbie""]",46,2,(x2),"722,738","-78,843","57,161,700"
120,+16,OneRepublic - I Ain't Worried,103,4,"","722,488","+20,974","105,522,934"
121,+1,Amy Winehouse - Tears Dry On Their Own,7,78,"","713,495","-16,544","5,288,539"
122,-3,Amy Winehouse - Back To Black,8,80,"","713,163","-22,840","5,431,848"
123,+8,Rihanna - We Found Love (w/ Calvin Harris),66,34,"","711,124","+1,286","36,944,916"
124,NEW,Bring Me The Horizon - YOUtopia,1,124,"","704,753","","704,753"
125,+4,FloyyMenor - Gata Only (w/ Cris Mj),7,100,"","697,090","-18,803","5,162,241"
126,-45,Taylor Swift - The Tortured Poets Department,6,7,"","696,288","-145,164","9,950,591"
127,-23,A$AP Rocky - Sundress,7,84,"","689,932","-92,248","5,241,411"
