Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
The Weeknd - Blinding Lights,235,64,1,(x13),"52,375,259","4,189,987,157"
Ed Sheeran - Shape of You,333,34,1,(x14),"64,217,796","3,505,561,044"
Lewis Capaldi - Someone You Loved,281,15,4,"","24,962,682","3,326,304,689"
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,286,31,1,(x2),"34,579,416","3,221,699,156"
Harry Styles - As It Was,113,60,1,(x11),"78,460,903","3,210,080,147"
Imagine Dragons - Believer,377,"",16,"","16,864,827","2,920,968,205"
The Kid LAROI - Stay,142,43,1,(x12),"70,502,410","2,920,659,745"
Ed Sheeran - Perfect,365,15,4,"","24,763,619","2,811,629,732"
Glass Animals - Heat Waves,172,37,1,(x10),"31,668,100","2,795,121,770"
Billie Eilish - lovely,319,"",24,"","14,081,242","2,742,873,251"
Tones And I - Dance Monkey,151,41,1,(x17),"52,055,226","2,538,070,349"
Harry Styles - Watermelon Sugar,216,18,4,"","28,265,526","2,503,591,972"
The Weeknd - Starboy,205,21,1,(x6),"35,360,281","2,469,723,777"
Drake - One Dance,233,26,1,(x14),"47,782,311","2,380,467,355"
The Neighbourhood - Sweater Weather,221,"",19,"","18,251,557","2,279,355,722"
James Arthur - Say You Won't Let Go,322,15,7,"","19,297,939","2,278,131,818"
Shawn Mendes - Señorita,146,23,1,(x14),"67,237,638","2,072,961,200"
Post Malone - rockstar,172,27,1,(x17),"46,995,997","2,072,812,831"
Dua Lipa - Don't Start Now,159,33,2,(x1),"37,779,776","2,052,242,293"
Tom Odell - Another Love,164,"",15,"","20,219,891","1,988,829,251"
Miley Cyrus - Flowers,72,25,1,(x12),"115,156,896","1,984,437,128"
Post Malone - Circles,171,18,1,(x1),"43,379,405","1,905,867,050"
Billie Eilish - bad guy,135,24,1,(x6),"50,342,324","1,896,726,225"
Elton John - Cold Heart - PNAU Remix,135,28,4,"","28,043,005","1,885,949,441"
Juice WRLD - Lucid Dreams,197,15,3,(x1),"27,389,019","1,835,881,201"
SZA - Kill Bill,77,26,1,(x2),"55,234,610","1,821,234,473"
The Chainsmokers - Closer,201,28,1,(x11),"46,300,740","1,792,942,076"
The Weeknd - Save Your Tears,170,13,2,(x4),"30,115,082","1,767,220,860"
Lady Gaga - Shallow,181,12,3,(x2),"31,597,226","1,730,413,820"
Taylor Swift - Cruel Summer,69,37,2,(x3),"35,517,192","1,707,990,215"
Vance Joy - Riptide,303,"",16,"","16,836,644","1,696,265,231"
Manuel Turizo - La Bachata,100,25,4,"","30,443,567","1,670,593,237"
OneRepublic - Counting Stars,314,24,3,(x5),"11,093,985","1,636,744,488"
Arctic Monkeys - I Wanna Be Yours,99,"",15,"","21,021,481","1,634,419,839"
Lil Nas X - INDUSTRY BABY,81,40,2,(x8),"53,085,371","1,632,867,564"
