Artist and Title,Days,T10,Pk,(x?),PkStreams,Total
White 2115 - California,2167,32,5,"","136,198","96,858,929"
Guzior - BLUEBERRY,1271,128,1,(x20),"236,806","80,800,980"
Guzior - FALA,1276,151,1,(x26),"221,681","70,224,313"
Mata - Szafir,791,135,1,(x39),"451,931","66,299,964"
"Męskie Granie Orkiestra 2021 - I Ciebie też, bardzo",1010,97,2,(x1),"238,921","64,107,589"
The Neighbourhood - Sweater Weather,1980,"",19,"","88,596","62,913,314"
Gibbs - Piękny Świat,745,166,1,(x3),"220,653","60,722,777"
Smolasty - Duże oczy,776,146,2,(x1),"236,017","60,022,814"
Kizo - Disney,699,153,2,(x36),"256,284","59,243,527"
Mata - Kiss cam (podryw roku),943,56,3,(x4),"299,930","58,321,674"
White 2115 - RiRi,708,101,1,(x53),"415,215","58,009,476"
sanah - ostatnia nadzieja,718,128,2,(x10),"319,177","55,084,938"
Kizo - Taxi,439,144,1,(x26),"333,200","54,813,546"
Tom Odell - Another Love,1538,"",15,"","85,921","54,372,874"
The Weeknd - Blinding Lights,1183,185,1,(x10),"124,494","52,575,163"
Mata - Schodki,1286,12,4,"","91,272","51,748,400"
Mata - Szmata,599,74,1,(x17),"724,125","50,348,206"
Zeamsone - 5 INFLUENCEREK,363,106,1,(x55),"620,116","50,209,569"
PRO8L3M - Ground Zero,1156,"",19,"","91,083","49,831,955"
Mr. Polska - Złote Tarasy,538,131,1,(x40),"501,642","49,810,478"
Miszel - dres,761,17,5,"","198,623","49,716,026"
sanah - Ale jazz!,809,125,1,(x21),"155,215","48,547,377"
Glass Animals - Heat Waves,933,"",12,"","115,034","47,305,933"
Quebonafide - BUBBLETEA,824,232,1,(x88),"277,389","47,014,163"
Harry Styles - As It Was,692,56,1,(x4),"288,420","46,891,968"
Oki - Jakie To Uczucie?,682,109,2,(x11),"259,720","46,846,382"
Dawid Podsiadło - mori,522,161,1,(x8),"332,246","46,811,018"
SB Maffija - Lawenda,595,99,1,(x14),"449,518","46,140,323"
Miley Cyrus - Flowers,504,120,1,(x12),"668,387","45,772,791"
Tymek - Język ciała,1099,194,1,(x23),"85,735","45,224,109"
David Kushner - Daylight,415,121,1,(x28),"579,562","44,747,055"
ReTo - BMW,780,39,5,"","236,768","43,937,232"
sanah - Nic dwa razy (W. Szymborska),544,108,1,(x32),"440,902","43,922,699"
White 2115 - Mogę Dziś Umierać,1280,"",12,"","55,692","43,823,036"
Mata - Patoreakcja,567,89,1,(x19),"643,846","43,709,446"
Sobel - Impreza,871,118,5,"","107,090","43,079,114"
Mata - Papuga,427,90,1,(x26),"670,836","42,373,476"
bambi - BFF,284,137,1,(x45),"298,909","42,104,323"
Malik Montana - Jetlag,532,81,1,(x35),"779,930","42,055,722"
Mata - GOMBAO 33,1014,23,5,"","89,949","41,698,192"
Sobel - Fiołkowe Pole,538,117,1,(x43),"347,402","41,525,607"
Białas - Grill u Gawrona,1253,"",33,"","92,238","40,676,967"
Gibbs - Stan,315,125,3,(x13),"236,552","40,606,427"
Wiatr - Testarossa,712,166,2,(x21),"100,221","40,164,669"
Arctic Monkeys - I Wanna Be Yours,681,"",16,"","82,057","38,246,329"
Mata - JESTEM POJ384NY,419,90,1,(x36),"854,816","38,132,027"
David Guetta - I'm Good (Blue),641,18,1,(x1),"322,551","37,972,384"
Dawid Podsiadło - Małomiasteczkowy,1130,195,1,(x40),"143,774","37,373,413"
Bedoes 2115 - VOGUE,997,80,1,(x4),"118,190","37,139,822"
club2020 - Malibu Barbie,418,109,1,(x29),"497,743","36,908,993"
Wham! - Last Christmas,475,212,1,(x49),"641,736","36,743,833"
Mariah Carey - All I Want for Christmas Is You,468,227,1,(x54),"623,310","36,709,626"
Kukon - Miniówa,1147,"",59,"","54,725","36,624,036"
"Sobel - Cześć, jak się masz?",448,77,1,(x4),"474,224","36,584,242"
Męskie Granie Orkiestra 2023 - Supermoce,383,108,2,(x7),"232,996","36,577,629"
