Pos,P+,Artist and Title,Wks,Pk,(x?),Streams,Streams+,Total
1,=,"Kubi Producent - Woda Księżycowa (w/ bambi, Fukaj, stickxr)",10,1,(x4),"2,322,157","-124,506","20,767,200"
2,+4,"Young Leosia - Przester (w/ bambi, PG$, francis)",9,2,(x1),"1,799,427","+123,664","15,444,487"
3,-1,"Deemz - LECĘ BO CHCĘ (w/ bambi, Kizo, Young Leosia, Waima)",5,2,(x1),"1,731,413","-248,998","7,955,850"
4,=,Artemas - i like the way you kiss me,10,1,(x4),"1,720,496","-95,460","22,368,285"
5,-2,Oki - ILE LAT? (w/ Sobel),5,2,(x2),"1,639,158","-295,355","10,038,834"
6,-1,Guzior - STRZELAM PETEM,6,5,"","1,616,173","-75,465","7,952,571"
7,=,MODELKI - Chyba że z Tobą (w/ Vłodarski),8,1,(x1),"1,588,042","-26,266","15,670,096"
8,+5,"Young Leosia - Double Match (w/ bambi, PG$, francis)",2,8,"","1,536,357","+336,475","2,736,239"
9,+1,"Young Leosia - Te numery (w/ bambi, PG$, francis)",12,5,"","1,406,027","+14,895","13,900,694"
10,-1,Billie Eilish - LUNCH,2,9,"","1,372,955","-141,123","2,887,033"
11,=,Bletka - B012,8,6,"","1,328,086","-39,311","8,904,981"
12,-4,Billie Eilish - CHIHIRO,2,8,"","1,290,716","-235,184","2,816,616"
13,-1,"Jaxomy - Pedro (w/ Agatino Romero, Raffaella Carrà)",8,9,"","1,216,275","+9,460","8,415,177"
14,=,"Gibbs - Drive (w/ Opał, Jonatan, 4Money)",27,2,(x2),"1,196,394","+27,463","22,216,637"
15,=,Disturbed - The Sound of Silence - CYRIL Remix (w/ CYRIL),13,13,"","1,107,424","-21,130","10,405,881"
16,+3,Sabrina Carpenter - Espresso,7,16,"","1,034,057","+113,477","5,665,033"
17,-1,Vixen - Ne Rozumiju,27,2,(x1),"974,842","-29,635","28,623,414"
18,+6,"bambi - BFF (w/ Young Leosia, PG$, @atutowy)",40,1,(x7),"956,590","+107,793","41,591,997"
19,+43,Kronkel Dom - GENERACJA CUZI (w/ Deemz),3,19,"","909,110","+406,539","1,713,561"
20,=,Hozier - Too Sweet,9,13,"","904,610","-2,358","8,092,435"
21,+6,bambi - MILLIE WALKY (w/ charlie moncler),28,21,"","884,119","+75,724","16,385,214"
22,-5,Kizo - HERO (w/ Bletka),16,1,(x6),"883,936","-94,184","26,020,972"
23,+5,"Young Leosia - PG$ (w/ bambi, PG$, francis)",12,23,"","873,990","+74,076","7,434,397"
24,-2,Benson Boone - Beautiful Things,19,6,"","860,577","-7,107","17,093,262"
25,+7,Daria Zawiałow - Złamane serce jest OK,11,25,"","803,365","+57,678","5,248,391"
26,-8,Billie Eilish - BIRDS OF A FEATHER,2,18,"","803,158","-128,670","1,734,986"
27,-4,"Waima - RING RING (w/ Deemz, YARSKI)",11,4,"","801,751","-54,295","11,872,273"
28,+2,Teddy Swims - Lose Control,22,11,"","773,530","+1,735","16,703,251"
29,-4,Tommy Richman - MILLION DOLLAR BABY,4,17,"","749,388","-83,297","2,994,105"
30,-1,"Kizo - Co ty mi dasz ale to DRILL (w/ młody klakson, Mig)",10,2,(x1),"699,002","-74,683","9,520,719"
31,+5,Eryk Moczko - ENZO (w/ Kize),13,2,(x1),"676,254","-29,933","12,385,323"
32,+5,Oki - KAUCJA,7,12,"","664,592","-34,823","5,817,620"
33,+7,Travis Scott - FE!N,44,3,(x1),"639,268","-23,565","22,957,534"
