Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
White 2115 - California,310,5,6,"","818,447","97,183,953"
Guzior - BLUEBERRY,182,19,1,(x3),"1,235,358","80,770,021"
Guzior - FALA,184,22,1,(x4),"1,114,547","70,415,190"
Mata - Szafir,115,21,1,(x6),"2,848,346","66,835,561"
"Męskie Granie Orkiestra 2021 - I Ciebie też, bardzo",146,15,3,(x2),"1,362,419","64,298,339"
The Neighbourhood - Sweater Weather,312,"",24,"","551,788","63,388,865"
Smolasty - Duże oczy,115,21,4,"","1,331,168","60,838,994"
Gibbs - Piękny Świat,106,23,1,(x1),"1,353,731","60,506,086"
Kizo - Disney,102,23,2,(x4),"1,680,543","59,489,743"
Mata - Kiss cam (podryw roku),136,8,4,"","1,611,806","58,677,218"
White 2115 - RiRi,101,14,1,(x7),"2,377,997","57,728,767"
sanah - ostatnia nadzieja,101,18,2,(x1),"1,390,416","54,739,210"
Tom Odell - Another Love,239,"",19,"","535,167","54,526,681"
Kizo - Taxi,62,21,1,(x3),"2,105,315","54,491,550"
The Weeknd - Blinding Lights,169,28,1,(x1),"698,069","52,865,518"
Mata - Schodki,180,2,4,"","595,511","50,969,040"
Mata - Szmata,87,11,1,(x3),"3,629,006","50,584,665"
Mr. Polska - Złote Tarasy,77,19,1,(x6),"2,897,209","50,202,263"
Miszel - dres,109,4,6,"","1,232,532","50,050,173"
Zeamsone - 5 INFLUENCEREK,51,15,1,(x9),"3,748,235","49,784,313"
PRO8L3M - Ground Zero,165,"",25,"","583,855","49,647,632"
sanah - Ale jazz!,119,19,1,(x3),"961,342","49,079,618"
Harry Styles - As It Was,102,9,1,(x1),"1,515,299","47,770,933"
Glass Animals - Heat Waves,134,"",13,"","688,372","47,525,379"
Oki - Jakie To Uczucie?,99,16,2,(x2),"1,523,458","47,185,592"
Quebonafide - BUBBLETEA,118,34,1,(x11),"1,345,827","47,134,088"
Dawid Podsiadło - mori,74,23,1,(x1),"1,823,797","46,625,432"
SB Maffija - Lawenda,85,14,1,(x2),"2,686,745","46,316,526"
Miley Cyrus - Flowers,72,17,1,(x2),"3,353,744","45,732,611"
Tymek - Język ciała,158,26,1,(x3),"561,550","45,561,986"
David Kushner - Daylight,59,17,1,(x4),"2,970,610","44,736,494"
White 2115 - Mogę Dziś Umierać,185,"",14,"","360,939","44,332,433"
sanah - Nic dwa razy (W. Szymborska),78,16,1,(x4),"2,581,626","43,995,737"
ReTo - BMW,111,5,5,"","1,391,560","43,822,527"
Mata - Patoreakcja,82,14,1,(x3),"2,893,656","43,758,402"
Sobel - Impreza,123,18,5,"","572,155","42,689,405"
Mata - Papuga,62,13,1,(x3),"3,730,319","42,481,941"
Malik Montana - Jetlag,77,12,1,(x5),"3,364,247","42,393,624"
Białas - Grill u Gawrona,185,"",44,"","482,359","41,820,652"
Mata - GOMBAO 33,145,5,6,"","562,578","41,729,740"
bambi - BFF,40,20,1,(x7),"1,871,063","41,591,997"
Sobel - Fiołkowe Pole,77,17,1,(x6),"2,299,088","41,525,521"
Wiatr - Testarossa,102,23,2,(x4),"645,662","40,228,996"
Gibbs - Stan,44,16,3,(x1),"1,457,823","40,174,002"
Dawid Podsiadło - Małomiasteczkowy,166,28,1,(x5),"820,667","38,283,564"
