Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total
1,=,Tommy Richman - MILLION DOLLAR BABY,39,1,(x8),"3,437,497","+291,012","24,408,597","+308,728","147,857,115"
2,=,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),25,1,(x1),"3,149,851","+227,483","22,561,380","+156,381","98,951,678"
3,=,Kendrick Lamar - Not Like Us,30,1,(x21),"2,914,586","+28,067","24,135,200","-420,749","141,710,682"
4,=,Billie Eilish - BIRDS OF A FEATHER,18,4,"","2,821,400","+462,085","18,116,532","+719,559","43,551,090"
5,+1,Eminem - Houdini,4,4,"","2,668,522","+419,562","10,518,266","+2,668,522","10,518,266"
6,-1,Sabrina Carpenter - Espresso,53,1,(x2),"2,518,579","+225,818","17,552,517","+315,112","134,642,321"
7,=,Zach Bryan - Pink Skies,11,7,"","2,036,825","+135,535","14,536,042","+366,483","22,437,282"
8,+1,Billie Eilish - LUNCH,18,4,"","1,994,182","+232,972","14,968,980","-180,937","45,889,113"
9,-1,Shaboozey - A Bar Song (Tipsy),53,3,(x3),"1,820,579","-33,925","16,142,949","-451,936","118,164,330"
10,=,Hozier - Too Sweet,74,1,(x17),"1,567,748","+124,371","11,253,839","+138,745","173,264,090"
11,+2,"Chappell Roan - Good Luck, Babe!",60,5,"","1,495,902","+253,981","9,179,103","+455,083","69,936,904"
12,-1,Central Cee - BAND4BAND (w/ Lil Baby),11,11,"","1,484,047","+156,561","9,304,536","+721,320","11,998,822"
13,-1,Billie Eilish - CHIHIRO,18,5,"","1,457,922","+195,104","10,662,010","-81,324","35,337,528"
14,=,Future - Like That (w/ Metro Boomin),74,1,(x11),"1,278,173","+98,606","9,560,861","+20,745","167,738,917"
15,=,Benson Boone - Beautiful Things,137,1,(x5),"1,209,313","+86,239","8,746,989","+59,278","200,266,007"
16,=,Taylor Swift - Fortnight (w/ Post Malone),46,1,(x10),"1,192,060","+87,250","8,769,239","+20,059","114,795,499"
17,+6,Billie Eilish - WILDFLOWER,18,10,"","1,024,055","+150,690","7,209,067","+63,526","22,946,922"
18,=,Artemas - i like the way you kiss me,74,3,(x14),"1,015,015","+77,845","7,261,307","+80,546","104,519,033"
19,-2,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),284,1,(x7),"1,005,153","+54,896","7,503,542","-52,854","355,080,923"
20,+1,Gunna - one of wun,25,19,"","984,589","+101,313","6,638,378","+525,684","20,036,334"
21,-2,Noah Kahan - Stick Season,574,1,(x2),"978,547","+46,265","7,338,390","+19,184","403,868,391"
22,-2,Taylor Swift - I Can Do It With a Broken Heart,46,3,(x8),"974,487","+44,920","7,345,685","+35,324","87,986,682"
23,+3,Myles Smith - Stargazing,25,23,"","946,813","+128,556","6,373,806","+253,462","17,984,146"
24,-2,Teddy Swims - Lose Control,209,5,"","937,398","+58,653","6,801,691","+74,307","172,386,298"
25,=,Kendrick Lamar - euphoria,35,1,(x4),"915,150","+76,155","7,171,612","-123,750","77,605,303"
26,-2,FloyyMenor - Gata Only (w/ Cris Mj),83,13,"","906,556","+64,170","6,491,709","+50,449","70,596,688"
27,=,Dasha - Austin,90,14,"","904,192","+89,309","6,264,142","+82,354","71,445,673"
28,+1,Ariana Grande - we can't be friends (wait for your love),88,1,(x3),"870,120","+79,726","6,231,427","+65,284","119,543,142"
29,+6,Benson Boone - Slow It Down,74,19,"","843,154","+112,541","6,040,793","+86,228","60,941,369"
30,=,Morgan Wallen - Cowgirls (w/ ERNEST),414,24,"","836,909","+57,856","6,107,546","-4,809","176,479,000"
31,+2,Future - Type Shit (w/ Metro Boomin),74,3,(x4),"832,396","+86,580","5,902,266","+78,263","87,991,099"
32,-1,Djo - End of Beginning,111,3,(x14),"830,299","+77,635","5,883,436","+91,496","135,621,810"
33,-5,Morgan Wallen - Last Night,490,1,(x56),"808,612","+17,194","5,900,278","-66,228","565,863,881"
34,-2,"Tyler, The Creator - See You Again (w/ Kali Uchis)",1088,3,(x1),"804,952","+54,421","5,803,796","+36,337","495,101,392"
35,+4,Billie Eilish - L’AMOUR DE MA VIE,18,12,"","786,149","+120,536","5,651,247","-16,633","19,457,694"
36,-2,Zach Bryan - Something in the Orange,774,4,"","777,816","+44,731","5,548,930","-1,690","540,367,635"
37,-1,SZA - Saturn,102,3,(x1),"774,437","+55,747","5,656,248","+5,053","114,462,962"
38,+3,Billie Eilish - BLUE,18,17,"","764,915","+108,883","5,530,105","-5,340","18,549,799"
39,+8,Chappell Roan - Red Wine Supernova,60,39,"","736,980","+121,458","4,660,066","+227,780","34,864,581"
40,+2,Zach Bryan - Heading South,571,33,"","729,371","+84,035","4,749,059","+85,832","245,282,885"
41,-3,Taylor Swift - Down Bad,46,2,(x5),"728,459","+60,247","5,463,973","+1,183","78,812,477"
42,-5,Morgan Wallen - You Proof,752,7,"","723,359","+9,589","5,089,825","+7,881","479,010,679"
43,-3,Michael Marcagi - Scared To Start,137,13,"","703,900","+46,874","5,102,158","+59,022","93,820,780"
44,+11,Billie Eilish - THE GREATEST,18,11,"","686,172","+95,895","5,212,052","-71,219","18,809,296"
45,=,Morgan Wallen - Thinkin’ Bout Me,458,7,"","685,428","+44,862","4,931,196","+18,523","283,016,063"
46,+2,GloRilla - Yeah Glo!,90,45,"","685,346","+70,594","4,828,059","+97,942","50,142,653"
47,-1,Luke Combs - Where the Wild Things Are,114,34,"","683,896","+45,468","4,733,488","+92,777","67,955,517"
48,+5,Chappell Roan - HOT TO GO!,51,48,"","683,416","+84,580","4,242,218","+228,165","24,211,377"
49,-5,Taylor Swift - Cruel Summer,571,1,(x2),"677,851","+34,803","4,810,427","+7,206","454,618,711"
50,-7,Luke Combs - Ain't No Love In Oklahoma (From Twisters: The Album),19,25,"","674,738","+31,127","4,912,909","+30,848","15,359,458"
51,+8,Taylor Swift - Guilty as Sin?,46,10,"","658,758","+91,015","4,704,256","+58,771","58,904,952"
52,-2,The Neighbourhood - Sweater Weather,1573,12,"","651,611","+37,419","4,549,422","+61,469","663,084,981"
53,+10,Billie Eilish - THE DINER,18,16,"","646,427","+92,150","4,762,482","-45,768","16,746,160"
54,-5,SZA - Snooze,543,9,"","644,388","+29,771","4,642,132","+18,306","362,611,025"
55,-3,Luis R Conriquez - Si No Quieres No (w/ Neton Vega),35,50,"","641,156","+39,328","4,150,231","+182,951","17,110,069"
56,-2,Travis Scott - FE!N,311,2,(x4),"639,926","+48,975","5,031,214","-50,107","216,612,428"
57,=,Sabrina Carpenter - Feather,194,19,"","637,229","+58,338","4,543,362","+63,265","118,089,282"
58,+6,BigXthaPlug - Mmhmm,174,31,"","632,553","+79,764","4,437,510","+106,106","95,549,064"
59,+9,Billie Eilish - SKINNY,18,9,"","631,012","+83,817","4,900,172","-128,020","19,454,467"
60,-4,"¥$ - CARNIVAL (w/ Kanye West, Ty Dolla $ign)",110,1,(x31),"630,518","+48,237","4,633,868","+3,804","179,629,146"
61,-10,Sexyy Red - Get It Sexyy,79,26,"","628,999","+22,516","4,911,731","-47,905","59,772,565"
62,-4,Taylor Swift - Who’s Afraid of Little Old Me?,46,7,"","619,176","+48,243","4,711,207","-9,204","63,286,082"
63,-3,Bryson Tiller - Whatever She Wants,100,4,"","611,947","+51,850","4,529,561","+16,860","98,692,930"
64,-3,21 Savage - redrum,144,1,(x1),"610,078","+54,120","4,401,415","+40,164","157,762,041"
65,+10,Richy Mitch & The Coal Miners - Evergreen,247,32,"","607,470","+89,788","4,218,767","+59,966","118,977,622"
66,+1,Morgan Wallen - Wasted On You,1209,1,(x1),"599,444","+48,122","4,086,582","+39,784","540,153,036"
67,+2,Frank Ocean - Pink + White,698,23,"","597,412","+52,293","4,222,143","+30,404","313,248,988"
68,+22,Tucker Wetmore - Wind Up Missin’ You,20,68,"","587,560","+102,002","3,838,814","+64,185","10,459,713"
69,+14,Mark Ambor - Belong Together,62,47,"","584,341","+82,643","4,060,790","+75,830","36,083,110"
70,-5,Zach Bryan - Sun to Me,392,47,"","580,623","+28,414","4,044,875","+38,107","155,830,098"
71,+5,"Taylor Swift - So Long, London",46,4,"","577,995","+66,536","4,301,814","+4,170","64,848,546"
72,+9,Koe Wetzel - Sweet Dreams,18,42,"","576,328","+71,155","4,295,725","-7,382","11,993,362"
73,-7,Luke Combs - She Got the Best of Me,196,57,"","572,513","+20,696","3,936,806","+6,845","64,757,192"
74,+28,Cris Mj - SI NO ES CONTIGO,11,58,"","567,514","+109,814","3,600,020","+173,435","5,573,821"
75,+13,Taylor Swift - My Boy Only Breaks His Favorite Toys,46,5,"","564,501","+75,744","4,076,097","+27,052","60,353,402"
76,+8,GloRilla - Wanna Be (w/ Megan Thee Stallion),60,25,"","561,509","+64,539","4,249,545","-6,911","41,585,260"
77,+2,Taylor Swift - But Daddy I Love Him,46,5,"","559,891","+53,339","4,184,835","+14,503","61,010,048"
78,-6,Van Morrison - Brown Eyed Girl,119,40,"","557,729","+28,780","3,788,370","-8,389","47,362,514"
79,-9,Daryl Hall & John Oates - Rich Girl,120,61,"","557,085","+15,158","3,913,779","+22,085","52,312,732"
80,+5,Harry Styles - As It Was,711,1,(x40),"554,683","+58,524","3,793,061","+26,643","589,308,606"
81,-19,Jimin - Like Crazy,224,5,"","551,636","-3,290","3,663,085","+30,185","89,554,427"
82,-9,Luke Combs - When It Rains It Pours,782,43,"","548,420","+23,893","3,785,232","-20,450","206,460,326"
83,+3,Flo Milli - Never Lose Me,161,5,"","542,221","+49,967","3,826,851","+51,721","121,252,274"
84,-2,Tyler Childers - All Your'n,347,72,"","541,034","+36,091","3,820,767","+19,721","116,450,842"
85,-11,Marshmello - Miles On It (w/ Kane Brown),32,59,"","538,235","+16,467","4,153,323","-13,431","17,505,484"
86,-8,Rich Amiri - ONE CALL,143,13,"","537,362","+30,180","3,937,960","+34,156","104,656,440"
87,=,SZA - Kill Bill,543,1,(x44),"535,150","+44,220","3,545,034","+68,681","546,135,761"
88,-11,Zach Bryan - Oklahoma Smokeshow,328,62,"","532,821","+24,254","3,523,165","+65,884","133,889,103"
89,+17,Billie Eilish - BITTERSUITE,18,19,"","532,315","+80,113","3,980,199","-65,060","14,998,086"
90,+3,Mitski - My Love Mine All Mine,262,2,(x4),"530,268","+49,848","3,823,071","-5,114","245,293,298"
91,+4,A$AP Rocky - Sundress,72,63,"","527,551","+47,695","3,685,641","+42,462","34,419,138"
92,=,Gunna - fukumean,322,1,(x14),"526,698","+43,594","1,577,337","+526,698","283,374,411"
93,+3,Hotel Ugly - Shut up My Moms Calling,636,22,"","523,195","+51,907","3,550,785","+48,974","293,986,570"
94,=,Dominic Fike - Babydoll,95,58,"","520,949","+40,707","3,754,865","+37,141","45,027,098"
95,-24,Luke Combs - Fast Car,436,3,(x3),"520,809","-13,678","3,885,118","-44,558","279,445,124"
96,-16,Vance Joy - Riptide,954,12,"","516,048","+10,500","1,917,408","+163,985","196,933,162"
97,+7,Foo Fighters - Everlong,622,36,"","512,515","+56,809","3,535,894","+79,604","216,227,700"
98,+1,Tate McRae - greedy,263,3,(x5),"506,092","+39,088","3,712,681","-1,566","245,468,900"
99,-2,Diplo - Heartless (w/ Morgan Wallen),603,53,"","504,350","+33,641","3,536,222","+13,010","182,553,351"
100,-9,Jack Harlow - Lovin On Me,207,1,(x37),"500,420","+16,640","3,765,174","-3,980","231,580,460"
101,-3,Zach Bryan - Hey Driver (w/ The War And Treaty),283,3,(x2),"499,718","+31,569","3,502,166","+11,832","149,343,559"
102,-1,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",188,15,"","499,599","+39,464","3,566,202","+39,643","112,488,088"
103,-3,TV Girl - Lovers Rock,581,35,"","494,443","+27,510","3,470,193","+43,267","246,972,496"
104,+9,Offset - Ric Flair Drip (w/ Metro Boomin),1455,4,"","492,634","+51,152","3,391,177","+71,039","557,779,668"
105,+4,Tinashe - Nasty,7,105,"","492,319","+45,412","3,065,926","+492,319","3,065,926"
106,+16,"Shoreline Mafia - HEAT STICK (w/ OHGEESY, Fenix Flexin)",18,73,"","489,530","+63,337","3,621,408","+29,179","9,041,137"
107,-2,Kendrick Lamar - All The Stars (w/ SZA),636,2,(x10),"485,916","+33,036","3,519,656","+21,388","297,039,148"
108,+3,J. Cole - No Role Modelz,3070,7,"","484,568","+40,383","3,542,077","+25,955","1,051,430,507"
109,-6,Miguel - Sure Thing,567,8,"","484,331","+27,821","3,392,905","+37,852","278,049,022"
110,-3,Journey - Don't Stop Believin' (2022 Remaster),34,92,"","482,530","+30,438","3,475,367",-625,"15,220,027"
111,-22,Fleetwood Mac - Dreams - 2004 Remaster,1251,6,"","480,924","-5,177","3,491,993","-29,406","421,036,214"
112,+7,Taylor Swift - Florida!!! (w/ Florence + The Machine),46,7,"","476,580","+44,625","3,581,534","-4,387","57,092,835"
113,+16,Taylor Swift - The Smallest Man Who Ever Lived,46,12,"","475,968","+60,053","3,522,133","+17,356","49,368,296"
114,+13,Sabrina Carpenter - Nonsense,499,6,"","472,703","+53,255","3,318,835","+55,324","198,174,581"
115,+5,d4vd - Feel It,61,32,"","466,633","+36,209","3,421,683","+29,084","35,166,495"
116,+2,Kendrick Lamar - Money Trees (w/ Jay Rock),1244,35,"","465,473","+32,483","3,455,723","+7,469","433,681,941"
117,-2,Noah Kahan - Dial Drunk (w/ Post Malone),320,4,"","464,756","+28,182","3,288,091","+31,636","144,236,007"
118,+5,The Killers - Mr. Brightside,1395,21,"","463,290","+37,560","3,298,757","+27,612","417,603,499"
119,-9,SZA - Good Days,1000,1,(x3),"462,522","+16,652","3,303,598","+25,472","419,512,895"
120,-8,PinkPantheress - Pain,312,41,"","462,157","+20,033","1,376,518","+462,157","106,290,648"
121,=,Mac Miller - The Spins,941,54,"","461,072","+34,324","3,358,843","+30,318","285,996,677"
122,+10,Bryson Tiller - Don't,1408,7,"","458,532","+49,350","3,143,652","+49,743","400,901,735"
123,+2,Travis Scott - I KNOW ?,312,3,(x2),"458,241","+33,879","3,215,670","+33,608","220,581,172"
124,=,Cage The Elephant - Cigarette Daydreams,520,88,"","458,185","+32,679","3,293,623","+3,645","139,773,140"
125,+12,Don Toliver - Bandit,124,9,"","456,247","+59,215","3,758,749","-77,192","76,527,801"
126,+8,Taylor Swift - The Tortured Poets Department,46,2,(x1),"455,757","+53,659","3,403,776","-2,728","57,815,250"
127,+1,"Zach Bryan - Burn, Burn, Burn",304,30,"","445,579","+27,973","3,127,027","+4,783","108,419,085"
128,-14,Chris Stapleton - You Should Probably Leave,345,46,"","445,094","+4,315","3,240,688","-31,637","127,798,657"
129,-12,Chris Stapleton - Tennessee Whiskey,1220,34,"","443,728","+10,553","3,143,514","-45,516","326,347,558"
130,+19,Baby Keem - family ties (w/ Kendrick Lamar),921,3,(x1),"442,822","+56,374","3,077,433","+52,428","405,571,961"
131,+8,BigXthaPlug - Back On My BS,69,55,"","441,311","+45,388","3,245,838","+40,016","34,073,372"
132,+3,Kendrick Lamar - HUMBLE.,1456,1,(x67),"441,274","+40,933","3,197,918","+40,370","703,512,628"
133,-7,Luke Combs - Beautiful Crazy,1294,54,"","438,587","+17,220","3,273,085","-40,587","357,251,456"
134,-18,Luke Combs - Beer Never Broke My Heart,338,32,"","434,053","-2,129","3,144,564","-29,963","94,945,024"
135,RE,Miguel - Girl With The Tattoo Enter.lewd,145,72,"","431,573","","1,628,448","+85,154","52,756,665"
136,=,Drake - Family Matters,31,5,"","431,011","+33,084","3,489,383","-44,830","32,182,692"
137,+18,The Walters - I Love You So,631,7,"","430,976","+60,456","2,381,011","+84,152","244,104,819"
138,-7,Bruno Mars - Locked out of Heaven,233,93,"","427,784","+17,426","1,292,285","+427,784","41,865,578"
139,-6,Post Malone - Sunflower - Spider-Man: Into the Spider-Verse (w/ Swae Lee),2023,1,(x29),"422,471","+16,891","3,164,770","-21,703","1,092,850,036"
140,+7,Hozier - Take Me To Church,719,1,(x58),"420,912","+31,861","1,215,443","+420,912","178,483,721"
141,-1,Creedence Clearwater Revival - Have You Ever Seen The Rain,154,81,"","418,832","+23,874","2,914,002","+34,311","56,967,961"
142,-12,Luke Combs - The Kind of Love We Make,516,9,"","417,793","+3,001","2,219,339","+31,819","223,086,632"
143,-1,Lil Tecca - 500lbs,267,12,"","415,114","+21,329","3,048,683","+15,062","183,893,750"
144,-1,XXXTENTACION - Revenge,650,16,"","414,735","+21,176","2,965,687","+19,498","203,821,282"
145,=,Lay Bankz - Tell Ur Girlfriend,61,16,"","411,107","+18,685","3,116,541","-101,894","46,904,955"
146,+2,TV Girl - Not Allowed,406,38,"","410,852","+22,784","2,966,116","+7,170","155,574,591"
147,+25,Gunna - on one tonight,17,83,"","410,216","+53,096","2,094,486","+410,216","7,807,618"
148,-2,Laufey - From The Start,278,30,"","410,186","+19,032","2,867,491","+30,594","110,513,063"
149,+20,Creedence Clearwater Revival - Fortunate Son,173,30,"","409,543","+50,189","2,874,607","-4,956","60,642,358"
150,+11,Frank Ocean - Thinkin Bout You,224,36,"","408,444","+43,339","2,597,605","+28,210","75,557,864"
151,+12,Eminem - Without Me,175,29,"","408,267","+44,773","1,177,510","+408,267","42,229,674"
152,-44,$uicideboy$ - The Thin Grey Line,11,76,"","406,199","-41,037","3,453,043","+47,385","5,213,447"
153,+29,Bakar - Hell N Back (w/ Summer Walker),56,71,"","405,426","+53,126","2,892,069","+19,845","24,917,284"
154,+11,Kendrick Lamar - PRIDE.,290,8,"","404,858","+43,607","2,810,109","+43,999","105,532,390"
155,+23,Taylor Swift - loml,46,12,"","404,334","+50,422","2,993,021","+9,819","44,722,452"
156,-15,Tears For Fears - Everybody Wants To Rule The World,640,44,"","404,082","+9,408","2,967,239","+3,750","214,782,723"
157,-5,Lil Durk - Broadway Girls (w/ Morgan Wallen),417,4,"","402,687","+23,528","2,908,883","-12,662","151,273,114"
158,=,XXXTENTACION - Fuck Love (w/ Trippie Redd),1442,5,"","400,885","+32,410","2,860,693","+20,825","487,187,785"
159,+22,Taylor Swift - So High School,46,20,"","400,593","+47,336","2,975,376","+14,796","38,893,658"
160,+24,"Tyler, The Creator - BEST INTEREST",57,130,"","399,214","+47,683","2,426,720","+30,996","21,694,093"
161,-1,Kendrick Lamar - meet the grahams,30,5,"","396,548","+31,047","3,162,836","-57,445","30,237,586"
162,+11,Sexyy Red - U My Everything (w/ Drake),10,65,"","396,338","+40,468","2,879,873","+47,032","4,336,325"
163,RE,Jimmy Eat World - The Middle,73,88,"","394,397","","1,565,578","+394,397","28,524,122"
164,+16,Bailey Zimmerman - Where It Ends,62,24,"","393,754","+40,207","2,852,614","+13,489","22,691,038"
165,-12,Xavi - La Diabla,175,5,"","393,047","+21,043","2,900,798","+14,052","132,195,809"
166,-10,EBK Jaaybo - Boogieman,17,111,"","392,957","+22,507","1,167,779","+392,957","7,375,134"
167,+27,Frank Ocean - Ivy,88,85,"","392,806","+47,106","2,392,665","+24,772","25,597,635"
168,-4,Kanye West - Heartless,961,34,"","392,308","+30,346","2,831,213","+28,206","371,005,300"
169,-7,The White Stripes - Seven Nation Army,30,123,"","391,269","+26,809","2,916,522","-2,539","11,344,328"
170,+5,SZA - Broken Clocks,100,107,"","388,872","+33,695","2,323,986","+35,673","37,650,231"
171,+14,Tame Impala - The Less I Know The Better,995,103,"","388,049","+37,227","2,693,042","+35,337","245,559,699"
172,-13,Natasha Bedingfield - Unwritten,149,69,"","387,619","+20,432","2,888,982","+13,246","62,143,386"
173,RE,Taylor Swift - imgonnagetyouback,43,19,"","387,015","","2,056,445","+40,024","36,971,872"
174,-20,Old Dominion - One Man Band,262,63,"","386,578","+15,173","1,916,445","+18,976","71,434,976"
175,+18,"A$AP Rocky - I Smoked Away My Brain (I'm God x Demons Mashup) (w/ Imogen Heap, Clams Casino)",40,119,"","385,805","+39,997","2,395,317","+385,805","16,143,033"
176,-38,"USHER - Yeah! (w/ Lil Jon, Ludacris)",62,9,"","385,256","-10,764","1,234,432","+385,256","27,100,837"
177,=,The Red Clay Strays - Wondering Why,176,70,"","383,638","+28,828","2,763,174","-7,111","71,876,781"
178,-27,Bryan Martin - We Ride,125,121,"","383,465","+4,282","2,057,554","+16,422","44,503,894"
179,-35,Daryl Hall & John Oates - You Make My Dreams,63,84,"","383,359","-9,229","2,925,116","-33,595","22,892,245"
180,+15,Fuerza Regida - TÚ NAME,96,56,"","382,141","+36,875","2,681,151","+382,141","45,519,425"
181,RE,Taylor Swift - The Alchemy,44,11,"","381,900","","2,120,821","+7,866","43,639,964"
182,-11,Arctic Monkeys - 505,1199,13,"","381,389","+23,767","2,305,082","+21,706","425,855,233"
183,-4,Travis Scott - goosebumps,2126,8,"","379,866","+26,309","2,679,162","+379,866","721,678,815"
184,+6,Olivia Rodrigo - obsessed,73,9,"","379,358","+30,375","2,760,310","+22,234","45,345,670"
185,RE,Arctic Monkeys - I Wanna Be Yours,604,53,"","379,266","","1,165,039","+25,847","222,189,101"
186,-19,Josh Meloy - Porch Light,36,146,"","378,042","+18,243","1,126,705","+8,275","12,958,107"
187,+4,Steve Lacy - Dark Red,1022,11,"","376,747","+28,580","2,333,174","+376,747","470,770,084"
188,RE,WALK THE MOON - Shut Up and Dance,483,5,"","375,424","","1,159,296","+375,424","101,368,784"
189,-32,Jordan Davis - Buy Dirt (w/ Luke Bryan),747,58,"","374,717","+5,869","2,379,862","-30,642","220,739,350"
190,-22,d4vd - Romantic Homicide,659,2,(x1),"373,570","+14,086","2,296,515","+21,423","373,151,961"
191,-5,Miley Cyrus - Flowers,368,1,(x21),"373,160","+23,525","1,507,472","+11,754","296,004,781"
192,-3,Tory Lanez - The Color Violet,634,23,"","372,308","+23,237","1,880,056","+372,308","272,644,436"
193,RE,"Drake - One Dance (w/ Wizkid, Kyla)",973,1,(x103),"371,972","","1,163,855","+371,972","529,551,634"
194,RE,System Of A Down - Chop Suey!,5,168,"","371,673","","1,187,305","+371,673","1,659,548"
195,RE,AC/DC - You Shook Me All Night Long,8,135,"","371,391","","1,169,913","+371,391","2,315,950"
196,RE,Chappell Roan - Casual,6,118,"","371,126","","371,126","+371,126","2,312,472"
197,RE,Kanye West - Father Stretch My Hands Pt. 1,1066,4,"","371,026","","2,407,522","+371,026","351,593,656"
198,=,Zach Bryan - Nine Ball,19,10,"","370,890","+27,168","2,675,897","+19,852","8,782,668"
199,-49,Beyoncé - TEXAS HOLD 'EM,113,1,(x2),"370,762","-13,568","2,846,509","-52,908","112,114,252"
200,=,21 Savage - Glock In My Lap (w/ Metro Boomin),511,3,(x1),"368,731","+25,353","1,894,033","+368,731","196,875,024"
