Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
Post Malone - Sunflower - Spider-Man: Into the Spider-Verse,289,45,1,(x6),"14,731,867","1,108,782,860"
J. Cole - No Role Modelz,431,1,10,"","4,946,936","1,037,612,936"
Juice WRLD - Lucid Dreams,252,26,1,(x1),"13,963,947","898,763,613"
Lil Uzi Vert - XO TOUR Llif3,269,30,2,(x6),"11,030,276","798,117,691"
Post Malone - rockstar,177,26,1,(x18),"19,553,820","731,008,572"
Travis Scott - goosebumps,306,1,8,"","6,351,723","728,380,784"
The Weeknd - Blinding Lights,182,33,1,(x2),"13,245,312","704,386,126"
Kendrick Lamar - HUMBLE.,200,21,1,(x9),"23,993,465","694,213,808"
The Neighbourhood - Sweater Weather,276,4,10,"","4,523,535","693,684,139"
Juice WRLD - All Girls Are The Same,270,"",13,"","6,052,811","685,994,589"
Lil Baby - Drip Too Hard (Lil Baby & Gunna),243,18,1,(x1),"11,011,445","666,286,395"
Glass Animals - Heat Waves,150,35,1,(x4),"8,085,874","646,876,062"
XXXTENTACION - Jocelyn Flores,242,9,3,(x1),"9,353,667","646,370,589"
Post Malone - Circles,186,25,1,(x5),"18,574,069","642,443,273"
XXXTENTACION - SAD!,169,19,1,(x2),"15,024,019","627,102,233"
Travis Scott - SICKO MODE,150,27,1,(x3),"19,657,392","590,660,389"
Harry Styles - As It Was,101,30,1,(x6),"24,686,367","586,648,081"
Offset - Ric Flair Drip,214,13,4,"","6,705,486","566,249,664"
Morgan Wallen - Last Night,70,34,1,(x7),"16,883,425","562,556,214"
J. Cole - MIDDLE CHILD,197,14,1,(x2),"20,663,232","560,219,071"
Post Malone - I Fall Apart,183,20,2,(x2),"8,350,785","550,084,947"
SZA - Kill Bill,77,31,1,(x6),"19,406,075","544,133,623"
Post Malone - Congratulations,169,18,5,"","8,381,773","543,226,174"
Morgan Wallen - Wasted On You,175,1,3,(x1),"6,198,233","542,274,528"
Drake - God's Plan,88,19,1,(x10),"28,708,450","539,934,153"
Morgan Wallen - Whiskey Glasses,245,"",43,"","3,438,310","537,687,632"
Zach Bryan - Something in the Orange,110,3,4,"","6,487,876","535,840,896"
Drake - One Dance,137,26,1,(x15),"18,322,096","531,408,849"
Roddy Ricch - The Box,91,29,1,(x13),"24,966,901","508,287,540"
The Weeknd - Starboy,166,20,1,(x5),"12,370,904","506,606,029"
The Weeknd - Die For You,166,5,8,"","6,601,503","500,206,502"
XXXTENTACION - Fuck Love,205,1,8,"","7,224,825","494,883,652"
"Tyler, The Creator - See You Again",152,9,5,"","7,700,794","488,301,015"
Lil Baby - Yes Indeed,176,6,2,(x1),"11,493,709","487,612,671"
