Artist,Listeners,Daily Trend,Peak,PkListeners
The Weeknd,"108,201,233","-95,877",1,"117,203,987"
Taylor Swift,"105,246,229","-258,843",1,"116,229,071"
Post Malone,"92,779,293","-47,789",3,"98,466,468"
Billie Eilish,"91,384,221","879,788",4,"91,384,221"
Rihanna,"84,886,161","-3,679",2,"87,326,767"
Ariana Grande,"84,092,230","-39,944",3,"99,648,377"
Drake,"82,189,951","-406,919",3,"86,591,246"
Kendrick Lamar,"78,645,663","-150,945",8,"78,851,748"
Dua Lipa,"76,944,898","-163,361",3,"78,673,675"
Coldplay,"75,643,774","152,377",7,"78,540,616"
Justin Bieber,"75,624,649","11,130",3,"95,396,733"
David Guetta,"75,010,577","65,581",4,"75,163,500"
SZA,"74,084,227","-144,012",9,"74,637,927"
Bruno Mars,"72,511,927","163,447",7,"77,060,514"
Eminem,"71,314,220","1,069,766",10,"73,655,054"
Calvin Harris,"70,510,506","31,139",13,"70,510,506"
Kanye West,"68,779,974","-62,898",6,"78,581,428"
Travis Scott,"68,460,964","-59,329",6,"75,422,869"
Bad Bunny,"67,476,210","-72,878",3,"84,533,787"
Ed Sheeran,"67,465,722","-15,481",2,"87,934,910"
Shakira,"64,598,977","-64,406",3,"82,268,835"
Marshmello,"63,282,114","-67,433",11,"68,947,085"
Sabrina Carpenter,"63,263,784","220,219",23,"63,263,784"
Beyoncé,"62,662,847","-27,685",6,"78,122,541"
Harry Styles,"62,559,140","44,243",13,"66,411,599"
Imagine Dragons,"62,367,351","21,899",18,"62,367,351"
Future,"62,294,975","-193,318",22,"65,628,348"
Maroon 5,"62,188,595","-59,813",21,"63,296,331"
Metro Boomin,"61,772,552","-212,505",17,"64,728,517"
Miley Cyrus,"61,679,513","-32,489",2,"84,140,935"
Sia,"59,487,809","-178,367",8,"82,360,014"
OneRepublic,"58,736,906","83,878",32,"58,736,906"
Benson Boone,"56,886,081","-187,844",31,"60,310,612"
Hozier,"56,619,596","-7,039",32,"57,616,097"
J Balvin,"56,493,581","-135,908",29,"57,097,146"
21 Savage,"56,157,823","-64,052",17,"66,771,445"
Doja Cat,"56,057,969","-120,258",5,"76,357,864"
Katy Perry,"55,790,595","20,259",23,"61,909,408"
Lady Gaga,"55,561,114","35,254",22,"58,706,183"
Lana Del Rey,"55,180,878","15,579",25,"59,030,439"
Olivia Rodrigo,"54,700,124","-58,232",18,"64,128,148"
Khalid,"53,576,152","-21,473",28,"54,186,217"
Rauw Alejandro,"52,812,079","45,835",34,"52,812,079"
Queen,"52,730,802","-36,704",30,"59,814,703"
Daddy Yankee,"51,749,876","-37,186",22,"58,098,739"
Elton John,"51,384,846","-66,410",16,"68,098,396"
Tiësto,"50,740,743","-63,337",38,"53,621,311"
Adele,"50,515,140","104,639",31,"58,244,524"
The Chainsmokers,"50,391,860","-13,082",48,"50,463,996"
Tommy Richman,"50,013,121","528,209",50,"50,013,121"
Arctic Monkeys,"49,940,204","47,049",41,"51,868,167"
