Rank,Song,Artist(s),Streams(billions),Release date,Ref.
1,"""Blinding Lights""",The Weeknd,4.272,29 November 2019,[2]
2,"""Shape of You""",Ed Sheeran,3.904,6 January 2017,[3]
3,"""Someone You Loved""",Lewis Capaldi,3.418,8 November 2018,[4]
4,"""Sunflower""",Post Malone featuring Swae Lee,3.350,18 October 2018,[5]
5,"""As It Was""",Harry Styles,3.287,1 April 2022,[6]
6,"""Starboy""",The Weeknd featuring Daft Punk,3.281,21 September 2016,[7]
7,"""One Dance""",Drake featuring Wizkid and Kyla,3.184,5 April 2016,[8]
8,"""Stay""",The Kid LAROI and Justin Bieber,3.099,9 July 2021,[9]
9,"""Dance Monkey""",Tones and I,3.068,10 May 2019,[10]
10,"""Believer""",Imagine Dragons,2.999,1 February 2017,[11]
11,"""Heat Waves""",Glass Animals,2.989,29 June 2020,[12]
12,"""Perfect""",Ed Sheeran,2.964,3 March 2017,[13]
13,"""Rockstar""",Post Malone featuring 21 Savage,2.956,15 September 2017,[14]
14,"""Sweater Weather""",The Neighbourhood,2.903,28 March 2012,[15]
15,"""Closer""",The Chainsmokers featuring Halsey,2.874,29 July 2016,[16]
16,"""Say You Won't Let Go""",James Arthur,2.822,9 September 2016,[17]
17,"""Lovely""",Billie Eilish and Khalid,2.818,19 April 2018,[18]
18,"""Señorita""",Shawn Mendes and Camila Cabello,2.734,21 June 2019,[19]
19,"""Watermelon Sugar""",Harry Styles,2.701,13 December 2019,[20]
20,"""Don't Start Now""",Dua Lipa,2.601,1 November 2019,[21]
21,"""Something Just Like This""",The Chainsmokers featuring Coldplay,2.590,22 February 2017,[22]
22,"""Lucid Dreams""",Juice Wrld,2.544,4 May 2018,[23]
23,"""Take Me to Church""",Hozier,2.537,13 September 2013,[24]
24,"""Riptide""",Vance Joy,2.530,21 May 2013,[25]
25,"""God's Plan""",Drake,2.526,19 January 2018,[26]
26,"""Photograph""",Ed Sheeran,2.521,20 June 2014,[27]
27,"""Bad Guy""",Billie Eilish,2.514,29 March 2019,[28]
28,"""Thinking Out Loud""",Ed Sheeran,2.499,20 June 2014,[29]
29,"""Bohemian Rhapsody""",Queen,2.487,31 October 1975,[30]
30,"""Circles""",Post Malone,2.476,30 August 2019,[31]
31,"""Counting Stars""",OneRepublic,2.458,25 March 2013,[32]
32,"""Shallow""",Lady Gaga and Bradley Cooper,2.443,27 September 2018,[33]
33,"""Another Love""",Tom Odell,2.434,24 June 2013,[34]
34,"""Love Yourself""",Justin Bieber,2.418,9 November 2015,[35]
35,"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,2.390,16 August 2011,[36]
36,"""Goosebumps""",Travis Scott featuring Kendrick Lamar,2.389,2 September 2016,[37]
37,"""Thunder""",Imagine Dragons,2.379,27 April 2017,[38]
38,"""All of Me""",John Legend,2.378,12 August 2013,[39]
39,"""Wake Me Up""",Avicii,2.319,17 June 2013,[40]
40,"""Stressed Out""",Twenty One Pilots,2.309,28 April 2015,[41]
41,"""The Hills""",The Weeknd,2.301,27 May 2015,[42]
42,"""Yellow""",Coldplay,2.295,26 June 2000,[43]
43,"""Demons""",Imagine Dragons,2.264,4 September 2012,[44]
44,"""7 Rings""",Ariana Grande,2.258,18 January 2019,[45]
45,"""Die For You""",The Weeknd,2.257,25 November 2016,[46]
46,"""Let Her Go""",Passenger,2.248,24 July 2012,[47]
47,"""No Role Modelz""",J. Cole,2.229,9 December 2014,[48]
48,"""Humble""",Kendrick Lamar,2.221,30 March 2017,[49]
49,"""Sad!""",XXXTentacion,2.216,1 March 2018,[50]
50,"""Lose Yourself""",Eminem,2.188,28 October 2002,[51]
51,"""Do I Wanna Know?""",Arctic Monkeys,2.183,19 June 2013,[52]
52,"""Jocelyn Flores""",XXXTentacion,2.181,31 October 2017,[53]
53,"""Drivers License""",Olivia Rodrigo,2.179,8 January 2021,[54]
54,"""I Wanna Be Yours""",Arctic Monkeys,2.175,9 September 2013,[55]
55,"""One Kiss""",Calvin Harris and Dua Lipa,2.173,6 April 2018,[56]
56,"""Cruel Summer""",Taylor Swift,2.172,23 August 2019,[57]
57,"""Mr. Brightside""",The Killers,2.167,7 June 2004,[58]
58,"""Good 4 U""",Olivia Rodrigo,2.163,14 May 2021,[59]
59,"""Treat You Better""",Shawn Mendes,2.159,3 June 2016,[60]
60,"""Let Me Love You""",DJ Snake featuring Justin Bieber,2.142,5 August 2016,[61]
61,"""Happier""",Marshmello featuring Bastille,2.139,17 August 2018,[62]
62,"""Without Me""",Eminem,2.136,15 May 2002,[63]
63,"""Sicko Mode""",Travis Scott featuring Drake,2.131,3 August 2018,[64]
64,"""XO Tour Llif3""",Lil Uzi Vert,2.119,24 March 2017,[65]
65,"""When I Was Your Man""",Bruno Mars,2.100,7 December 2012,[66]
66,"""Viva la Vida""",Coldplay,2.094,12 June 2008,[67]
67,"""New Rules""",Dua Lipa,2.094,2 June 2017,[68]
68,"""Just The Way You Are""",Bruno Mars,2.090,10 August 2010,[69]
69,"""Sorry""",Justin Bieber,2.085,22 October 2015,[70]
70,"""The Night We Met""",Lord Huron,2.084,7 April 2015,[71]
71,"""Stay With Me""",Sam Smith,2.082,14 April 2014,[72]
72,"""Lean On""",Major Lazer featuring MØ and DJ Snake,2.076,2 March 2015,[73]
73,"""That's What I Like""",Bruno Mars,2.071,18 November 2016,[74]
74,"""Levitating""",Dua Lipa featuring DaBaby,2.069,1 October 2020,[75]
75,"""Havana""",Camila Cabello featuring Young Thug,2.068,3 August 2017,[76]
76,"""Unforgettable""",French Montana featuring Swae Lee,2.058,7 April 2017,[77]
77,"""Too Good At Goodbyes""",Sam Smith,2.057,8 September 2017,[78]
78,"""Every Breath You Take""",The Police,2.041,20 May 1983,[79]
79,"""Without Me""",Halsey,2.039,4 October 2018,[80]
80,"""There's Nothing Holdin' Me Back""",Shawn Mendes,2.038,20 April 2017,[81]
81,"""In The End""",Linkin Park,2.038,24 October 2000,[82]
82,"""Flowers""",Miley Cyrus,2.023,12 January 2023,[83]
83,"""Smells Like Teen Spirit""",Nirvana,2.016,10 September 1991,[84]
84,"""Industry Baby""",Lil Nas X featuring Jack Harlow,2.012,23 July 2021,[85]
85,"""Memories""",Maroon 5,2.007,20 September 2019,[86]
86,"""Cold Heart (Pnau Remix)""",Elton John and Dua Lipa featuring Pnau,2.004,13 August 2021,[87]
87,"""Locked Out Of Heaven """,Bruno Mars,1.994,1 October 2012,[88]
88,"""Wonderwall""",Oasis,1.990,30 October 1995,[89]
89,"""Save Your Tears""",The Weeknd,1.990,20 March 2020,[90]
90,"""Uptown Funk""",Mark Ronson featuring Bruno Mars,1.989,10 November 2014,[91]
91,"""Congratulations""",Post Malone featuring Quavo,1.981,9 December 2016,[92]
92,"""Dakiti""",Bad Bunny featuring Jhayco,1.974,30 October 2020,[93]
93,"""Don't Stop Me Now""",Queen,1.968,21 January 1979,[94]
94,"""Till I Collapse""",Eminem featuring Nate Dogg,1.953,26 May 2002,[95]
95,"""Better Now""",Post Malone,1.950,27 April 2018,[96]
96,"""I Took a Pill in Ibiza – Seeb Remix""",Mike Posner featuring Seeb,1.945,14 April 2015,[97]
