Pos,P+,Artist and Title,Days,Pk,(x?),Pts,Pts+,TPts,US,UK,DE,AU,JP
1,=,Eminem - Houdini,5,1,(x5),19252,-462,0.101,1,1,2,1,76
2,=,Benson Boone - Beautiful Things,138,1,(x30),13370,+69,1.880,8,10,12,4,""
3,=,Disturbed - The Sound of Silence,1379,1,(x2),12519,-517,6.268,61,13,8,16,""
4,=,Teddy Swims - Lose Control,331,1,(x5),12471,-548,2.789,4,3,16,5,""
5,=,Hozier - Too Sweet,75,4,"",11180,+293,0.604,7,7,18,10,""
6,+1,Shaboozey - A Bar Song,54,4,"",10683,+693,0.438,2,2,11,2,""
7,-1,Sabrina Carpenter - Espresso,54,4,"",10582,-75,0.501,9,9,29,9,""
8,=,Artemas - i like the way you kiss me,71,3,(x1),9826,-118,0.701,73,32,7,38,""
9,=,Cyril - Stumblin' In,201,5,"",9467,+176,1.375,"",93,3,6,""
10,+1,Beyoncé - TEXAS HOLD 'EM,114,1,(x32),8592,+34,1.557,90,27,6,23,""
11,-1,David Guetta & OneRepublic - I Don't Wanna Wait,61,3,(x1),8481,-501,0.504,106,8,23,20,""
12,=,Billie Eilish - BIRDS OF A FEATHER,19,12,"",8180,+132,0.125,13,11,27,17,""
13,+1,Myles Smith - Stargazing,26,11,"",7937,+341,0.178,15,4,61,8,""
14,-1,Dasha - Austin,92,10,"",7450,-443,0.540,17,6,26,12,""
15,+1,Tommy Richman - MILLION DOLLAR BABY,40,13,"",6616,-815,0.198,6,18,51,13,""
16,-1,"Jaxomy, Agatino Romero & Raffaella Carrà - Pedro",61,7,"",6554,-994,0.491,"",50,5,"",""
17,=,Post Malone - I Had Some Help,27,5,"",6515,-850,0.220,3,15,76,3,""
18,+1,Taylor Swift - Fortnight,47,1,(x6),6213,-485,0.484,33,19,15,11,""
19,-1,Mark Ambor - Belong Together,76,11,"",5972,-763,0.402,75,17,14,39,""
20,=,Billie Eilish - LUNCH,19,4,"",5697,-544,0.162,34,38,43,24,""
21,+3,Teddy Swims - The Door,137,17,"",5626,+452,0.414,22,5,189,76,""
22,-1,Journey - Don't Stop Believin',170,20,"",5602,+330,2.420,24,66,54,18,""
23,+5,Ariana Grande - we can't be friends,89,1,(x1),4850,+1156,0.524,71,91,133,22,""
24,-2,Miley Cyrus - Flowers,509,1,(x119),4794,-424,6.288,49,43,65,58,""
25,+2,Taylor Swift - Cruel Summer,390,1,(x6),4722,+832,2.657,66,47,"",33,""
26,+4,Zach Bryan - Pink Skies,12,26,"",3914,+324,0.047,5,86,"",15,""
27,+4,Kendrick Lamar - Not Like Us,31,5,"",3881,+345,0.190,12,55,"",50,""
28,-2,ILLIT - Magnetic,72,17,"",3757,-149,0.296,"","","","",19
29,-6,WayV - Give Me That,2,23,"",3643,-1556,0.009,"","","","",44
30,+34,Dua Lipa - Houdini,208,1,(x14),3493,+1465,1.763,186,74,58,57,""
31,+1,Luke Combs - Ain't No Love In Oklahoma,20,25,"",3435,-22,0.081,11,56,"",28,""
32,-3,Benson Boone - Slow It Down,74,17,"",3415,-223,0.183,41,44,"",41,""
33,+23,"Chappell Roan - Good Luck, Babe",32,33,"",3303,+1076,0.064,35,39,"",32,""
34,-9,Noah Kahan - Stick Season,210,10,"",3296,-651,0.841,43,22,"",43,""
35,=,Dua Lipa - Training Season,110,1,(x2),3245,+69,0.836,"",111,44,25,""
36,+3,Marshmello & Kane Brown - Miles on It,33,19,"",3211,+292,0.115,10,48,"",60,""
37,-3,Gigi D'Agostino - L'amour Toujours,12,27,"",3211,-6,0.246,"","",1,"",""
38,-5,ATEEZ - WORK,5,2,(x1),3153,-155,0.037,80,141,"",62,""
39,+10,Billie Eilish - What Was I Made For,328,2,(x1),3143,+608,1.861,118,81,178,70,""
40,-4,NewJeans - How Sweet,12,21,"",3046,-120,0.054,"","","",152,37
41,NEW,Tomohisa Yamashita - Perfect Storm,1,41,"",2953,+2953,0.003,"","","",162,1
42,+8,BABYMETAL & Electric Callboy - RATATATA,11,4,"",2949,+430,0.067,77,89,31,40,137
43,-2,Alex Warren - Carry You Home,5,26,"",2927,+73,0.018,101,36,"",30,""
44,-2,Coldplay - A Sky Full of Stars,2238,1,(x10),2905,+53,10.035,"",106,"","",""
45,-7,Eclipse - Sudden Shower,42,29,"",2899,-39,0.105,"","","","",""
46,+30,Adele - Hello,2700,1,(x111),2808,+969,10.446,"","","","",""
47,-10,Central Cee & Lil Baby - BAND4BAND,12,37,"",2581,-369,0.024,72,30,"",35,""
48,-1,Loreen - Tattoo,448,2,(x3),2434,-144,1.937,"",73,"","",""
49,-1,ZERB & Sofiya Nzau - Mwaki,183,18,"",2422,-130,0.557,"","",25,"",""
50,+5,AYLIVA & Apache 207 - Wunder,40,35,"",2405,+61,0.101,"","",4,"",""
51,+1,Ed Sheeran - Perfect,2650,1,(x62),2328,-95,14.780,150,182,"",166,""
52,-12,Lady Gaga - Always Remember Us This Way,1729,2,(x18),2328,-564,7.074,"","",135,54,""
53,+147,Meghan Trainor - I Wanna Thank Me,2,53,"",2271,+1263,0.006,164,51,"",63,""
54,+3,Chris Stapleton - Tennessee Whiskey,934,8,"",2263,+139,2.973,57,128,"",42,""
