Artist and Title,Days,Pk,(x?),Total,Today
Adele - Rolling In the Deep,2605,1,(x1),"16,905,567","2,135"
Adele - Someone Like You,2881,1,(x51),"16,231,656","1,512"
Ed Sheeran - Perfect,2650,1,(x62),"14,780,067","2,329"
Pharrell Williams - Happy,2878,1,(x188),"14,705,193",0
Ed Sheeran - Shape of You,2511,1,(x110),"12,457,835","2,063"
John Legend - All of Me,3005,2,(x1),"12,316,712",351
Lady Gaga & Bradley Cooper - Shallow,2001,1,(x154),"12,308,311","1,201"
Adele - Set Fire To The Rain,1301,2,(x3),"11,749,635",854
Gotye - Somebody That I Used to Know,1565,1,(x51),"11,725,709",158
Ed Sheeran - Thinking Out Loud,2687,2,(x14),"11,354,677","2,068"
Rihanna - Diamonds,2326,1,(x14),"11,258,839",136
Mark Ronson - Uptown Funk,2311,1,(x20),"10,953,245","1,786"
ADELE - Skyfall,1930,1,(x11),"10,720,939",670
PSY - Gangnam Style,1865,1,(x95),"10,548,533",31
Daft Punk - Get Lucky,2011,1,(x68),"10,541,700","1,505"
Adele - Hello,2700,1,(x111),"10,446,143","2,809"
David Guetta & Sia - Titanium,945,1,(x6),"10,113,238",189
Coldplay - A Sky Full of Stars,2238,1,(x10),"10,035,166","2,906"
Avicii - Wake Me Up,1289,1,(x17),"9,978,235",0
P!nk - Just Give Me a Reason,1688,1,(x23),"9,784,530","1,997"
The Weeknd - Blinding Lights,1389,1,(x57),"9,649,138",434
Wiz Khalifa - See You Again,2252,1,(x95),"9,486,396","1,836"
Robin Thicke - Blurred Lines,1105,1,(x37),"9,286,826",0
Katy Perry - Roar,1571,1,(x55),"9,244,526",0
Maroon 5 - Moves Like Jagger,800,1,(x64),"9,025,853",0
Ellie Goulding - Love Me Like You Do,2013,1,(x53),"8,923,404",293
Tones and I - Dance Monkey,1024,1,(x110),"8,911,269",377
Passenger - Let Her Go,1195,6,"","8,893,348",0
Rihanna - We Found Love,711,1,(x76),"8,695,001",0
Carly Rae Jepsen - Call Me Maybe,647,1,(x100),"8,667,975",0
Sia - Chandelier,1335,3,(x2),"8,563,348","1,642"
Fun. - We Are Young,989,1,(x22),"8,397,085","1,817"
Luis Fonsi - Despacito,800,1,(x103),"8,368,125",0
Imagine Dragons - Believer,2229,8,"","8,204,677","1,438"
LMFAO - Party Rock Anthem,714,1,(x9),"8,191,950",0
Taylor Swift - Shake It Off,887,1,(x47),"8,182,229","1,558"
Justin Timberlake - CAN'T STOP THE FEELING,1077,1,(x45),"8,167,516",957
Bruno Mars - Locked Out of Heaven,735,3,(x8),"8,039,642",639
Coldplay - Paradise,825,2,(x8),"7,789,643",48
Billie Eilish - bad guy,836,1,(x16),"7,739,055",182
Mariah Carey - All I Want for Christmas Is You,714,1,(x68),"7,510,478",161
Elton John & Dua Lipa - Cold Heart,965,1,(x91),"7,415,775","1,072"
Michel Teló - Ai Se Eu Te Pego,480,1,(x21),"7,350,660",49
Bruno Mars - When I Was Your Man,715,3,(x5),"7,244,233","1,320"
Shakira - Waka Waka,929,3,(x1),"7,181,506",162
Christina Perri - A Thousand Years,2117,17,"","7,159,056","1,474"
Bruno Mars - Just the Way You Are,701,2,(x22),"7,087,667",334
Lady Gaga - Always Remember Us This Way,1729,2,(x18),"7,073,694","2,329"
Ed Sheeran - Photograph,1715,5,"","6,889,325","1,051"
LMFAO - Sexy and I Know It,553,2,(x14),"6,874,318",0
Pitbull - Timber,495,1,(x21),"6,863,544","1,107"
will.i.am - Scream & Shout,472,1,(x36),"6,626,383",0
The Chainsmokers & Coldplay - Something Just Like This,816,2,(x59),"6,607,495",815
Imagine Dragons - Radioactive,750,12,"","6,574,516",0
Alan Walker - Faded,1050,1,(x17),"6,518,907",575
Taylor Swift - Blank Space,588,1,(x38),"6,438,027",355
Harry Styles - As It Was,717,1,(x109),"6,408,309","1,012"
Pitbull - Give Me Everything,513,1,(x63),"6,367,497",791
OneRepublic - Counting Stars,640,5,"","6,319,459",0
Miley Cyrus - Flowers,509,1,(x119),"6,288,062","4,794"
Disturbed - The Sound of Silence,1379,1,(x2),"6,268,117","12,520"
Sia - Unstoppable,1426,3,(x7),"6,267,257","2,222"
Camila Cabello - Havana,702,1,(x73),"6,184,687",45
Rihanna - Stay,536,1,(x2),"6,093,998",0
Eminem - Love the Way You Lie,626,1,(x65),"6,023,002",0
Hozier - Take Me To Church,539,3,(x1),"6,012,443",103
Lewis Capaldi - Someone You Loved,1126,1,(x1),"5,989,854",573
P!nk - Try,578,5,"","5,982,352","1,175"
Coldplay - Viva la Vida,1480,7,"","5,960,132","1,701"
Justin Bieber - Sorry,520,2,(x92),"5,926,189",0
Maroon 5 - Memories,634,2,(x50),"5,910,525",96
Foster The People - Pumped Up Kicks,630,10,"","5,880,698",567
Katy Perry - Dark Horse,535,2,(x48),"5,841,780",0
Jennifer Lopez - On the Floor,485,1,(x53),"5,833,199",0
Katy Perry - Firework,723,2,(x18),"5,812,743",39
Macklemore & Ryan Lewis - Can't Hold Us,460,4,"","5,748,623",234
Maroon 5 - Payphone,433,2,(x27),"5,738,445",0
Imagine Dragons - Demons,726,11,"","5,728,107",413
Pitbull - Feel This Moment,429,3,(x1),"5,458,200",774
The Chainsmokers - Closer,467,1,(x45),"5,442,996",658
Shawn Mendes & Camila Cabello - Señorita,530,1,(x108),"5,431,232",343
Imagine Dragons - Thunder,787,5,"","5,391,707",0
Rihanna - Only Girl,542,1,(x42),"5,378,663",0
Avicii - Hey Brother,430,3,(x2),"5,356,602",0
Macklemore & Ryan Lewis - Thrift Shop,445,1,(x3),"5,261,688",0
Sia - Cheap Thrills,424,2,(x3),"5,233,742",630
Justin Bieber - Love Yourself,466,1,(x12),"5,233,682",0
Lilly Wood & the Prick & Robin Schulz - Prayer In C,400,2,(x7),"5,232,201","1,098"
Clean Bandit - Rockabye,412,1,(x5),"5,147,613",623
Omi - Cheerleader,431,2,(x4),"5,139,061",731
Major Lazer - Lean On,429,1,(x21),"5,138,561",0
Meghan Trainor - All About That Bass,401,1,(x22),"5,080,814",263
Maroon 5 - One More Night,405,4,"","5,079,399",0
Sam Smith - Stay With Me,505,4,"","5,078,538",0
Lorde - Royals,354,2,(x4),"5,075,997",0
Justin Timberlake - Mirrors,418,3,(x10),"5,048,961",0
Flo Rida - Good Feeling,509,4,"","4,972,752",477
James Arthur - Impossible,529,21,"","4,864,876","1,090"
Maroon 5 - Girls Like You,546,1,(x46),"4,853,252",132
MAGIC! - Rude,434,4,"","4,837,665",594
David Guetta & Usher - Without You,493,2,(x4),"4,825,817",0
Bruno Mars - Treasure,367,7,"","4,825,667",784
Eminem - The Monster,255,1,(x51),"4,796,905",0
Flo Rida - Whistle,398,2,(x60),"4,764,124",873
Coldplay - Hymn for the Weekend,506,6,"","4,745,221",639
Lykke Li - I Follow Rivers,707,31,"","4,730,823",571
Rag'n'Bone Man - Human,627,5,"","4,723,152",36
Miley Cyrus - Wrecking Ball,296,3,(x34),"4,676,463",0
Lucenzo - Danza Kuduro,507,8,"","4,667,737",53
Nicki Minaj - Starships,455,4,"","4,634,248",0
Ed Sheeran - Shivers,635,3,(x43),"4,607,991",591
Mr. Probz - Waves,388,7,"","4,592,224",0
One Direction - What Makes You Beautiful,628,6,"","4,580,921",552
The Black Eyed Peas - I Gotta Feeling,674,14,"","4,564,443",0
One Direction - Story Of My Life,367,1,(x2),"4,563,487",844
Calvin Harris - This Is What You Came For,314,1,(x32),"4,528,940",0
Clean Bandit - Rather Be,391,3,(x2),"4,476,917",563
Maroon 5 - Sugar,413,4,"","4,475,170",44
Harry Styles - Sign of the Times,654,1,(x2),"4,441,198",351
Lil Nas X - Old Town Road,501,2,(x10),"4,425,895",0
Ed Sheeran - Bad Habits,515,1,(x48),"4,383,393",0
Justin Bieber - What Do You Mean,290,1,(x47),"4,379,518",0
Ed Sheeran - I See Fire,511,10,"","4,356,240",0
Calvin Harris - Summer,328,1,(x1),"4,342,039",170
DJ Snake - Let Me Love You,286,1,(x32),"4,331,602",0
Bruno Mars - Grenade,453,1,(x11),"4,324,512",64
Martin Garrix - Animals,415,10,"","4,322,091",0
Calvin Harris & Disciples - How Deep Is Your Love,295,2,(x22),"4,299,967",0
Drake - One Dance,304,1,(x10),"4,299,025",0
Alicia Keys - Girl On Fire,386,6,"","4,295,998",0
Enrique Iglesias - Bailando,517,13,"","4,253,064",0
The Weeknd - Starboy,296,1,(x34),"4,219,323",131
The Lumineers - Ho Hey,405,8,"","4,202,908",0
Master KG - Jerusalema,862,2,(x4),"4,182,160",76
Coldplay - Adventure of a Lifetime,336,2,(x2),"4,174,309",306
twenty one pilots - Stressed Out,425,2,(x1),"4,134,951",213
Rihanna - Where Have You Been,387,5,"","4,111,688",0
Lukas Graham - 7 Years,422,1,(x2),"4,096,930",89
The Weeknd - I Feel It Coming,403,3,(x5),"4,083,016",0
Naughty Boy - La La La,376,5,"","4,062,596",3
Metallica - Nothing Else Matters,592,40,"","4,051,611","1,083"
Queen - Bohemian Rhapsody,655,3,(x7),"4,026,382",96
Harry Styles - Watermelon Sugar,815,2,(x6),"3,998,319",166
Dua Lipa - Don't Start Now,519,1,(x7),"3,979,977",0
Milky Chance - Stolen Dance,503,18,"","3,921,125",0
Taylor Swift - I Knew You Were Trouble.,343,5,"","3,920,650",0
Icona Pop - I Love It,442,7,"","3,907,294",593
The Weeknd - Can't Feel My Face,333,1,(x10),"3,893,874",0
Coldplay - Magic,235,2,(x15),"3,883,294",548
Avicii - Levels,381,4,"","3,874,130",211
Capital Cities - Safe and Sound,369,12,"","3,859,915",39
Rihanna and Kanye West and Paul McCartney - FourFiveSeconds,225,1,(x10),"3,859,736",0
John Newman - Love Me Again,376,8,"","3,858,122",0
Swedish House Mafia - Don't You Worry Child,355,3,(x2),"3,851,493",0
Loreen - Euphoria,405,7,"","3,848,785",703
Panic! At the Disco - High Hopes,661,5,"","3,848,703",0
Sam Smith - I'm Not the Only One,444,7,"","3,843,862",0
Ava Max - Sweet but Psycho,468,2,(x28),"3,838,142",4
Rema & Selena Gomez - Calm Down,632,3,(x4),"3,819,616",810
A Great Big World & Christina Aguilera - Say Something,392,9,"","3,799,993",545
