"","",Video,Views,Likes
1,=,BADVILLAIN - 'BADVILLAIN' MV,"5,246,863","18,268"
2,NEW,Kep1er 케플러 | ‘Shooting Star’ M/V,"5,024,470","58,932"
3,NEW,BADVILLAIN - '야호(BADTITUDE)' MV,"4,824,418","22,316"
4,-1,Eminem - Houdini [Official Music Video],"4,562,920","173,305"
5,-3,"Tainu Khabar Nahi - Arijit Singh | Munjya | Sharvari, Abhay Verma| Sachin-Jigar,Amitabh Bhattacharya","4,019,297","14,923"
6,NEW,Zaalima - DYSTINCT | Shreya Ghoshal | Mouni Roy | Rajat Nagpal | Rana Sotal | Anshul Garg,"3,421,994","57,621"
7,-3,BABYMONSTER - 'LIKE THAT' EXCLUSIVE PERFORMANCE VIDEO,"2,619,990","50,105"
8,+7,TREASURE - 'KING KONG' M/V,"2,223,083","31,698"
9,+15,"NEXZ(넥스지) ""Ride the Vibe"" M/V","2,043,599",704
10,NEW,"Jaatni | Kudi Haryane Val Di | Ammy Virk & Sonam Bajwa | Ajay Hooda, Raj Mawar, Gulshan Sharma","2,015,368","82,119"
11,-6,ARTMS ‘Virtual Angel' Official MV,"2,011,706","7,943"
12,-5,"FloyyMenor, Cris MJ - Gata Only","2,010,334","13,020"
13,-7,SOOSEKI Lyrical Video | Pushpa 2 The Rule | Allu Arjun | Rashmika | Shreya Ghoshal | Sukumar| DSP,"1,890,085","15,150"
14,-4,ATEEZ(에이티즈) - 'WORK' Official MV,"1,600,329","19,021"
15,-2,Kurchi Madathapetti Full Video Song | Guntur Kaaram | Mahesh Babu | Sreeleela | Trivikram | Thaman S,"1,483,887","6,449"
16,-4,Achacho - Video Song | Aranmanai 4 | Sundar.C | Tamannaah | Raashii Khanna | Hiphop Tamizha,"1,482,040","13,139"
17,-6,Crazy Frog - Axel F (Official Video),"1,466,813","4,796"
18,-4,CENTRAL CEE FT. LIL BABY - BAND4BAND (MUSIC VIDEO),"1,370,488","28,323"
19,-3,"Angaaron (The Couple Song) Lyrical | Pushpa 2 The Rule | Allu Arjun |Rashmika |Sukumar |DSP, Shreya","1,270,899","23,110"
20,-3,El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Records],"1,239,327","4,184"
