Artist,Total,100M
Bad Bunny,"32,776.4",78
BTS,"32,389.6",74
Justin Bieber,"29,711.3",39
Ed Sheeran,"29,200.0",40
Taylor Swift,"28,367.8",45
Shakira,"27,948.2",48
Blackpink,"27,521.1",44
Katy Perry,"25,026.4",26
Ozuna,"24,512.6",50
Eminem,"23,563.3",39
Ariana Grande,"22,646.3",38
Daddy Yankee,"22,348.6",44
J Balvin,"21,836.0",35
The Weeknd,"21,705.0",36
Maroon 5,"21,050.1",30
Karol G,"20,486.4",36
Maluma,"20,458.6",34
Rihanna,"20,432.3",36
Bruno Mars,"18,734.8",21
Marília Mendonça,"18,566.8",56
Enrique Iglesias,"17,937.2",31
David Guetta,"17,161.9",33
Coldplay,"16,832.4",22
Romeo Santos,"16,439.9",34
Beyoncé,"16,301.1",39
Henrique e Juliano,"15,961.1",43
Nicky Jam,"15,854.6",30
Anuel AA,"15,555.0",31
Gusttavo Lima,"15,534.2",41
Imagine Dragons,"15,401.8",23
Calvin Harris,"15,266.1",22
Chris Brown,"15,080.0",38
Marshmello,"15,057.7",30
Luis Fonsi,"15,055.1",12
Lady Gaga,"14,886.7",30
Alan Walker,"13,772.6",20
Adele,"13,707.3",18
TWICE,"13,556.2",27
Guru Randhawa,"13,493.4",33
Michael Jackson,"13,469.6",27
The Chainsmokers,"13,386.1",20
Banda MS,"13,280.1",29
Wiz Khalifa,"13,171.5",15
Post Malone,"13,119.5",20
Pitbull,"13,033.9",22
Linkin Park,"12,778.0",25
One Direction,"12,719.5",19
YoungBoy Never Broke Again,"12,694.5",30
Sia,"12,692.2",17
Gummibär,"12,655.3",14
Selena Gomez,"12,526.3",30
Arijit Singh,"12,280.0",23
Zé Neto e Cristiano,"12,213.4",35
Neha Kakkar,"12,061.2",20
Drake,"11,982.1",23
Billie Eilish,"11,909.6",27
Los Ángeles Azules,"11,896.8",29
Shawn Mendes,"11,768.2",18
Yo Yo Honey Singh,"11,216.1",37
twenty one pilots,"11,090.5",16
Rauw Alejandro,"11,059.0",25
PSY,"10,864.5",10
Dua Lipa,"10,783.2",19
Becky G,"10,545.3",14
The Black Eyed Peas,"10,479.7",20
Sebastián Yatra,"10,246.8",20
Jennifer Lopez,"10,084.0",25
Queen,"10,008.2",18
Nicki Minaj,"9,953.8",28
Avicii,"9,819.7",19
Jorge & Mateus,"9,721.6",26
Miley Cyrus,"9,630.9",23
XXXTENTACION,"9,443.6",19
Major Lazer,"9,428.6",13
Charlie Puth,"9,326.5",11
DJ Snake,"9,318.2",13
50 Cent,"9,311.7",15
Future,"9,291.2",14
