Country,#1 Track,Market Size
India,Arijit Singh - Sajni,100%
Brazil,THE BOX - THE BOX MEDLEY FUNK 2,49%
Mexico,Natanael Cano - Madonna,42%
United States,Kendrick Lamar - Not Like Us,37%
Turkey,Bayhan - Tiryakinim,32%
Argentina,Emanero - SINVERGÜENZA - con Angela Torres (feat. Angela Torres),29%
Indonesia,Angga Candra - Sekecewa Itu,28%
Thailand,เบนซ์ ปรีชา - สีแชทบ่คือเก่า,26%
Japan,Creepy Nuts - Bling-Bang-Bang-Born,25%
Russia,Jazzdauren - Дарите женщинам цветы,20%
Philippines,TJ Monterde - Palagi,18%
South Korea,NewJeans - How Sweet,18%
Vietnam,Kiều Chi - Cẩm Tú Cầu (Kiều Chi Cover),13%
Uzbekistan,Xamdam Sobirov - Malohat,13%
Italy,Geolier - L'ULTIMA POESIA,12%
Colombia,Blessd - Mirame,12%
France,GIMS - SPIDER,12%
Bangladesh,Pritom Hasan - Maloma (feat. Dewan Arif),11%
Algeria,Sofiane Asla - لي نخرج معاها,10%
Poland,Disturbed - The Sound of Silence,10%
Malaysia,Ernie Zakri - Masing Masing,9%
Romania,Gya - Baklava,9%
Chile,Cris Mj - SI NO ES CONTIGO,8%
Spain,Saiko - BADGYAL,8%
Egypt,Houda Bondok - Rawa2an - روقان,7%
Peru,La Única Tropical - PARTIDO EN DOS,7%
Pakistan,Gippy Grewal - 90-90 Nabbe Nabbe,7%
Morocco,Lbenj - هواسي,7%
Kazakhstan,Sadraddin - Aman bolşy süigenım,7%
Dominican Republic,Lomiiel - HAY LUPITA,6%
Ukraine,Artem Pivovarov - Барабан,6%
Germany,Gigi D'Agostino - L'Amour Toujours,6%
Taiwan,NewJeans - How Sweet,6%
United Kingdom,Central Cee - BAND4BAND,6%
Cambodia,Tena - Tena - ប្រពន្ធ​កំសត់​,5%
Ecuador,FloyyMenor - Gata Only,5%
Saudi Arabia,Ayed - عالم العشاق,5%
Venezuela,J Abdiel - WYA,4%
Israel,Omer Adam - צמוד צמוד,4%
Nepal,Rita Thapa Magar - A Aama Jaam Bhanyo Malai,4%
Bolivia,Muñequita Milly - Mil Años,4%
