Video,Views,Yesterday
Luis Fonsi - Despacito ft. Daddy Yankee,"8,455,915,484","827,709"
Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"6,283,665,607","1,301,723"
Ed Sheeran - Shape of You (Official Music Video),"6,269,955,923","730,639"
Mark Ronson - Uptown Funk (Official Video) ft. Bruno Mars,"5,240,907,713","1,057,285"
PSY - GANGNAM STYLE(강남스타일) M/V,"5,172,037,047","1,424,987"
El Chombo - Dame Tu Cosita feat. Cutty Ranks (Official Video) [Ultra Records],"4,654,720,943","1,446,651"
Crazy Frog - Axel F (Official Video),"4,569,568,656","2,227,674"
Maroon 5 - Sugar (Official Music Video),"4,055,280,974","530,537"
OneRepublic - Counting Stars,"4,026,031,926","444,541"
Katy Perry - Roar,"4,009,383,956","454,694"
Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup™ Song),"3,943,295,280","1,062,997"
श्री हनुमान चालीसा 🌺🙏| Shree Hanuman Chalisa Original Video |🙏🌺| GULSHAN KUMAR | HARIHARAN |Full HD,"3,867,876,755","1,819,689"
Justin Bieber - Sorry (PURPOSE : The Movement),"3,810,344,071","465,138"
Ed Sheeran - Thinking Out Loud (Official Music Video),"3,773,850,177","388,594"
Ed Sheeran - Perfect (Official Music Video),"3,744,762,360","687,425"
Katy Perry - Dark Horse ft. Juicy J,"3,733,896,994","578,104"
Passenger | Let Her Go (Official Video),"3,668,585,775","542,429"
Alan Walker - Faded,"3,638,598,320","586,750"
Maroon 5 - Girls Like You ft. Cardi B (Official Music Video),"3,618,926,974","598,457"
Major Lazer & DJ Snake - Lean On (feat. MØ) (Official Music Video),"3,610,196,034","848,051"
"Enrique Iglesias - Bailando ft. Descemer Bueno, Gente De Zona","3,538,043,997","441,563"
Taylor Swift - Shake It Off,"3,439,574,199","442,023"
Taylor Swift - Blank Space,"3,434,706,415","787,830"
FROZEN | Let It Go Sing-along | Official Disney UK,"3,369,792,307","390,499"
