"","",Video,#,Highlights
1,=,Eminem - Houdini [Official Music Video],68,"#33 Argentina, #9 Romania, #17 Poland"
2,+14,The most wholesome gender reveal EVER #family #cute #dad #love #viral,31,"#20 Italy, #33 Philippines, #20 Poland"
3,NEW,#JasonDeruloTV // Street Art #GotPermissionToPost From @greg_goya #SlowLow,7,"#5 Thailand, #20 Turkey, #12 Russia"
4,NEW,#JasonDeruloTV // Amazing 🤩 #GotPermissionToPost From @dilya.abdusalimova #SlowLow,4,"#7 Turkey, #2 Russia, #1 Italy"
5,-2,‎DILLOM - Cirugía (Videoclip),9,"#16 Argentina, #35 Mexico, #30 Colombia"
6,-1,DILLOM - Buenos tiempos (Videoclip)‎,9,"#18 Argentina, #39 Mexico, #29 Colombia"
7,-5,Paulo Londra - Posdata: (Official Video),15,"#29 Argentina, #34 Colombia, #23 Peru"
8,-2,ATEEZ(에이티즈) - 'WORK' Official MV,19,"#38 Argentina, #39 Colombia, #29 Chile"
9,NEW,YSY A - BLOQUE FINAL ESTADIO DE HURACÁN (EN VIVO),6,"#11 Argentina, #33 Mexico, #28 Colombia"
10,-1,"Luck Ra, Maluma, Khea - HOLA PERDIDA REMIX",11,"#22 Argentina, #38 Colombia, #27 Chile"
11,-4,Carin León - Despídase bien [Official Video],11,"#43 Argentina, #33 Colombia, #32 Chile"
12,-4,"Kenia OS, Yeri Mua, Ghetto Kids - Mamita Rica (Video Oficial)",13,"#41 Mexico, #40 Colombia, #32 Peru"
13,-9,BADVILLAIN - 'BADVILLAIN' MV,4,"#14 Indonesia, #38 Brazil, #29 South Korea"
14,-1,#JasonDeruloTV // Cake 💯#GotPermissionToPost From @namelesscake_art #SpicyMargarita,7,"#33 Turkey, #31 Italy, #32 Spain"
15,NEW,Halsey - The End (Official Lyric Video),4,"#19 United States, #27 Brazil, #38 United Kingdom"
16,-6,"Rei, Duki - UN MONTÓN (Video Oficial)",10,"#27 Argentina, #38 Chile, #35 Peru"
17,-6,Oscar Maydon x Junior H - Volver Al Futuro [Official Video],3,"#11 Mexico, #24 Colombia, #11 Guatemala"
18,-6,"Kenia OS, El Malilla - Un Bezito (Video Oficial)",10,"#42 Mexico, #42 Dominican Republic, #36 Ecuador"
19,+5,SOLTERO - ELAGGUME x ECKO ft OMAR VARELA,3,"#30 Mexico, #25 Argentina, #26 Uruguay"
20,NEW,White Night (Extended Version) - Honkai English VAs Cover || Honkai: Star Rail,4,"#14 United States, #26 United Kingdom, #15 Canada"
21,NEW,"ATEEZ(에이티즈)의 킬링보이스를 라이브로! – WAVE, BOUNCY, UTOPIA, 미친 폼, 멋, WORK, Answer, 불놀이야 | 딩고뮤직 | Dingo Music",2,"#17 Indonesia, #15 South Korea"
22,-7,AKMU - ‘Hero’ M/V,2,"#9 South Korea, #30 Indonesia"
23,-2,JERE KLEIN - MUJER FINA FEAT LUCKY BROWN (VISUALIZER) | ARES KLEIN,3,"#39 Argentina, #28 Chile, #45 Uruguay"
24,-7,JERE KLEIN - YUMMY! FEAT LIL PUMP (VIDEO OFICIAL) | ARES KLEIN,3,"#42 Argentina, #26 Chile, #40 Uruguay"
