Country,#1 Overall,#1 Music
United States,I Built 7 EXTREME Rooms in My House!,Eminem - Houdini [Official Music Video]
United Kingdom,"SIDEMEN $1,000,000 REALITY SHOW: INSIDE EP. 3",Eminem - Houdini [Official Music Video]
Algeria,مراجعة شاملة الفرنسية بيام 2024,Cheb Hichem Tgv 2024 ( Hyati raj3at damar - tebghi 24 carats ) Ft Hani Mirigé [ SON ORIGINAL ]
Argentina,I Built 7 EXTREME Rooms in My House!,"Luck Ra, Maluma, Khea - HOLA PERDIDA REMIX"
Australia,Alien: Romulus | Official Trailer,Eminem - Houdini [Official Music Video]
Austria,Chancenreiche Partie und ein Schockmoment bei Yildiz: Italien - Türkei | Testspiel | DAZN Highlights,Eminem - Houdini [Official Music Video]
Azerbaijan,Sprinting with More and More Money,Miro — Onsuz (Prod by SarkhanBeats)
Bahrain,اتحديت زوجتي تلاقي امها !!,Eminem - Houdini [Official Music Video]
Belarus,Sprinting with More and More Money,Артур Пирожков и Хабиб - МЁД (Премьера клипа 2024)
Belgium,"On a passé 48h en ENFER... (Avec Michou, Zafeel, Hctuan)",Eminem - Houdini [Official Music Video]
Bolivia,I Built 7 EXTREME Rooms in My House!,"Luck Ra, Maluma, Khea - HOLA PERDIDA REMIX"
Bosnia and Herzegovina,Tea Tairovic x Nucci - TeaNucci (Official Video || Album TEA),Tea Tairovic x Nucci - TeaNucci (Official Video || Album TEA)
Brazil,BRASIL X JAMAICA | AMISTOSO INTERNACIONAL | AO VIVO E COM IMAGENS,"MC IG - Sorriso no Rosto (GR6 Explode) DJ Murillo e LT no Beat, DJ Glenner"
Bulgaria,Sprinting with More and More Money,DJ Damyan x Emanuela - Okadar / DJ Дамян и Емануела - Окадар | Official Video 2024
Canada,Alien: Romulus | Official Trailer,Eminem - Houdini [Official Music Video]
Chile,I Built 7 EXTREME Rooms in My House!,JERE KLEIN - MUJER FINA FEAT LUCKY BROWN (VISUALIZER) | ARES KLEIN
Colombia,I Built 7 EXTREME Rooms in My House!,Eminem - Houdini [Official Music Video]
Costa Rica,I Built 7 EXTREME Rooms in My House!,Eminem - Houdini [Official Music Video]
Croatia,Tea Tairovic x Nucci - TeaNucci (Official Video || Album TEA),Tea Tairovic x Nucci - TeaNucci (Official Video || Album TEA)
Cyprus,The GIRL's skills are AMAZING🔪🎋#camping #survival #bushcraft #outdoors #lifehack,Marina Satti - LALALALA (Official Music Video)
Czech Republic,Sprinting with More and More Money,HARD RICO - Narcos feat. Yzomandias [OFFICIAL VIDEO]
Denmark,"$10,000 Every Day You Survive In The Wilderness",Eminem - Houdini [Official Music Video]
Dominican Republic,I Built 7 EXTREME Rooms in My House!,ROCHY RD X DONATY - CUANDO PRENDO (TOY PRENDIO )
Ecuador,I Built 7 EXTREME Rooms in My House!,Dayanara x Pipe Bueno- Piedra Papel o Tijera (Video Oficial)
Egypt,بودكاست المتزوجون الحلقة الحادية عشر l ماكنش هيتجوزني و خليته يحبني - حسام انتيكا و يارا بهنساوي,"اغنيه ""عم جيلك ""( صعب نلعب سوا ) حوده بندق و مسلم / البوم سلطان الشن 2024"
El Salvador,The GIRL's skills are AMAZING🔪🎋#camping #survival #bushcraft #outdoors #lifehack,Grupo Firme - El Beneficio De La Duda (Video Oficial)
Estonia,nublu - push it feat. maria kallastu,nublu - push it feat. maria kallastu
Finland,Sprinting with More and More Money,Eminem - Houdini [Official Music Video]
France,"On a passé 48h en ENFER... (Avec Michou, Zafeel, Hctuan)",GIMS & DYSTINCT - SPIDER (Clip officiel)
Georgia,Sprinting with More and More Money,აჩი ალავიძე - დამჩემდი / Achi Alavidze - Damchemdi
Germany,So wohnt ein Fußball-Weltmeister | Kevin Großkreutz,Eminem - Houdini [Official Music Video]
Ghana,Abigail & Afronitaaa TURN UP with Reggie 'n' Bollie and Fuse ODG bangers | The Final | BGT 2024,"King Promise, Sarkodie, Olivetheboy - Favourite Story (Official Video)"
Greece,MELISSES | Μοναχική Καρδιά (Official Music Video),Marina Satti - LALALALA (Official Music Video)
Guatemala,I Built 7 EXTREME Rooms in My House!,Grupo Firme - El Beneficio De La Duda (Video Oficial)
Honduras,I Built 7 EXTREME Rooms in My House!,Grupo Firme - El Beneficio De La Duda (Video Oficial)
Hong Kong,#许绍雄 26岁女儿出嫁现场，众多香港老牌演员到场祝贺，酒席开30桌，陪嫁超2000万！新婿是狮城精英多金又帅,aespa 에스파 'Armageddon' MV
Hungary,Orbán soha nem ment ilyen mélyre | Rogánnak adatszerzés miatt kellett a Vodafone,byealex és a slepp - bangkok
India,"राहुल, खड़गे और ममता ने मांगा मोदी से इस्तीफ़ा",SOOSEKI Lyrical Video | Pushpa 2 The Rule | Allu Arjun | Rashmika | Shreya Ghoshal | Sukumar| DSP
Indonesia,NASI GORENG BAPAK PART 4 - Animasi Sekolah,BABYMONSTER - 'LIKE THAT' EXCLUSIVE PERFORMANCE VIDEO
Ireland,"SIDEMEN $1,000,000 REALITY SHOW: INSIDE EP. 1",Eminem - Houdini [Official Music Video]
Israel,עומר אדם & שרק - ראיתי עולם,עומר אדם & שרק - ראיתי עולם
Italy,#JasonDeruloTV // Amazing 🤩 #GotPermissionToPost From @dilya.abdusalimova #SlowLow,"Fedez, Emis Killa - SEXY SHOP (Visual Video)"
Jamaica,Valiant - GodFada (Official Music Video),Valiant - GodFada (Official Music Video)
Japan,スダリオ戦の翌日、榊原社長から『超RIZIN』について驚くべき提案を受けました。,Number_i - BON (Official Music Video)
